ticker,shortname,Sector,Industry,Fulltimeemployees,Weight
AAPL,Apple Inc.,Technology,Consumer Electronics,164000.0,0.0692091524397274
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,50000.0,0.0055822292289272
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,6907.0,0.0015085792111776
ABT,Abbott Laboratories,Healthcare,Medical Devices,114000.0,0.0035645619125812
ACN,Accenture plc,Technology,Information Technology Services,774000.0,0.0041228261620705
ADBE,Adobe Inc.,Technology,Software - Infrastructure,29945.0,0.003541476793231
ADI,"Analog Devices, Inc.",Technology,Semiconductors,26000.0,0.0018909858226522
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,64000.0,0.0021553625543498
ADSK,"Autodesk, Inc.",Technology,Software - Application,14100.0,0.0011558944403128
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,17250.0,0.0008886857903243
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,12785.0,0.0010263507408261
AIG,"American International Group, I",Financial Services,Insurance - Diversified,25000.0,0.0008157558434562
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,51261.0,0.0012723284413913
ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,53000.0,0.0009221471425966
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,35200.0,0.0023948302842723
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,26000.0,0.003480503261541
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,21500.0,0.0007630569162894
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,26700.0,0.0025471211505921
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,13800.0,0.0009287703781801
AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,5643.0,0.0015446400564816
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,1551000.0,0.0425499486683522
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,4023.0,0.0025568019500418
ANSS,"ANSYS, Inc.",Technology,Software - Application,6400.0,0.0005323854581097
AON,Aon plc,Financial Services,Insurance Brokers,50000.0,0.0013947705690998
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,23000.0,0.0011802194312508
APH,Amphenol Corporation,Technology,Electronic Components,95000.0,0.00153091193297
APP,AppLovin Corporation,Technology,Application Software,788.0,
ARM,Arm Holdings plc,Technology,Semiconductors,8330.0,
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,43129.0,
AVGO,Broadcom Inc.,Technology,Semiconductors,20000.0,0.0185529040232474
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,3330.0,0.0008666283089706
AXP,American Express Company,Financial Services,Credit Services,74600.0,0.0037850469689955
AZN,AstraZeneca plc,Healthcare,Pharmaceuticals,94300.0,
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,75600.0,0.0009839571546666
BA,Boeing Company (The),Industrials,Aerospace & Defense,171000.0,0.0023872432281541
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,213000.0,0.0060974392415119
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,70000.0,0.0011879455445866
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,7570.0,0.0003839958947196
BK,The Bank of New York Mellon Cor,Financial Services,Banks - Diversified,52600.0,0.0010153513664986
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,24200.0,0.0030061903672209
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,57000.0,0.0007178098937109
BLK,"BlackRock, Inc.",Financial Services,Asset Management,20400.0,0.0028664127344873
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,34100.0,0.0020919443569806
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,396500.0,0.0176094184142796
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,48000.0,0.002358603926244
BX,Blackstone Inc.,Financial Services,Asset Management,4735.0,0.003727941394506
C,"Citigroup, Inc.",Financial Services,Banks - Diversified,229000.0,0.0023542700868338
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,53000.0,0.0011055825515098
CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery,113200.0,0.0031795032655226
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,40000.0,0.0019813127338562
CCEP,Coca-Cola Europacific Partners,Consumer Defensive,Beverages - Non-Alcoholic,41000.0,
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,12703.0,0.001487554968429
CDW,CDW Corporation,Technology,Information Technology Services,15100.0,0.0004184510234137
CEG,Constellation Energy Corporatio,Utilities,Utilities - Renewable,13871.0,0.0012774583041531
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,101100.0,0.0008991615814345
CI,The Cigna Group,Healthcare,Healthcare Plans,70325.0,0.0013857975097231
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,34000.0,0.0013527545081791
CMCSA,Comcast Corporation,Communication Services,Telecom Services,186000.0,0.0026312290280347
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,3565.0,0.0015464776456592
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,125000.0,0.001516725443855
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,75500.0,0.0008672331010134
COF,Capital One Financial Corporati,Financial Services,Credit Services,52500.0,0.0012262262943013
COP,ConocoPhillips,Energy,Oil & Gas E&P,10300.0,0.0022137070424282
COR,"Cencora, Inc.",Healthcare,Medical Distribution,46000.0,0.0007917581933559
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,333000.0,0.007619493664505
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,13086.0,0.0010092487664436
CRM,"Salesforce, Inc.",Technology,Software - Application,72682.0,0.0059168420147283
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,9219.0,0.0016054688566531
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,90400.0,0.004193244088571
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,6450.0,0.0005269199272896
CSX,CSX Corporation,Industrials,Railroads,23400.0,0.0011050266174083
CTAS,Cintas Corporation,Industrials,Specialty Business Services,46500.0,0.0013570728722232
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,340100.0,0.0007067713151228
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,219000.0,0.0010043276000465
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,45600.0,0.004582197222029
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,17700.0,0.0008109550901453
DASH,DoorDash Inc.,Technology,Internet Retail,23700.0
DDOG,Datadog Inc.,Technology,Software - Application,4800.0,
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,83000.0,0.0021131364706045
DELL,Dell Technologies Inc.,Technology,Computer Hardware,120000.0,0.0014589501544775
DFS,Discover Financial Services,Financial Services,Credit Services,21100.0,0.0007821815210119
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,,0.000805845566436
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,61000.0,0.0029699252470853
DIS,Walt Disney Company (The),Communication Services,Entertainment,173250.0,0.0036500608043532
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,3664.0,0.0010862428391996
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric,27037.0,0.0015048676288662
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,9500.0,0.0005624649270593
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,13700.0,0.0006974124769787
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,48000.0,0.0012139545501174
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,104900.0,0.0015270003499757
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,73000.0,0.0012714983722344
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,3050.0,0.0012045879742903
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,13151.0,0.001609602547996
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,94000.0,0.002404083079313
EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,19800.0,0.0007938273971783
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,19962.0,0.0006692535746455
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,1023.0,0.0008139387407156
FAST,Fastenal Company,Industrials,Industrial Distribution,20894.0,0.0007711655659351
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,27200.0,0.0010046160313924
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,306000.0,0.0011947972260496
FI,"Fiserv, Inc.",Technology,Information Technology Services,42000.0,0.0021090396253712
FICO,Fair Isaac Corporation,Technology,Software - Application,3586.0,0.0009159527220365
FIS,Fidelity National Information S,Technology,Information Technology Services,60000.0,0.000788994587752
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,13986.0,0.0013401975014147
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,100000.0,0.001304237614451
GE,GE Aerospace,Industrials,Aerospace & Defense,125000.0,0.0032784613042062
