column,reason
adsh,identifier
cik,identifier
ticker,identifier
ticker_aliases,identifier_or_alias_metadata
event_lookup_tickers,identifier_or_alias_metadata
company_name,identifier
name,identifier
firm_id,identifier
shortname,identifier
sec_name,identifier
period,identifier_or_time
period_date,identifier_or_time
filed,identifier_or_time
filed_date,identifier_or_time
prediction_date,identifier_or_time
prediction_date_source,identifier_or_time
sec_zip,source_file_identifier
fy,filing_metadata
fp,filing_metadata
form,filing_metadata
afs,filing_metadata
cohort,sample_design_label
include_status,sample_design_label
notes,sample_design_label
duplicate_cik_alias_count,sample_design_label
distress_cohort,sample_design_label
sample_design_label,sample_design_label
event_year,event_metadata
event_date,event_metadata
distress_event_date,event_metadata
event_type,event_metadata
event_label,event_metadata
event_source_ticker,event_metadata
verification_status,event_metadata
formal_distress_firm,event_metadata
near_distress_firm,event_metadata
is_distress_seed,event_metadata
days_from_period_to_event,event_metadata
days_to_event,event_metadata
quarters_to_event,event_metadata
post_event_flag,event_metadata
global_event_names,text_event_context
distress_label,target_or_outcome
near_distress_label,target_or_outcome
bankruptcy_date,target_or_outcome
delisting_date,target_or_outcome
liquidation_date,target_or_outcome
failure_date,target_or_outcome
distress_next_2q,target
distress_next_4q,target
distress_next_8q,target
broad_distress_next_4q,target
healthy_current,current_outcome
resilient_profitability,current_outcome
success_profitability_next_4q,target
success_resilience_next_4q,target
success_quality_next_4q,target
failure_pressure_conservative_v2_next_4obs,target
industry_relative_resilience_next_4obs,target
stress_resilience_next_4obs,target
recovery_next_4obs,target
deterioration_next_4obs,target_lab_diagnostic
quality_success_cashflow_next_4obs,target
sector_relative_improvement_next_4obs,target_lab_robustness
persistent_resilience_next_6obs,target_lab_robustness
