ticker,company,candidate_role,universe_group,priority,event_year,event_type,Sector,Industry,Fulltimeemployees,Weight,notes
AAPL,Apple Inc.,core,legacy_large_cap_core,keep,,,Technology,Consumer Electronics,164000.0,0.0692091524397274,Original defended-thesis large-cap universe.
ABBV,AbbVie Inc.,core,legacy_large_cap_core,keep,,,Healthcare,Drug Manufacturers - General,50000.0,0.0055822292289272,Original defended-thesis large-cap universe.
ABNB,"Airbnb, Inc.",core,legacy_large_cap_core,keep,,,Consumer Cyclical,Travel Services,6907.0,0.0015085792111776,Original defended-thesis large-cap universe.
ABT,Abbott Laboratories,core,legacy_large_cap_core,keep,,,Healthcare,Medical Devices,114000.0,0.0035645619125812,Original defended-thesis large-cap universe.
ACN,Accenture plc,core,legacy_large_cap_core,keep,,,Technology,Information Technology Services,774000.0,0.0041228261620705,Original defended-thesis large-cap universe.
ADBE,Adobe Inc.,core,legacy_large_cap_core,keep,,,Technology,Software - Infrastructure,29945.0,0.003541476793231,Original defended-thesis large-cap universe.
ADI,"Analog Devices, Inc.",core,legacy_large_cap_core,keep,,,Technology,Semiconductors,26000.0,0.0018909858226522,Original defended-thesis large-cap universe.
ADP,"Automatic Data Processing, Inc.",core,legacy_large_cap_core,keep,,,Technology,Software - Application,64000.0,0.0021553625543498,Original defended-thesis large-cap universe.
ADSK,"Autodesk, Inc.",core,legacy_large_cap_core,keep,,,Technology,Software - Application,14100.0,0.0011558944403128,Original defended-thesis large-cap universe.
AEP,American Electric Power Company,core,legacy_large_cap_core,keep,,,Utilities,Utilities - Regulated Electric,17250.0,0.0008886857903243,Original defended-thesis large-cap universe.
AFL,AFLAC Incorporated,core,legacy_large_cap_core,keep,,,Financial Services,Insurance - Life,12785.0,0.0010263507408261,Original defended-thesis large-cap universe.
AIG,"American International Group, I",core,legacy_large_cap_core,keep,,,Financial Services,Insurance - Diversified,25000.0,0.0008157558434562,Original defended-thesis large-cap universe.
AJG,Arthur J. Gallagher & Co.,core,legacy_large_cap_core,keep,,,Financial Services,Insurance Brokers,51261.0,0.0012723284413913,Original defended-thesis large-cap universe.
ALL,Allstate Corporation (The),core,legacy_large_cap_core,keep,,,Financial Services,Insurance - Property & Casualty,53000.0,0.0009221471425966,Original defended-thesis large-cap universe.
AMAT,"Applied Materials, Inc.",core,legacy_large_cap_core,keep,,,Technology,Semiconductor Equipment & Materials,35200.0,0.0023948302842723,Original defended-thesis large-cap universe.
AMD,"Advanced Micro Devices, Inc.",core,legacy_large_cap_core,keep,,,Technology,Semiconductors,26000.0,0.003480503261541,Original defended-thesis large-cap universe.
AME,"AMETEK, Inc.",core,legacy_large_cap_core,keep,,,Industrials,Specialty Industrial Machinery,21500.0,0.0007630569162894,Original defended-thesis large-cap universe.
AMGN,Amgen Inc.,core,legacy_large_cap_core,keep,,,Healthcare,Drug Manufacturers - General,26700.0,0.0025471211505921,Original defended-thesis large-cap universe.
AMP,"Ameriprise Financial, Inc.",core,legacy_large_cap_core,keep,,,Financial Services,Asset Management,13800.0,0.0009287703781801,Original defended-thesis large-cap universe.
AMT,American Tower Corporation (REI,core,legacy_large_cap_core,keep,,,Real Estate,REIT - Specialty,5643.0,0.0015446400564816,Original defended-thesis large-cap universe.
AMZN,"Amazon.com, Inc.",core,legacy_large_cap_core,keep,,,Consumer Cyclical,Internet Retail,1551000.0,0.0425499486683522,Original defended-thesis large-cap universe.
ANET,"Arista Networks, Inc.",core,legacy_large_cap_core,keep,,,Technology,Computer Hardware,4023.0,0.0025568019500418,Original defended-thesis large-cap universe.
ANSS,"ANSYS, Inc.",core,legacy_large_cap_core,keep,,,Technology,Software - Application,6400.0,0.0005323854581097,Original defended-thesis large-cap universe.
AON,Aon plc,core,legacy_large_cap_core,keep,,,Financial Services,Insurance Brokers,50000.0,0.0013947705690998,Original defended-thesis large-cap universe.
APD,"Air Products and Chemicals, Inc",core,legacy_large_cap_core,keep,,,Basic Materials,Specialty Chemicals,23000.0,0.0011802194312508,Original defended-thesis large-cap universe.
APH,Amphenol Corporation,core,legacy_large_cap_core,keep,,,Technology,Electronic Components,95000.0,0.00153091193297,Original defended-thesis large-cap universe.
APP,AppLovin Corporation,core,legacy_large_cap_core,keep,,,Technology,Application Software,788.0,,Original defended-thesis large-cap universe.
ARM,Arm Holdings plc,core,legacy_large_cap_core,keep,,,Technology,Semiconductors,8330.0,,Original defended-thesis large-cap universe.
ASML,ASML Holding N.V.,core,legacy_large_cap_core,keep,,,Technology,Semiconductor Equipment & Materials,43129.0,,Original defended-thesis large-cap universe.
AVGO,Broadcom Inc.,core,legacy_large_cap_core,keep,,,Technology,Semiconductors,20000.0,0.0185529040232474,Original defended-thesis large-cap universe.
AXON,"Axon Enterprise, Inc.",core,legacy_large_cap_core,keep,,,Industrials,Aerospace & Defense,3330.0,0.0008666283089706,Original defended-thesis large-cap universe.
AXP,American Express Company,core,legacy_large_cap_core,keep,,,Financial Services,Credit Services,74600.0,0.0037850469689955,Original defended-thesis large-cap universe.
AZN,AstraZeneca plc,core,legacy_large_cap_core,keep,,,Healthcare,Pharmaceuticals,94300.0,,Original defended-thesis large-cap universe.
AZO,"AutoZone, Inc.",core,legacy_large_cap_core,keep,,,Consumer Cyclical,Specialty Retail,75600.0,0.0009839571546666,Original defended-thesis large-cap universe.
BA,Boeing Company (The),core,legacy_large_cap_core,keep,,,Industrials,Aerospace & Defense,171000.0,0.0023872432281541,Original defended-thesis large-cap universe.
BAC,Bank of America Corporation,core,legacy_large_cap_core,keep,,,Financial Services,Banks - Diversified,213000.0,0.0060974392415119,Original defended-thesis large-cap universe.
BDX,"Becton, Dickinson and Company",core,legacy_large_cap_core,keep,,,Healthcare,Medical Instruments & Supplies,70000.0,0.0011879455445866,Original defended-thesis large-cap universe.
BIIB,Biogen Inc.,core,legacy_large_cap_core,keep,,,Healthcare,Drug Manufacturers - General,7570.0,0.0003839958947196,Original defended-thesis large-cap universe.
BK,The Bank of New York Mellon Cor,core,legacy_large_cap_core,keep,,,Financial Services,Banks - Diversified,52600.0,0.0010153513664986,Original defended-thesis large-cap universe.
BKNG,Booking Holdings Inc. Common St,core,legacy_large_cap_core,keep,,,Consumer Cyclical,Travel Services,24200.0,0.0030061903672209,Original defended-thesis large-cap universe.
BKR,Baker Hughes Company,core,legacy_large_cap_core,keep,,,Energy,Oil & Gas Equipment & Services,57000.0,0.0007178098937109,Original defended-thesis large-cap universe.
BLK,"BlackRock, Inc.",core,legacy_large_cap_core,keep,,,Financial Services,Asset Management,20400.0,0.0028664127344873,Original defended-thesis large-cap universe.
BMY,Bristol-Myers Squibb Company,core,legacy_large_cap_core,keep,,,Healthcare,Drug Manufacturers - General,34100.0,0.0020919443569806,Original defended-thesis large-cap universe.
BRK-B,Berkshire Hathaway Inc. New,core,legacy_large_cap_core,keep,,,Financial Services,Insurance - Diversified,396500.0,0.0176094184142796,Original defended-thesis large-cap universe.
BSX,Boston Scientific Corporation,core,legacy_large_cap_core,keep,,,Healthcare,Medical Devices,48000.0,0.002358603926244,Original defended-thesis large-cap universe.
BX,Blackstone Inc.,core,legacy_large_cap_core,keep,,,Financial Services,Asset Management,4735.0,0.003727941394506,Original defended-thesis large-cap universe.
C,"Citigroup, Inc.",core,legacy_large_cap_core,keep,,,Financial Services,Banks - Diversified,229000.0,0.0023542700868338,Original defended-thesis large-cap universe.
CARR,Carrier Global Corporation,core,legacy_large_cap_core,keep,,,Industrials,Building Products & Equipment,53000.0,0.0011055825515098,Original defended-thesis large-cap universe.
CAT,"Caterpillar, Inc.",core,legacy_large_cap_core,keep,,,Industrials,Farm & Heavy Construction Machinery,113200.0,0.0031795032655226,Original defended-thesis large-cap universe.
CB,Chubb Limited,core,legacy_large_cap_core,keep,,,Financial Services,Insurance - Property & Casualty,40000.0,0.0019813127338562,Original defended-thesis large-cap universe.
CCEP,Coca-Cola Europacific Partners,core,legacy_large_cap_core,keep,,,Consumer Defensive,Beverages - Non-Alcoholic,41000.0,,Original defended-thesis large-cap universe.
CDNS,"Cadence Design Systems, Inc.",core,legacy_large_cap_core,keep,,,Technology,Software - Application,12703.0,0.001487554968429,Original defended-thesis large-cap universe.
CDW,CDW Corporation,core,legacy_large_cap_core,keep,,,Technology,Information Technology Services,15100.0,0.0004184510234137,Original defended-thesis large-cap universe.
CEG,Constellation Energy Corporatio,core,legacy_large_cap_core,keep,,,Utilities,Utilities - Renewable,13871.0,0.0012774583041531,Original defended-thesis large-cap universe.
CHTR,"Charter Communications, Inc.",core,legacy_large_cap_core,keep,,,Communication Services,Telecom Services,101100.0,0.0008991615814345,Original defended-thesis large-cap universe.
CI,The Cigna Group,core,legacy_large_cap_core,keep,,,Healthcare,Healthcare Plans,70325.0,0.0013857975097231,Original defended-thesis large-cap universe.
CL,Colgate-Palmolive Company,core,legacy_large_cap_core,keep,,,Consumer Defensive,Household & Personal Products,34000.0,0.0013527545081791,Original defended-thesis large-cap universe.
CMCSA,Comcast Corporation,core,legacy_large_cap_core,keep,,,Communication Services,Telecom Services,186000.0,0.0026312290280347,Original defended-thesis large-cap universe.
CME,CME Group Inc.,core,legacy_large_cap_core,keep,,,Financial Services,Financial Data & Stock Exchanges,3565.0,0.0015464776456592,Original defended-thesis large-cap universe.
CMG,"Chipotle Mexican Grill, Inc.",core,legacy_large_cap_core,keep,,,Consumer Cyclical,Restaurants,125000.0,0.001516725443855,Original defended-thesis large-cap universe.
CMI,Cummins Inc.,core,legacy_large_cap_core,keep,,,Industrials,Specialty Industrial Machinery,75500.0,0.0008672331010134,Original defended-thesis large-cap universe.
COF,Capital One Financial Corporati,core,legacy_large_cap_core,keep,,,Financial Services,Credit Services,52500.0,0.0012262262943013,Original defended-thesis large-cap universe.
COP,ConocoPhillips,core,legacy_large_cap_core,keep,,,Energy,Oil & Gas E&P,10300.0,0.0022137070424282,Original defended-thesis large-cap universe.
COR,"Cencora, Inc.",core,legacy_large_cap_core,keep,,,Healthcare,Medical Distribution,46000.0,0.0007917581933559,Original defended-thesis large-cap universe.
COST,Costco Wholesale Corporation,core,legacy_large_cap_core,keep,,,Consumer Defensive,Discount Stores,333000.0,0.007619493664505,Original defended-thesis large-cap universe.
CPRT,"Copart, Inc.",core,legacy_large_cap_core,keep,,,Industrials,Specialty Business Services,13086.0,0.0010092487664436,Original defended-thesis large-cap universe.
CRM,"Salesforce, Inc.",core,legacy_large_cap_core,keep,,,Technology,Software - Application,72682.0,0.0059168420147283,Original defended-thesis large-cap universe.
CRWD,"CrowdStrike Holdings, Inc.",core,legacy_large_cap_core,keep,,,Technology,Software - Infrastructure,9219.0,0.0016054688566531,Original defended-thesis large-cap universe.
CSCO,"Cisco Systems, Inc.",core,legacy_large_cap_core,keep,,,Technology,Communication Equipment,90400.0,0.004193244088571,Original defended-thesis large-cap universe.
CSGP,"CoStar Group, Inc.",core,legacy_large_cap_core,keep,,,Real Estate,Real Estate Services,6450.0,0.0005269199272896,Original defended-thesis large-cap universe.
