tag,variable,statement,priority
Assets,total_assets,balance,1
AssetsCurrent,current_assets,balance,1
CashAndCashEquivalentsAtCarryingValue,cash_equivalents,balance,1
CashAndCashEquivalentsFairValue,cash_equivalents,balance,2
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,cash_equivalents,balance,3
Liabilities,total_liabilities,balance,1
LiabilitiesCurrent,current_liabilities,balance,1
StockholdersEquity,total_equity,balance,1
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,total_equity,balance,2
RetainedEarningsAccumulatedDeficit,retained_earnings,balance,1
InventoryNet,inventory,balance,1
AccountsReceivableNetCurrent,accounts_receivable,balance,1
ReceivablesNetCurrent,accounts_receivable,balance,2
AccountsReceivableNet,accounts_receivable,balance,3
PropertyPlantAndEquipmentNet,ppe_net,balance,1
LiabilitiesNoncurrent,noncurrent_liabilities,balance,1
LongTermDebtNoncurrent,long_term_debt,balance,1
LongTermDebt,long_term_debt,balance,2
LongTermDebtAndCapitalLeaseObligations,long_term_debt,balance,3
DebtCurrent,short_term_debt,balance,1
LongTermDebtCurrent,short_term_debt,balance,2
LongTermDebtAndCapitalLeaseObligationsCurrent,short_term_debt,balance,3
ShortTermBorrowings,short_term_debt,balance,4
Revenues,total_revenue,flow,1
RevenueFromContractWithCustomerExcludingAssessedTax,total_revenue,flow,2
SalesRevenueNet,total_revenue,flow,3
SalesRevenueGoodsNet,total_revenue,flow,4
SalesRevenueServicesNet,total_revenue,flow,5
RevenueFromContractWithCustomerIncludingAssessedTax,total_revenue,flow,6
CostOfRevenue,cost_of_revenue,flow,1
CostOfGoodsAndServicesSold,cost_of_revenue,flow,2
CostOfGoodsSold,cost_of_revenue,flow,3
CostOfSales,cost_of_revenue,flow,4
GrossProfit,gross_profit,flow,1
ResearchAndDevelopmentExpense,r_and_d_expense,flow,1
ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,r_and_d_expense,flow,2
ResearchAndDevelopmentCost,r_and_d_expense,flow,3
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,r_and_d_expense,flow,4
SellingGeneralAndAdministrativeExpense,sg_and_a,flow,1
OperatingIncomeLoss,operating_income,flow,1
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,pretax_income,flow,1
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterestIncludingPortionAttributableToNoncontrollingInterest,pretax_income,flow,2
NetIncomeLoss,net_income,flow,1
ProfitLoss,net_income,flow,2
NetIncomeLossAvailableToCommonStockholdersBasic,net_income,flow,3
DepreciationDepletionAndAmortization,depreciation_amortization,flow,1
DepreciationAndAmortization,depreciation_amortization,flow,2
NetCashProvidedByUsedInOperatingActivities,cash_flow_operating,flow,1
NetCashProvidedByUsedInInvestingActivities,cash_flow_investing,flow,1
NetCashProvidedByUsedInFinancingActivities,cash_flow_financing,flow,1
PaymentsToAcquirePropertyPlantAndEquipment,capex,flow,1
CapitalExpenditures,capex,flow,2
CommonStockSharesOutstanding,shares_outstanding,shares,1
WeightedAverageNumberOfSharesOutstandingBasic,wavg_shares_basic,shares,1
WeightedAverageNumberOfDilutedSharesOutstanding,wavg_shares_diluted,shares,1
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,wavg_shares_basic,shares,2
EarningsPerShareBasic,eps_basic,eps,1
EarningsPerShareDiluted,eps_diluted,eps,1
