selection_bucket,selected_rank_within_bucket,selected_ticker,cik,name,selected_shortname,selected_exchange,Sector,selected_industry,filings,first_period,last_period,countryba,stprba,sic,forms,afs_values,has_current_ticker,selection_score
coverage_ended_event_review,1,CIK0000007332,7332,SOUTHWESTERN ENERGY CO,Southwestern Energy,historical_or_delisted,Energy,SIC 1311.0,63,20090630,20240630,US,TX,1311.0,"10-K,10-K/A,10-Q,10-Q/A",1-LAF,False,27.53
coverage_ended_event_review,2,CIK0001364742,1364742,BLACKROCK INC.,Blackrock,historical_or_delisted,Financial Services,SIC 6211.0,61,20090630,20240630,US,NY,6211.0,"10-K,10-Q",1-LAF,False,26.53
coverage_ended_event_review,3,CIK0000867773,867773,SUNPOWER CORP,Sunpower,historical_or_delisted,Technology,SIC 3674.0,58,20100630,20230930,US,CA,3674.0,"10-K,10-K/A,10-Q,10-Q/A","1-LAF,2-ACC",False,24.474
coverage_ended_event_review,4,CIK0000811532,811532,CEDAR FAIR L P,Cedar Fair L P,historical_or_delisted,Communication Services,SIC 7990.0,57,20100630,20240331,US,OH,7990.0,"10-K,10-K/A,10-Q",1-LAF,False,23.523999999999997
coverage_ended_event_review,5,CIK0000059440,59440,VECTOR GROUP LTD,Vector,historical_or_delisted,Industrials,SIC 2111.0,57,20100630,20240630,US,FL,2111.0,"10-K,10-Q",1-LAF,False,23.534
coverage_ended_event_review,6,CIK0000084129,84129,RITE AID CORP,Rite Aid,historical_or_delisted,Consumer Cyclical,SIC 5912.0,56,20100831,20230831,US,PA,5912.0,"10-K,10-K/A,10-Q,10-Q/A","1-LAF,2-ACC",False,22.466
coverage_ended_event_review,7,CIK0000701288,701288,ATRION CORP,Atrion,historical_or_delisted,Healthcare,SIC 3841.0,55,20110630,20240630,US,TX,3841.0,"10-K,10-K/A,10-Q,10-Q/A","1-LAF,2-ACC,4-NON",False,21.544
coverage_ended_event_review,8,CIK0000890447,890447,VERTEX ENERGY INC.,Vertex Energy,historical_or_delisted,Utilities,SIC 4953.0,55,20110630,20240630,US,TX,4953.0,"10-K,10-K/A,10-Q,10-Q/A","1-LAF,2-ACC,4-NON,5-SML",False,21.544
coverage_ended_event_review,9,CDP,860546,CORPORATE OFFICE PROPERTIES TRUST,COPT DEFENSE PROPERTIES,NYSE,Real Estate,SIC 6798.0,54,20100630,20230630,US,MD,6798.0,"10-K,10-Q,10-Q/A",1-LAF,True,20.444
coverage_ended_event_review,10,CIK0000784011,784011,POPE RESOURCES LTD PARTNERSHIP,Pope Resources Partnership,historical_or_delisted,Agriculture,SIC 800.0,36,20110630,20200331,US,WA,800.0,"10-K,10-Q",2-ACC,False,2.1740000000000004
coverage_ended_event_review,11,CIK0001038357,1038357,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources,historical_or_delisted,Energy,SIC 1311.0,59,20090630,20240331,US,TX,1311.0,"10-K,10-Q,10-Q/A",1-LAF,False,25.52
coverage_ended_event_review,12,FLG,910073,NEW YORK COMMUNITY BANCORP INC,"FLAGSTAR BANK, NATIONAL ASSOCIATION",NYSE,Financial Services,SIC 6036.0,59,20090630,20230930,US,NY,6036.0,"10-K,10-Q,10-Q/A",1-LAF,True,25.470000000000002
coverage_ended_event_review,13,CIK0000718877,718877,"ACTIVISION BLIZZARD, INC.",Activision Blizzard,historical_or_delisted,Technology,SIC 7372.0,58,20090630,20230630,US,CA,7372.0,"10-K,10-K/A,10-Q",1-LAF,False,24.44
coverage_ended_event_review,14,CIK0000701374,701374,SIX FLAGS ENTERTAINMENT CORP,Six Flags Entertainment,historical_or_delisted,Communication Services,SIC 7990.0,52,20110630,20240331,US,TX,7990.0,"10-K,10-Q","1-LAF,2-ACC",False,18.534
coverage_ended_event_review,15,CIK0000008868,8868,AVON PRODUCTS INC,Avon Products,historical_or_delisted,Industrials,SIC 2844.0,57,20090630,20230331,US,NY,2844.0,"10-K,10-K/A,10-Q","1-LAF,4-NON",False,23.42
coverage_ended_event_review,16,RS,861884,RELIANCE STEEL & ALUMINUM CO,"RELIANCE, INC.",NYSE,Consumer Cyclical,SIC 5051.0,54,20100630,20230930,US,CA,5051.0,"10-K,10-Q",1-LAF,True,20.474
coverage_ended_event_review,17,CIK0001267602,1267602,ALIMERA SCIENCES INC,Alimera Sciences,historical_or_delisted,Healthcare,SIC 2834.0,53,20110630,20240630,US,GA,2834.0,"10-K,10-Q,10-Q/A","2-ACC,3-SRA,4-NON,5-SML",False,19.544
coverage_ended_event_review,18,CIK0000073088,73088,NORTHWESTERN CORP,Northwestern,historical_or_delisted,Utilities,SIC 4931.0,54,20100630,20230930,US,SD,4931.0,"10-K,10-Q,10-Q/A",1-LAF,False,20.474
coverage_ended_event_review,19,SFES,86115,SAFEGUARD SCIENTIFICS INC,SAFEGUARD SCIENTIFICS INC,OTC,Real Estate,SIC 6799.0,53,20110630,20231231,US,PA,6799.0,"10-K,10-K/A,10-Q,10-Q/A","2-ACC,3-SRA,4-NON",True,19.514
coverage_ended_event_review,20,CIK0001288750,1288750,TIMBERLINE RESOURCES CORP,Timberline Resources,historical_or_delisted,Energy,SIC 1040.0,55,20110630,20240630,US,ID,1040.0,"10-K,10-K/A,10-Q,10-Q/A","2-ACC,4-NON,5-SML",False,21.544
coverage_ended_event_review,21,CIK0000921183,921183,HMN FINANCIAL INC,Hmn Financial,historical_or_delisted,Financial Services,SIC 6035.0,54,20110630,20240630,US,MN,6035.0,"10-K,10-K/A,10-Q","2-ACC,4-NON,5-SML",False,20.544
coverage_ended_event_review,22,CIK0001085869,1085869,PERFICIENT INC,Perficient,historical_or_delisted,Technology,SIC 7371.0,53,20110630,20240630,US,MO,7371.0,"10-K,10-Q,10-Q/A","1-LAF,2-ACC",False,19.544
coverage_ended_event_review,23,CIK0001091907,1091907,WORLD WRESTLING ENTERTAINMENTINC,World Wrestling Entertainmentinc,historical_or_delisted,Communication Services,SIC 7812.0,52,20110331,20230630,US,CT,7812.0,"10-K,10-K/A,10-Q,10-Q/A","1-LAF,2-ACC",False,18.452
