ticker,cik,firm_id,shortname,sec_name,exchange,Sector,Industry,cohort,include_status,sec_filings,first_period,last_period,notes
AAPL,320193.0,CIK0000320193,Apple Inc.,Apple Inc.,Nasdaq,Technology,Consumer Electronics,core_large_cap,include_legacy_core,68.0,20090630.0,20251231.0,Existing defended-thesis universe.
ABBV,1551152.0,CIK0001551152,AbbVie Inc.,AbbVie Inc.,NYSE,Healthcare,Drug Manufacturers - General,core_large_cap,include_legacy_core,52.0,20130331.0,20251231.0,Existing defended-thesis universe.
ABNB,1559720.0,CIK0001559720,"Airbnb, Inc.","Airbnb, Inc.",Nasdaq,Consumer Cyclical,Travel Services,core_large_cap,include_legacy_core,20.0,20210331.0,20251231.0,Existing defended-thesis universe.
ABT,1800.0,CIK0000001800,Abbott Laboratories,ABBOTT LABORATORIES,NYSE,Healthcare,Medical Devices,core_large_cap,include_legacy_core,67.0,20090630.0,20251231.0,Existing defended-thesis universe.
ACN,1467373.0,CIK0001467373,Accenture plc,Accenture plc,NYSE,Technology,Information Technology Services,core_large_cap,include_legacy_core,66.0,20091130.0,20260228.0,Existing defended-thesis universe.
ADBE,796343.0,CIK0000796343,Adobe Inc.,ADOBE INC.,Nasdaq,Technology,Software - Infrastructure,core_large_cap,include_legacy_core,37.0,20090531.0,20180831.0,Existing defended-thesis universe.
ADI,6281.0,CIK0000006281,"Analog Devices, Inc.",ANALOG DEVICES INC,Nasdaq,Technology,Semiconductors,core_large_cap,include_legacy_core,67.0,20090731.0,20260131.0,Existing defended-thesis universe.
ADP,8670.0,CIK0000008670,"Automatic Data Processing, Inc.",AUTOMATIC DATA PROCESSING INC,Nasdaq,Technology,Software - Application,core_large_cap,include_legacy_core,65.0,20090930.0,20251231.0,Existing defended-thesis universe.
ADSK,769397.0,CIK0000769397,"Autodesk, Inc.","Autodesk, Inc.",Nasdaq,Technology,Software - Application,core_large_cap,include_legacy_core,41.0,20090430.0,20190731.0,Existing defended-thesis universe.
AEP,4904.0,CIK0000004904,American Electric Power Company,AMERICAN ELECTRIC POWER CO INC,Nasdaq,Utilities,Utilities - Regulated Electric,core_large_cap,include_legacy_core,67.0,20090630.0,20251231.0,Existing defended-thesis universe.
