column,dtype,feature_family,missing_share
adsh,object,identifier_or_time,0.0
cik,int64,identifier_or_time,0.0
name,object,identifier_or_time,0.0
sic,int64,industry_or_universe_metadata,0.0
afs,object,identifier_or_time,0.0
form,object,identifier_or_time,0.0
period,int64,identifier_or_time,0.0
fy,float64,identifier_or_time,0.000378525014194688
fp,object,identifier_or_time,0.000378525014194688
filed,int64,identifier_or_time,0.0
sec_zip,object,identifier_or_time,0.0
accounts_receivable,float64,sec_accounting_fundamental,0.24843858431644691
capex,float64,sec_accounting_fundamental,0.3515866506844994
cash_equivalents,float64,sec_accounting_fundamental,0.042931045359914204
cash_flow_financing,float64,sec_accounting_fundamental,0.16588858747082202
cash_flow_investing,float64,sec_accounting_fundamental,0.16620402498265094
cash_flow_operating,float64,sec_accounting_fundamental,0.1659201312220049
cost_of_revenue,float64,sec_accounting_fundamental,0.48394423064790865
current_assets,float64,sec_accounting_fundamental,0.17910541921645323
current_liabilities,float64,sec_accounting_fundamental,0.18002018800075706
depreciation_amortization,float64,sec_accounting_fundamental,0.3589994322124787
eps_basic,float64,sec_accounting_fundamental,0.09564065358652452
eps_diluted,float64,sec_accounting_fundamental,0.0960191786007192
gross_profit,float64,sec_accounting_fundamental,0.6981893886821021
inventory,float64,sec_accounting_fundamental,0.46766765503753704
long_term_debt,float64,sec_accounting_fundamental,0.271213172670494
net_income,float64,sec_accounting_fundamental,0.005393981452274305
noncurrent_liabilities,float64,sec_accounting_fundamental,0.8723108952116586
operating_income,float64,sec_accounting_fundamental,0.25802788467604565
ppe_net,float64,sec_accounting_fundamental,0.16651946249447985
pretax_income,float64,sec_accounting_fundamental,0.5052678064475428
r_and_d_expense,float64,sec_accounting_fundamental,0.7295754211090782
retained_earnings,float64,sec_accounting_fundamental,0.056337139612642737
sg_and_a,float64,sec_accounting_fundamental,0.5090846003406725
shares_outstanding,float64,sec_accounting_fundamental,0.46400857990032174
short_term_debt,float64,sec_accounting_fundamental,0.38997539587407737
total_assets,float64,sec_accounting_fundamental,0.0024288688410825814
total_equity,float64,sec_accounting_fundamental,0.015866506844994008
total_liabilities,float64,sec_accounting_fundamental,0.3272664185224907
total_revenue,float64,sec_accounting_fundamental,0.10655479149580468
wavg_shares_basic,float64,sec_accounting_fundamental,0.249574159359031
wavg_shares_diluted,float64,sec_accounting_fundamental,0.2744937227935146
ticker,object,identifier_or_time,0.0
firm_id,object,identifier_or_time,0.0
shortname,object,identifier_or_time,0.18847391331777175
sec_name,object,identifier_or_time,0.0
exchange,object,industry_or_universe_metadata,0.04841965806573718
Sector,object,industry_or_universe_metadata,0.0
Industry,object,industry_or_universe_metadata,0.23689357138350892
cohort,object,industry_or_universe_metadata,0.0
include_status,object,industry_or_universe_metadata,0.0
notes,object,industry_or_universe_metadata,0.0
ticker_aliases,object,identifier_or_time,0.0
event_lookup_tickers,object,identifier_or_time,0.0
duplicate_cik_alias_count,int64,industry_or_universe_metadata,0.0
period_date,datetime64[ns],identifier_or_time,0.0
filed_date,datetime64[ns],identifier_or_time,0.0
prediction_date,datetime64[ns],identifier_or_time,0.0
prediction_date_source,object,identifier_or_time,0.0
calendar_year,int64,identifier_or_time,0.0
calendar_quarter,int64,identifier_or_time,0.0
prediction_year,int64,identifier_or_time,0.0
prediction_quarter,int64,identifier_or_time,0.0
sic_sector,object,industry_or_universe_metadata,0.0
leverage_assets,float64,financial_ratio,0.3272979622736736
equity_assets,float64,financial_ratio,0.016718188126932054
current_ratio,float64,financial_ratio,0.18008327550312284
cash_assets,float64,financial_ratio,0.04384581414421803
net_margin,float64,financial_ratio,0.11116017916850672
operating_margin,float64,financial_ratio,0.30174752381553216
gross_margin,float64,financial_ratio,0.7024793388429752
roa,float64,financial_ratio,0.006844994006687275
r_and_d_intensity,float64,financial_ratio,0.7376190776607154
inventory_assets,float64,financial_ratio,0.46804618005173176
receivables_assets,float64,financial_ratio,0.2488486530818245
roa_lag1,float64,firm_trend_or_deterioration,0.023815532143082456
leverage_assets_lag1,float64,firm_trend_or_deterioration,0.3395684814838181
current_ratio_lag1,float64,firm_trend_or_deterioration,0.19421487603305784
cash_assets_lag1,float64,firm_trend_or_deterioration,0.06069017727588165
net_margin_lag1,float64,firm_trend_or_deterioration,0.1267427922528547
operating_margin_lag1,float64,firm_trend_or_deterioration,0.31427039303513976
gross_margin_lag1,float64,firm_trend_or_deterioration,0.7076840577881521
total_revenue_growth_4obs,float64,firm_trend_or_deterioration,0.17601413160052992
total_assets_growth_4obs,float64,firm_trend_or_deterioration,0.07188820894580783
cash_equivalents_growth_4obs,float64,firm_trend_or_deterioration,0.11645952936723235
total_liabilities_growth_4obs,float64,firm_trend_or_deterioration,0.3789350829600656
current_assets_growth_4obs,float64,firm_trend_or_deterioration,0.23755599015834963
current_liabilities_growth_4obs,float64,firm_trend_or_deterioration,0.23856539019620213
roa_change_4obs,float64,firm_trend_or_deterioration,0.07762917166109394
leverage_assets_change_4obs,float64,firm_trend_or_deterioration,0.3785881016970538
