adsh,cik,name,sic,afs,form,period,fy,fp,filed,sec_zip,accounts_receivable,capex,cash_equivalents,cash_flow_financing,cash_flow_investing,cash_flow_operating,cost_of_revenue,current_assets,current_liabilities,depreciation_amortization,eps_basic,eps_diluted,gross_profit,inventory,long_term_debt,net_income,noncurrent_liabilities,operating_income,ppe_net,pretax_income,r_and_d_expense,retained_earnings,sg_and_a,shares_outstanding,short_term_debt,total_assets,total_equity,total_liabilities,total_revenue,wavg_shares_basic,wavg_shares_diluted,ticker,firm_id,shortname,sec_name,exchange,Sector,Industry,cohort,include_status,notes,ticker_aliases,event_lookup_tickers,duplicate_cik_alias_count,period_date,filed_date,prediction_date,prediction_date_source,calendar_year,calendar_quarter,prediction_year,prediction_quarter,sic_sector,leverage_assets,equity_assets,current_ratio,cash_assets,net_margin,operating_margin,gross_margin,roa,r_and_d_intensity,inventory_assets,receivables_assets,roa_lag1,leverage_assets_lag1,current_ratio_lag1,cash_assets_lag1,net_margin_lag1,operating_margin_lag1,gross_margin_lag1,total_revenue_growth_4obs,total_assets_growth_4obs,cash_equivalents_growth_4obs,total_liabilities_growth_4obs,current_assets_growth_4obs,current_liabilities_growth_4obs,roa_change_4obs,leverage_assets_change_4obs,current_ratio_change_4obs,cash_assets_change_4obs,net_margin_change_4obs,operating_margin_change_4obs,gross_margin_change_4obs,net_income_negative_count_prior_4obs,BAMLH0A0HYM2,FEDFUNDS,GDPC1,GS10,INDPRO,INDPRO_yoy_pct,M2SL,M2SL_yoy_pct,NFCI,UNRATE,USEPUINDXD,VIXCLS,T10Y2Y,T10Y3M,DCOILWTICO,DCOILWTICO_yoy_pct,DTWEXBGS,DTWEXBGS_yoy_pct,CPIAUCSL,CPIAUCSL_yoy_pct,PPIACO,PPIACO_yoy_pct,PAYEMS,PAYEMS_yoy_pct,RSAFS,RSAFS_yoy_pct,HOUST,HOUST_yoy_pct,BUSLOANS,BUSLOANS_yoy_pct,DRTSCILM,high_rate_regime,market_stress_regime,tight_financial_conditions,credit_spread_stress_regime,yield_curve_inversion_regime,inflation_pressure_regime,oil_shock_regime,strong_dollar_regime,demand_slowdown_regime,credit_tightening_regime,crisis_regime,global_event_count,global_event_severity_sum,global_event_banking_stress_count,global_event_banking_stress_severity,global_event_commodity_oil_count,global_event_commodity_oil_severity,global_event_financial_crisis_count,global_event_financial_crisis_severity,global_event_financial_market_count,global_event_financial_market_severity,global_event_geopolitical_war_count,global_event_geopolitical_war_severity,global_event_monetary_inflation_count,global_event_monetary_inflation_severity,global_event_natural_disaster_count,global_event_natural_disaster_severity,global_event_pandemic_count,global_event_pandemic_severity,global_event_political_policy_count,global_event_political_policy_severity,global_event_sovereign_debt_count,global_event_sovereign_debt_severity,global_event_supply_chain_count,global_event_supply_chain_severity,global_event_trade_policy_count,global_event_trade_policy_severity,global_event_names,event_year,event_source_ticker,event_date,event_type,event_label,verification_status,formal_distress_firm,near_distress_firm,days_from_period_to_event,days_to_event,post_event_flag,distress_next_2q,distress_next_4q,distress_next_8q,broad_distress_next_4q,healthy_current,resilient_profitability,failure_pressure_conservative_v2_next_4obs,success_profitability_next_4q,success_resilience_next_4q,success_quality_next_4q,industry_relative_resilience_next_4obs,stress_resilience_next_4obs,recovery_next_4obs,quality_success_cashflow_next_4obs
0001140361-09-022500,1090872,AGILENT TECHNOLOGIES INC,3825,1-LAF,10-Q/A,20090731,2009.0,Q3,20091005,2009q4,544000000.0,,1479000000.0,,,,518000000.0,2897000000.0,991000000.0,,-0.06,-0.06,,571000000.0,1515000000.0,-19000000.0,,-1000000.0,839000000.0,,153000000.0,2735000000.0,387000000.0,,,6573000000.0,2489000000.0,4084000000.0,1057000000.0,345000000.0,345000000.0,A,CIK0001090872,,"AGILENT TECHNOLOGIES, INC.",NYSE,Technology,,additional_controls,include_if_num_tags_parse,Existing extra ticker list; use as matched non-distressed controls if SEC coverage is sufficient.,A,A,1,2009-07-31,2009-10-05,2009-10-05,filed_date,2009,3,2009,4,Technology,0.6213296820325575,0.3786703179674425,2.923309788092836,0.2250114103149247,-0.0179754020813623,-0.0009460737937559,,-0.0028906131142552,0.1447492904446546,0.0868705309599878,0.0827628175870987,,,,,,,,,,,,,,,,,,,,,0.0,8.15,0.12,16502.754,3.39,87.6419,-7.474512230012276,8487.9,6.432682541473866,0.083,10.0,42.01,26.84,2.36,3.16,70.26,0.644606789858182,93.3356,-5.115891346779433,216.509,-0.2239682942003384,175.2,-6.008583690987135,130061,-4.571101540087019,334595,-3.334517835423545,534,-31.27413127413128,1308.1789,-17.56472489666122,14.0,0,1,1,1,0,0,0,0,1,1,1,1,5.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Global financial crisis aftershock,,,,,,,0,0,,,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0,1,1,1
0001047469-09-010861,1090872,AGILENT TECHNOLOGIES INC,3825,1-LAF,10-K,20091031,2009.0,FY,20091221,2009q4,595000000.0,30000000.0,2479000000.0,761000000.0,-48000000.0,213000000.0,533000000.0,3961000000.0,1123000000.0,40000000.0,-0.09,-0.09,,552000000.0,1516000000.0,25000000.0,,71000000.0,845000000.0,,150000000.0,2760000000.0,413000000.0,,,7612000000.0,2506000000.0,5106000000.0,1167000000.0,346.0,346.0,A,CIK0001090872,,"AGILENT TECHNOLOGIES, INC.",NYSE,Technology,,additional_controls,include_if_num_tags_parse,Existing extra ticker list; use as matched non-distressed controls if SEC coverage is sufficient.,A,A,1,2009-10-31,2009-12-21,2009-12-21,filed_date,2009,4,2009,4,Technology,0.6707829742511824,0.3292170257488176,3.527159394479074,0.3256699947451392,0.0214224507283633,0.0608397600685518,,0.0032842879663688,0.1285347043701799,0.0725170782974251,0.0781660535995796,-0.0028906131142552,0.6213296820325575,2.923309788092836,0.2250114103149247,-0.0179754020813623,-0.0009460737937559,,,,,,,,,,,,,,,1.0,6.72,0.12,16502.754,3.59,88.3793,-2.704223119324234,8512.2,3.747851841017957,-0.117,9.9,177.9,20.49,2.8,3.61,72.71,,,,217.347,2.8141231232083674,178.1,4.21299005266238,129808,-3.736827663945064,338736,4.301237502578781,581,3.750000000000009,1265.5793,-18.831184573568127,14.0,0,0,0,1,0,0,0,0,0,1,1,1,5.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Global financial crisis aftershock,,,,,,,0,0,,,0,0,0,0,0,1,1,0.0,1.0,1.0,1.0,0,1,,1
0000950123-10-066894,6201,AMR CORP,4512,1-LAF,10-Q,20100630,2010.0,Q2,20100721,2010q3,910000000.0,,197000000.0,,,,,7344000000.0,9359000000.0,267000000.0,-0.03,-0.03,,,9142000000.0,-11000000.0,,196000000.0,14996000000.0,,,-5652000000.0,,,1727000000.0,25885000000.0,-3930000000.0,,5674000000.0,,,AAMRQ,CIK0000006201,AMR CORP,AMR CORP,,Industrials,,distress_candidates,include_if_num_tags_parse,bankruptcy; event_year=2011; filings=15.0,AAMRQ,AAMRQ,1,2010-06-30,2010-07-21,2010-07-21,filed_date,2010,2,2010,3,Industrials,,-0.1518253814950743,0.784699220002137,0.0076105852810508,-0.0019386676066267,0.0345435318998942,,-0.0004249565385358,,,0.0351554954606915,,,,,,,,,,,,,,,,,,,,,0.0,6.75,0.18,16872.266,3.01,92.3421,7.747013804699288,8639.5,2.079517929934416,-0.185,9.4,177.21,25.64,2.32,2.74,76.27,6.537225869534846,94.4496,0.8720206849928136,217.605,1.3407784804821077,184.1,6.724637681159407,130415,-0.1890373635793141,347612,4.178379836365265,546,-8.080808080808078,1189.0278,-14.79395345020883,-8.8,0,1,0,1,0,0,0,0,0,0,0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,0,0.0,European sovereign debt crisis,2011.0,AAMRQ,2011-11-29,bankruptcy,formal_distress,source_verified_2026_05_07,1,0,517.0,496.0,0,0,0,1,0,0,0,1.0,0.0,,,,,,
0000950123-10-094605,6201,AMR CORP,4512,1-LAF,10-Q,20100930,2010.0,Q3,20101020,2010q4,889000000.0,,202000000.0,210000000.0,-122000000.0,-83000000.0,,6837000000.0,8939000000.0,274000000.0,0.43,0.39,,,9010000000.0,143000000.0,,342000000.0,15041000000.0,,,-5509000000.0,,,1669000000.0,25357000000.0,-3643000000.0,,5842000000.0,,,AAMRQ,CIK0000006201,AMR CORP,AMR CORP,,Industrials,,distress_candidates,include_if_num_tags_parse,bankruptcy; event_year=2011; filings=15.0,AAMRQ,AAMRQ,1,2010-09-30,2010-10-20,2010-10-20,filed_date,2010,3,2010,4,Industrials,,-0.1436684150333241,0.7648506544356192,0.0079662420633355,0.0244779185210544,0.0585415953440602,,0.0056394683913712,,,0.035059352447056,-0.0004249565385358,,0.784699220002137,0.0076105852810508,-0.0019386676066267,0.0345435318998942,,,,,,,,,,,,,,,1.0,6.06,0.19,16960.864,2.54,92.6903,5.760258506490601,8768.4,3.3047043438306334,-0.398,9.4,206.51,19.79,2.16,2.37,81.93,4.930840163934436,90.1446,-2.493777724415669,219.035,1.1666951489314623,186.6,6.506849315068486,130620,0.4297983254011539,356215,6.461543059519714,543,1.6853932584269593,1185.2038,-9.400480316568329,-10.5,0,0,0,1,0,0,0,0,0,0,0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,0,0.0,European sovereign debt crisis,2011.0,AAMRQ,2011-11-29,bankruptcy,formal_distress,source_verified_2026_05_07,1,0,425.0,405.0,0,0,1,1,1,0,0,1.0,0.0,,,0,,0,0
0001193125-09-153165,320193,APPLE INC,3571,1-LAF,10-Q,20090630,2009.0,Q3,20090722,2009q3,2686000000.0,,5605000000.0,,,,5314000000.0,35170000000.0,16661000000.0,,1.38,1.35,3023000000.0,380000000.0,,1229000000.0,,1672000000.0,,,341000000.0,17878000000.0,1010000000.0,895735210.0,,48140000000.0,25888000000.0,22252000000.0,8337000000.0,893712000.0,909160000.0,AAPL,CIK0000320193,Apple Inc.,Apple Inc.,Nasdaq,Technology,Consumer Electronics,core_large_cap,include_legacy_core,Existing defended-thesis universe.,AAPL,AAPL,1,2009-06-30,2009-07-22,2009-07-22,filed_date,2009,2,2009,3,Technology,0.4622351474864977,0.5377648525135023,2.110917712022088,0.1164312422102201,0.1474151373395706,0.2005517572268202,0.3626004557994482,0.0255297050270045,0.0409020031186278,0.0078936435396759,0.0557955961778147,,,,,,,,,,,,,,,,,,,,,0.0,10.18,0.16,16326.281,3.56,85.7027,-14.018720654921957,8463.5,8.628966012937678,0.557,9.5,108.88,23.47,2.6,3.39,64.58,-46.825854261012765,94.8659,8.964738557174211,214.726,-1.958761003762277,172.5,-16.058394160583944,130662,-4.97101754947381,333670,-9.228659880193913,594,-35.64463705308776,1395.4735,-7.723000811100789,31.5,0,0,1,1,0,0,0,1,1,1,1,1,5.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Global financial crisis aftershock,,,,,,,0,0,,,0,0,0,0,0,1,1,0.0,1.0,1.0,1.0,1,1,,1
0001193125-09-214859,320193,APPLE INC,3571,1-LAF,10-K,20090930,2009.0,FY,20091027,2009q4,3361000000.0,,5263000000.0,319000000.0,-3771000000.0,3110000000.0,6256000000.0,36265000000.0,19282000000.0,,6.39,6.29,3614000000.0,455000000.0,,1665000000.0,,2193000000.0,,,358000000.0,19538000000.0,1063000000.0,899805500.0,,53851000000.0,27832000000.0,26019000000.0,9870000000.0,893016000.0,907005000.0,AAPL,CIK0000320193,Apple Inc.,Apple Inc.,Nasdaq,Technology,Consumer Electronics,core_large_cap,include_legacy_core,Existing defended-thesis universe.,AAPL,AAPL,1,2009-09-30,2009-10-27,2009-10-27,filed_date,2009,3,2009,4,Technology,0.4831665150136487,0.5168334849863512,1.880769629706462,0.0977326326344914,0.168693009118541,0.2221884498480243,0.366160081053698,0.0309186458932981,0.0362715298885511,0.0084492395684388,0.0624129542626877,0.0255297050270045,0.4622351474864977,2.110917712022088,0.1164312422102201,0.1474151373395706,0.2005517572268202,0.3626004557994482,,,,,,,,,,,,,,0.0,7.47,0.12,16502.754,3.39,87.6419,-7.474512230012276,8487.9,6.432682541473866,0.032,10.0,82.04,24.83,2.5,3.41,79.45,30.11791680314444,92.5335,-6.902702767962787,216.509,-0.2239682942003384,175.2,-6.008583690987135,130061,-4.571101540087019,334595,-3.334517835423545,534,-31.27413127413128,1308.1789,-17.56472489666122,14.0,0,0,1,1,0,0,1,0,1,1,1,1,5.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Global financial crisis aftershock,,,,,,,0,0,,,0,0,0,0,0,1,1,0.0,1.0,1.0,1.0,1,1,,1
0001104659-13-038917,1551152,ABBVIE INC.,2834,4-NON,10-Q,20130331,2013.0,Q1,20130508,2013q2,,88000000.0,6979000000.0,,,,1153000000.0,14923000000.0,6766000000.0,,0.61,0.6,,1037000000.0,14601000000.0,968000000.0,,1305000000.0,2200000000.0,,634000000.0,330000000.0,1237000000.0,,22000000.0,27169000000.0,2957000000.0,,4329000000.0,1588000000.0,1605000000.0,ABBV,CIK0001551152,AbbVie Inc.,AbbVie Inc.,NYSE,Healthcare,Drug Manufacturers - General,core_large_cap,include_legacy_core,Existing defended-thesis universe.,ABBV,ABBV,1,2013-03-31,2013-05-08,2013-05-08,filed_date,2013,1,2013,2,Healthcare,,0.1088372777798225,2.2055867573159915,0.25687364275461,0.2236082236082236,0.3014553014553014,,0.0356288416945783,0.1464541464541464,0.0381685008649563,,,,,,,,,,,,,,,,,,,,,,0.0,4.24,0.11,17709.671,1.93,99.1839,1.5594777439077443,10646.1,6.980927306710627,-0.713,7.5,60.31,12.66,1.59,1.77,96.24,3.9645673544344895,91.1848,-2.051356417403827,231.893,1.3903888279197083,204.1,1.08964834076275,136096,1.6157453035869018,406677,3.909539675401663,930,31.35593220338984,1510.4217,9.527064376754346,-19.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,0,0,,,0,0,0,0,0,0,0,0.0,1.0,,,,,,
0001104659-13-062262,1551152,ABBVIE INC.,2834,4-NON,10-Q,20130630,2013.0,Q2,20130809,2013q3,,119000000.0,8743000000.0,,,,1054000000.0,15662000000.0,6805000000.0,,0.67,0.66,,1085000000.0,14326000000.0,1068000000.0,,1453000000.0,2213000000.0,,709000000.0,758000000.0,1406000000.0,,22000000.0,27910000000.0,3558000000.0,,4692000000.0,1589000000.0,1609000000.0,ABBV,CIK0001551152,AbbVie Inc.,AbbVie Inc.,NYSE,Healthcare,Drug Manufacturers - General,core_large_cap,include_legacy_core,Existing defended-thesis universe.,ABBV,ABBV,1,2013-06-30,2013-08-09,2013-08-09,filed_date,2013,2,2013,3,Healthcare,,0.1274811895378,2.3015429831006613,0.3132568971694733,0.227621483375959,0.3096760443307758,,0.0382658545324256,0.1511082693947144,0.0388749552131852,,0.0356288416945783,,2.2055867573159915,0.25687364275461,0.2236082236082236,0.3014553014553014,,,,,,,,,,,,,,,0.0,4.8,0.08,17860.45,2.74,99.6543,2.2593571227008,10801.2,6.46191452452296,-0.673,7.2,99.01,13.41,2.25,2.52,106.04,9.443699040148632,92.8394,0.436192746997377,233.456,1.538809488600279,204.2,0.7400098667982302,136646,1.7172972852261823,409691,3.844379556123334,917,21.618037135278524,1533.0979,7.538915483527719,-18.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,0,0,,,0,0,0,0,0,0,0,0.0,1.0,,,,,,
0001628280-21-010389,1559720,"AIRBNB, INC.",7340,4-NON,10-Q,20210331,2021.0,Q1,20210514,2021q2,,7706000.0,4482641000.0,1567534000.0,-1172286000.0,494368000.0,254515000.0,10926641000.0,6573192000.0,,,,,,1979398000.0,-1172211000.0,,-446945000.0,210953000.0,-1165902000.0,363061000.0,-7177918000.0,,,,12339077000.0,3159423000.0,9179654000.0,886936000.0,600960000.0,600960000.0,ABNB,CIK0001559720,"Airbnb, Inc.","Airbnb, Inc.",Nasdaq,Consumer Cyclical,Travel Services,core_large_cap,include_legacy_core,Existing defended-thesis universe.,ABNB,ABNB,1,2021-03-31,2021-05-14,2021-05-14,filed_date,2021,1,2021,2,Industrials,0.7439498108326903,0.2560501891673097,1.6623036418227248,0.3632881940845332,-1.3216410203216469,-0.5039202377623639,,-0.0949998934280092,0.4093429514643672,,,,,,,,,,,,,,,,,,,,,,,0.0,3.35,0.06,21440.929,1.62,99.4333,15.673379835366053,20459.0,14.086399857245604,-0.688,5.8,100.11,18.81,1.47,1.62,65.32,99.14634146341464,111.1353,-8.581555791546602,268.383,4.918257089467626,224.9,19.24708377518558,145065,9.038634996993377,605282,26.50919951760793,1589,52.93551491819058,2545.6238,-16.146461274412328,-15.1,0,0,0,0,0,1,1,0,0,0,0,2,9.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0,1,4.0,0,0.0,COVID-19 pandemic shock; Global supply-chain crisis,,,,,,,0,0,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,1,0
0001628280-21-016979,1559720,"AIRBNB, INC.",7340,4-NON,10-Q,20210630,2021.0,Q2,20210813,2021q3,,7652000.0,5672682000.0,2333538000.0,325516000.0,791299000.0,294427000.0,14095982000.0,9496350000.0,,,,,,1980455000.0,-68217000.0,,-51278000.0,193250000.0,-56984000.0,349734000.0,-7246135000.0,,,,15484810000.0,3393201000.0,12091609000.0,1335196000.0,611739000.0,611739000.0,ABNB,CIK0001559720,"Airbnb, Inc.","Airbnb, Inc.",Nasdaq,Consumer Cyclical,Travel Services,core_large_cap,include_legacy_core,Existing defended-thesis universe.,ABNB,ABNB,1,2021-06-30,2021-08-13,2021-08-13,filed_date,2021,2,2021,3,Industrials,0.7808690581285789,0.2191309418714211,1.484357884871556,0.3663384955966524,-0.0510913753486379,-0.0384048484267478,,-0.0044054140799919,0.2619345773953787,,,-0.0949998934280092,0.7439498108326903,1.6623036418227248,0.3632881940845332,-1.3216410203216469,-0.5039202377623639,,,,,,,,,,,,,,,1.0,3.36,0.09,21617.828,1.28,100.0437,4.261168528131454,20840.7,13.195772138698182,-0.648,5.1,101.4,15.45,1.06,1.23,68.36,58.20411941680166,113.0615,-3.054937950324254,272.676,5.152015301793966,233.415,20.131240349974263,147314,4.61081798879428,605533,14.093285726398296,1594,14.18338108882522,2428.3734,-13.735860389246511,-32.4,0,0,0,0,0,1,1,0,0,0,0,2,9.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0,1,4.0,0,0.0,COVID-19 pandemic shock; Global supply-chain crisis,,,,,,,0,0,,,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0,,1,1
