column,dtype,missing_share
ticker,object,0.0
shortname,object,0.0
Sector,object,0.0
Industry,object,0.0
Fulltimeemployees,float64,0.012266023823028927
Weight,float64,0.024390243902439025
date,object,0.0
accounts_receivable,float64,0.35592739648326716
capex,float64,0.2887833238797504
cash_equivalents,float64,0.09146341463414634
cash_flow_financing,float64,0.12741066364152015
cash_flow_investing,float64,0.1268434486670448
cash_flow_operating,float64,0.12344015882019285
current_assets,float64,0.15031196823596144
current_liabilities,float64,0.15073737946681792
depreciation_amortization,float64,0.49347702779353375
eps_basic,float64,0.04431366988088486
eps_diluted,float64,0.048638684061259214
inventory,float64,0.42640385706182643
liabilities_plus_equity,float64,0.0
net_income,float64,0.09408678389109472
operating_income,float64,0.21830686330119115
ppe_net,float64,0.11145774248440159
r_and_d_expense,float64,0.6621525808281339
retained_earnings,float64,0.022334089619965965
shares_outstanding,float64,0.3080686330119115
total_assets,float64,0.00035450935904707883
total_equity,float64,0.08068633011911515
total_liabilities,float64,0.24751843448667044
total_revenue,float64,0.47241917186613724
wavg_shares_basic,float64,0.04310833806012479
cost_of_revenue,float64,0.7213556437889961
gross_margin,float64,0.8322461712989223
operating_margin,float64,0.6103233125354509
net_margin,float64,0.5263754963131027
debt_to_assets,float64,0.24787294384571754
equity_multiplier,float64,0.24787294384571754
asset_turnover,float64,0.4727736812251844
inventory_turnover,float64,0.8356494611457742
r_and_d_intensity,float64,0.8613159387407827
cash_per_share,float64,0.3717385138967669
price,float64,0.6845575723199092
Z_WC_TA,float64,0.15222631877481566
Z_RE_TA,float64,0.022688598979013045
Z_EBIT_TA,float64,0.21837776517300056
Z_MVE_TL,float64,0.8221781055019852
Z_SALES_TA,float64,0.4727736812251844
altman_z,float64,0.9345575723199092
GDPC1,float64,0.0
GS10,float64,0.0
NFCI,float64,0.0
INDPRO,float64,0.0
BAMLH0A0HYM2,float64,0.0
UNRATE,float64,0.0
FEDFUNDS,float64,0.0
VIXCLS,float64,0.0
USEPUINDXD,float64,0.0
M2SL,float64,0.0
