candidate_id,model_family,seed,sample_weighted,params_json
logistic_l2_C0.05,logistic_l2,42,False,"{""C"": 0.05}"
logistic_l2_C0.2,logistic_l2,42,False,"{""C"": 0.2}"
logistic_l2_C1,logistic_l2,42,False,"{""C"": 1.0}"
logistic_l2_C5,logistic_l2,42,False,"{""C"": 5.0}"
random_forest_cfg1_seed42,random_forest,42,False,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}"
random_forest_cfg1_seed202,random_forest,202,False,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}"
random_forest_cfg1_seed777,random_forest,777,False,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}"
random_forest_cfg2_seed42,random_forest,42,False,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}"
random_forest_cfg2_seed202,random_forest,202,False,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}"
random_forest_cfg2_seed777,random_forest,777,False,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}"
random_forest_cfg3_seed42,random_forest,42,False,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}"
random_forest_cfg3_seed202,random_forest,202,False,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}"
random_forest_cfg3_seed777,random_forest,777,False,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}"
extra_trees_cfg1_seed42,extra_trees,42,False,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}"
extra_trees_cfg1_seed202,extra_trees,202,False,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}"
extra_trees_cfg1_seed777,extra_trees,777,False,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}"
extra_trees_cfg2_seed42,extra_trees,42,False,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}"
extra_trees_cfg2_seed202,extra_trees,202,False,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}"
extra_trees_cfg2_seed777,extra_trees,777,False,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}"
extra_trees_cfg3_seed42,extra_trees,42,False,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}"
extra_trees_cfg3_seed202,extra_trees,202,False,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}"
extra_trees_cfg3_seed777,extra_trees,777,False,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}"
gradient_boosting_cfg1_seed42,gradient_boosting,42,True,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}"
gradient_boosting_cfg1_seed202,gradient_boosting,202,True,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}"
gradient_boosting_cfg1_seed777,gradient_boosting,777,True,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}"
gradient_boosting_cfg2_seed42,gradient_boosting,42,True,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}"
gradient_boosting_cfg2_seed202,gradient_boosting,202,True,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}"
gradient_boosting_cfg2_seed777,gradient_boosting,777,True,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}"
gradient_boosting_cfg3_seed42,gradient_boosting,42,True,"{""learning_rate"": 0.025, ""max_depth"": 3, ""n_estimators"": 350, ""subsample"": 0.85}"
gradient_boosting_cfg3_seed202,gradient_boosting,202,True,"{""learning_rate"": 0.025, ""max_depth"": 3, ""n_estimators"": 350, ""subsample"": 0.85}"
gradient_boosting_cfg3_seed777,gradient_boosting,777,True,"{""learning_rate"": 0.025, ""max_depth"": 3, ""n_estimators"": 350, ""subsample"": 0.85}"
hist_gradient_boosting_cfg1,hist_gradient_boosting,42,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.04, ""max_iter"": 180, ""max_leaf_nodes"": 15}"
hist_gradient_boosting_cfg2,hist_gradient_boosting,42,True,"{""l2_regularization"": 0.05, ""learning_rate"": 0.03, ""max_iter"": 250, ""max_leaf_nodes"": 31}"
hist_gradient_boosting_cfg3,hist_gradient_boosting,42,True,"{""l2_regularization"": 0.1, ""learning_rate"": 0.02, ""max_iter"": 350, ""max_leaf_nodes"": 31}"
hist_gradient_boosting_cfg4,hist_gradient_boosting,42,True,"{""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 63}"
