model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
logistic_l2_C0.05,train,17145,1555,0.7894722154394657,0.9481556113346629,0.6977779160905437,0.6493812610489098,0.7086816720257235,0.6777367773677736,14995,595,453,1102,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 0.05}",False,0.642
logistic_l2_C0.05,validation,6029,834,0.7894722154394657,0.8708011069488972,0.6093691762422361,0.5824053452115813,0.6270983213429256,0.6039260969976905,4820,375,311,523,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 0.05}",False,0.642
logistic_l2_C0.05,test,5734,575,0.7894722154394657,0.910886336246492,0.6284898794610895,0.5127610208816705,0.768695652173913,0.615170494084899,4739,420,133,442,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 0.05}",False,0.642
logistic_l2_C0.2,train,17145,1555,0.8792044570118183,0.9490859628461644,0.6998496572235815,0.7194139194139194,0.6315112540192926,0.6726027397260275,15207,383,573,982,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 0.2}",False,1.028
logistic_l2_C0.2,validation,6029,834,0.8792044570118183,0.8452812725757797,0.565504019851689,0.5587892898719441,0.5755395683453237,0.5670407560543413,4816,379,354,480,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 0.2}",False,1.028
logistic_l2_C0.2,test,5734,575,0.8792044570118183,0.8893074997682395,0.5962729610230765,0.42897998093422307,0.782608695652174,0.5541871921182266,4560,599,125,450,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 0.2}",False,1.028
logistic_l2_C1,train,17145,1555,0.8668924959530621,0.9497741771149367,0.7018244361137822,0.7124555160142348,0.6437299035369775,0.6763513513513513,15186,404,554,1001,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 1.0}",False,1.341
logistic_l2_C1,validation,6029,834,0.8668924959530621,0.7997874270362345,0.5050439920257793,0.4854771784232365,0.5611510791366906,0.5205784204671857,4699,496,366,468,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 1.0}",False,1.341
logistic_l2_C1,test,5734,575,0.8668924959530621,0.8183823963188014,0.4222963611520325,0.17272412599515402,0.8678260869565217,0.2881062355658199,2769,2390,76,499,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 1.0}",False,1.341
logistic_l2_C5,train,17145,1555,0.6276229554730987,0.950105826762559,0.7025289260474765,0.5271512113617377,0.8115755627009646,0.6391491516839707,14458,1132,293,1262,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 5.0}",False,2.156
logistic_l2_C5,validation,6029,834,0.6276229554730987,0.7768369327637025,0.5102327662263855,0.5094130675526024,0.5515587529976019,0.5296488198042603,4752,443,374,460,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 5.0}",False,2.156
logistic_l2_C5,test,5734,575,0.6276229554730987,0.7296658435659085,0.28891782153316176,0.15311735941320292,0.871304347826087,0.26046269820639456,2388,2771,74,501,failure_pressure_conservative_v2_next_4obs,logistic_l2,42,"{""C"": 5.0}",False,2.156
random_forest_cfg1_seed42,train,17145,1555,0.3902960750631456,0.9977062961870603,0.9758567086366219,0.774402390438247,1.0,0.8728599494807747,15137,453,0,1555,failure_pressure_conservative_v2_next_4obs,random_forest,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.301
random_forest_cfg1_seed42,validation,6029,834,0.3902960750631456,0.9205863413215531,0.7067047122363123,0.6583143507972665,0.6930455635491607,0.6752336448598131,4895,300,256,578,failure_pressure_conservative_v2_next_4obs,random_forest,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.301
random_forest_cfg1_seed42,test,5734,575,0.3902960750631456,0.9472776153113597,0.750551674062511,0.709470304975923,0.768695652173913,0.7378964941569283,4978,181,133,442,failure_pressure_conservative_v2_next_4obs,random_forest,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.301
random_forest_cfg1_seed202,train,17145,1555,0.3885494806325332,0.9975676550843664,0.9744659285778554,0.7713293650793651,1.0,0.870904508541025,15129,461,0,1555,failure_pressure_conservative_v2_next_4obs,random_forest,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.183
random_forest_cfg1_seed202,validation,6029,834,0.3885494806325332,0.9169299016994298,0.708492166000555,0.6617142857142857,0.6942446043165468,0.6775892334698655,4899,296,255,579,failure_pressure_conservative_v2_next_4obs,random_forest,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.183
random_forest_cfg1_seed202,test,5734,575,0.3885494806325332,0.9523598270645643,0.7566146144091743,0.711038961038961,0.7617391304347826,0.7355163727959697,4981,178,137,438,failure_pressure_conservative_v2_next_4obs,random_forest,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.183
random_forest_cfg1_seed777,train,17145,1555,0.3371209036744241,0.9977233736689155,0.9760770296883794,0.7273152478952292,1.0,0.8421337665854319,15007,583,0,1555,failure_pressure_conservative_v2_next_4obs,random_forest,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.173
random_forest_cfg1_seed777,validation,6029,834,0.3371209036744241,0.9182755047165349,0.7063386099124833,0.6175889328063241,0.749400479616307,0.6771397616468039,4808,387,209,625,failure_pressure_conservative_v2_next_4obs,random_forest,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.173
random_forest_cfg1_seed777,test,5734,575,0.3371209036744241,0.9509281374044516,0.7553929693019928,0.6586402266288952,0.808695652173913,0.7259953161592506,4918,241,110,465,failure_pressure_conservative_v2_next_4obs,random_forest,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.173
random_forest_cfg2_seed42,train,17145,1555,0.5618378218434316,0.9776960249479735,0.8586217339652786,0.659595461272817,0.8598070739549839,0.7465103294249024,14900,690,218,1337,failure_pressure_conservative_v2_next_4obs,random_forest,42,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.34
random_forest_cfg2_seed42,validation,6029,834,0.5618378218434316,0.9194050726694871,0.70311246202433,0.6409691629955947,0.697841726618705,0.6681974741676234,4869,326,252,582,failure_pressure_conservative_v2_next_4obs,random_forest,42,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.34
random_forest_cfg2_seed42,test,5734,575,0.5618378218434316,0.9458182829500155,0.7544872254519529,0.69375,0.7721739130434783,0.7308641975308642,4963,196,131,444,failure_pressure_conservative_v2_next_4obs,random_forest,42,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.34
random_forest_cfg2_seed202,train,17145,1555,0.5476891687023676,0.9778746372581979,0.8590933887071754,0.6488696488696488,0.867524115755627,0.7424325811777656,14860,730,206,1349,failure_pressure_conservative_v2_next_4obs,random_forest,202,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.372
random_forest_cfg2_seed202,validation,6029,834,0.5476891687023676,0.9202013557585116,0.7045279073416122,0.642548596112311,0.7134292565947242,0.6761363636363636,4864,331,239,595,failure_pressure_conservative_v2_next_4obs,random_forest,202,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.372
random_forest_cfg2_seed202,test,5734,575,0.5476891687023676,0.9463000075848875,0.754063398456139,0.685099846390169,0.7756521739130435,0.7275693311582382,4954,205,129,446,failure_pressure_conservative_v2_next_4obs,random_forest,202,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.372
