model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
logistic_l2_C0.05,train,11058,7029,0.26738217375859086,0.9256481701292039,0.9446026256087148,0.8462890870275022,0.9587423531085503,0.8990128068303094,2805,1224,290,6739,success_resilience_next_4q,logistic_l2,42,"{""C"": 0.05}",False,0.332
logistic_l2_C0.05,validation,4190,2414,0.26738217375859086,0.8891253256155909,0.8893047119028478,0.81252262034021,0.9299917149958575,0.8672976627390381,1258,518,169,2245,success_resilience_next_4q,logistic_l2,42,"{""C"": 0.05}",False,0.332
logistic_l2_C0.05,test,4046,2647,0.26738217375859086,0.9232767320172838,0.9444160390661497,0.942262186464742,0.7521722704948999,0.8365546218487394,1277,122,656,1991,success_resilience_next_4q,logistic_l2,42,"{""C"": 0.05}",False,0.332
logistic_l2_C0.2,train,11058,7029,0.23555563517398684,0.9280951471443641,0.9467637429849367,0.838805600297361,0.9631526532934984,0.8966887417218543,2728,1301,259,6770,success_resilience_next_4q,logistic_l2,42,"{""C"": 0.2}",False,0.582
logistic_l2_C0.2,validation,4190,2414,0.23555563517398684,0.8817355310986215,0.8796677779984097,0.7953818827708703,0.9275062137531068,0.8563778925224709,1200,576,175,2239,success_resilience_next_4q,logistic_l2,42,"{""C"": 0.2}",False,0.582
logistic_l2_C0.2,test,4046,2647,0.23555563517398684,0.9204874872844844,0.9403253217257939,0.9475878499106611,0.601057801284473,0.7355524734165512,1311,88,1056,1591,success_resilience_next_4q,logistic_l2,42,"{""C"": 0.2}",False,0.582
logistic_l2_C1,train,11058,7029,0.3043789133455871,0.9294049708824282,0.9477227411897474,0.8645413142485361,0.945226917057903,0.9030854968057632,2988,1041,385,6644,success_resilience_next_4q,logistic_l2,42,"{""C"": 1.0}",False,0.871
logistic_l2_C1,validation,4190,2414,0.3043789133455871,0.8508895183501646,0.8466198971170983,0.7689419795221843,0.9333057166528583,0.843188622754491,1099,677,161,2253,success_resilience_next_4q,logistic_l2,42,"{""C"": 1.0}",False,0.871
logistic_l2_C1,test,4046,2647,0.3043789133455871,0.9120238888320303,0.9321503397289963,0.9505021520803444,0.5005666792595391,0.6557782727047761,1330,69,1322,1325,success_resilience_next_4q,logistic_l2,42,"{""C"": 1.0}",False,0.871
logistic_l2_C5,train,11058,7029,0.43199309019757215,0.9299825518088185,0.9480915278189971,0.8987235236358535,0.9115094608052354,0.9050713377595705,3307,722,622,6407,success_resilience_next_4q,logistic_l2,42,"{""C"": 5.0}",False,1.161
logistic_l2_C5,validation,4190,2414,0.43199309019757215,0.7998821626100003,0.8012712793823158,0.7242243810717643,0.9573322286661143,0.8246208742194469,896,880,103,2311,success_resilience_next_4q,logistic_l2,42,"{""C"": 5.0}",False,1.161
logistic_l2_C5,test,4046,2647,0.43199309019757215,0.8860873423269308,0.9080309665454467,0.9140546006066734,0.6830374008311296,0.7818378378378379,1229,170,839,1808,success_resilience_next_4q,logistic_l2,42,"{""C"": 5.0}",False,1.161
random_forest_cfg1_seed42,train,11058,7029,0.4643625135161026,0.9972596244449253,0.9984999758389042,0.972112676056338,0.981931996016503,0.9769976643782292,3831,198,127,6902,success_resilience_next_4q,random_forest,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,0.976
random_forest_cfg1_seed42,validation,4190,2414,0.4643625135161026,0.9471261858378679,0.9505037835571698,0.882398753894081,0.9386909693454847,0.9096748293857888,1474,302,148,2266,success_resilience_next_4q,random_forest,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,0.976
random_forest_cfg1_seed42,test,4046,2647,0.4643625135161026,0.9659185024221251,0.9745836176752405,0.9326674065852756,0.9523989421987156,0.942429906542056,1217,182,126,2521,success_resilience_next_4q,random_forest,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,0.976
random_forest_cfg1_seed202,train,11058,7029,0.4619163898310619,0.9972684521781036,0.9985030383447702,0.9727977448907682,0.981931996016503,0.9773435287453979,3836,193,127,6902,success_resilience_next_4q,random_forest,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,0.831
