model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,scale_pos_weight,fit_seconds
xgboost_cfg1_seed42,train,17145,58,0.42931827902793884,0.9997558135545677,0.9272642965950342,0.20209059233449478,1.0,0.336231884057971,16858,229,0,58,distress_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",294.6034482758621,0.418
xgboost_cfg1_seed42,validation,6045,53,0.42931827902793884,0.8978307554727059,0.1855349347172507,0.2909090909090909,0.3018867924528302,0.2962962962962963,5953,39,37,16,distress_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",294.6034482758621,0.418
xgboost_cfg1_seed42,test,5872,96,0.42931827902793884,0.8540214897853186,0.14558402834588258,0.18181818181818182,0.3125,0.2298850574712644,5641,135,66,30,distress_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",294.6034482758621,0.418
xgboost_cfg1_seed202,train,17145,58,0.39313045144081116,0.999838554416243,0.955016230749479,0.17901234567901234,1.0,0.3036649214659686,16821,266,0,58,distress_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",294.6034482758621,0.4
xgboost_cfg1_seed202,validation,6045,53,0.39313045144081116,0.8945512255334156,0.14863599356715684,0.265625,0.32075471698113206,0.2905982905982906,5945,47,36,17,distress_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",294.6034482758621,0.4
xgboost_cfg1_seed202,test,5872,96,0.39313045144081116,0.8471603041320407,0.1392941727994224,0.18181818181818182,0.3541666666666667,0.24028268551236748,5623,153,62,34,distress_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",294.6034482758621,0.4
xgboost_cfg1_seed777,train,17145,58,0.48588329553604126,0.9997447141706842,0.9285175951371547,0.2265625,1.0,0.36942675159235666,16889,198,0,58,distress_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",294.6034482758621,0.399
xgboost_cfg1_seed777,validation,6045,53,0.48588329553604126,0.9057548429352344,0.18736960200831124,0.375,0.2830188679245283,0.32258064516129037,5967,25,38,15,distress_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",294.6034482758621,0.399
xgboost_cfg1_seed777,test,5872,96,0.48588329553604126,0.8493199229570637,0.14176366670174206,0.16783216783216784,0.25,0.20083682008368203,5657,119,72,24,distress_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",294.6034482758621,0.399
xgboost_cfg2_seed42,train,17145,58,0.07314667850732803,1.0,1.0000000000000002,0.17737003058103976,1.0,0.3012987012987013,16818,269,0,58,distress_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",294.6034482758621,0.735
xgboost_cfg2_seed42,validation,6045,53,0.07314667850732803,0.8945039927450438,0.11639601144514143,0.19718309859154928,0.2641509433962264,0.2258064516129032,5935,57,39,14,distress_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",294.6034482758621,0.735
xgboost_cfg2_seed42,test,5872,96,0.07314667850732803,0.8516797235687904,0.1166637675347259,0.16080402010050251,0.3333333333333333,0.2169491525423729,5609,167,64,32,distress_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",294.6034482758621,0.735
xgboost_cfg2_seed202,train,17145,58,0.06687717884778976,0.9999999999999999,1.0,0.17159763313609466,1.0,0.29292929292929293,16807,280,0,58,distress_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",294.6034482758621,0.756
xgboost_cfg2_seed202,validation,6045,53,0.06687717884778976,0.8772703226944101,0.10354056376515432,0.14285714285714285,0.24528301886792453,0.18055555555555555,5914,78,40,13,distress_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",294.6034482758621,0.756
xgboost_cfg2_seed202,test,5872,96,0.06687717884778976,0.8513352666204986,0.12300565367058598,0.16267942583732056,0.3541666666666667,0.22295081967213112,5601,175,62,34,distress_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",294.6034482758621,0.756
xgboost_cfg2_seed777,train,17145,58,0.08846666663885117,1.0,1.0000000000000002,0.22053231939163498,1.0,0.36137071651090347,16882,205,0,58,distress_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",294.6034482758621,0.738
xgboost_cfg2_seed777,validation,6045,53,0.08846666663885117,0.8812158349497442,0.0850645997150841,0.19672131147540983,0.22641509433962265,0.21052631578947367,5943,49,41,12,distress_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",294.6034482758621,0.738
xgboost_cfg2_seed777,test,5872,96,0.08846666663885117,0.8305650536703602,0.117352027087092,0.17582417582417584,0.3333333333333333,0.2302158273381295,5626,150,64,32,distress_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",294.6034482758621,0.738
xgboost_cfg3_seed42,train,17145,58,0.045638810843229294,1.0,1.0000000000000002,0.11764705882352941,1.0,0.21052631578947367,16652,435,0,58,distress_next_4q,xgboost,42,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",294.6034482758621,1.035
