model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,scale_pos_weight,fit_seconds
xgboost_cfg1_seed42,train,17145,1555,0.8021341562271118,0.9660077879917253,0.7753553156847027,0.6924896510940272,0.7530546623794212,0.7215033887861984,15070,520,384,1171,failure_pressure_conservative_v2_next_4obs,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10.02572347266881,0.404
xgboost_cfg1_seed42,validation,6029,834,0.8021341562271118,0.921190362435749,0.6824235640444594,0.6594285714285715,0.6918465227817746,0.6752486834406086,4897,298,257,577,failure_pressure_conservative_v2_next_4obs,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10.02572347266881,0.404
xgboost_cfg1_seed42,test,5734,575,0.8021341562271118,0.9451976705967621,0.7230494860451366,0.6728971962616822,0.7513043478260869,0.7099424815119144,4949,210,143,432,failure_pressure_conservative_v2_next_4obs,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10.02572347266881,0.404
xgboost_cfg1_seed202,train,17145,1555,0.7801626324653625,0.9661550915852153,0.7812314045807283,0.6637217007178354,0.7729903536977492,0.7142008318478906,14981,609,353,1202,failure_pressure_conservative_v2_next_4obs,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10.02572347266881,0.405
xgboost_cfg1_seed202,validation,6029,834,0.7801626324653625,0.9215176463256728,0.6855608047568037,0.6439232409381663,0.7242206235011991,0.6817155756207676,4861,334,230,604,failure_pressure_conservative_v2_next_4obs,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10.02572347266881,0.405
xgboost_cfg1_seed202,test,5734,575,0.7801626324653625,0.9463414716367344,0.7348562134973033,0.6582089552238806,0.7669565217391304,0.7084337349397589,4930,229,134,441,failure_pressure_conservative_v2_next_4obs,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10.02572347266881,0.405
xgboost_cfg1_seed777,train,17145,1555,0.7770832777023315,0.9656861002085186,0.7789959542693836,0.6629895201323773,0.7729903536977492,0.7137767220902612,14979,611,353,1202,failure_pressure_conservative_v2_next_4obs,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10.02572347266881,0.403
xgboost_cfg1_seed777,validation,6029,834,0.7770832777023315,0.9201779288792258,0.6825329954497438,0.6313025210084033,0.7206235011990407,0.6730123180291153,4844,351,233,601,failure_pressure_conservative_v2_next_4obs,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10.02572347266881,0.403
xgboost_cfg1_seed777,test,5734,575,0.7770832777023315,0.9446620089838779,0.7283960799953835,0.6501457725947521,0.7756521739130435,0.7073750991276765,4919,240,129,446,failure_pressure_conservative_v2_next_4obs,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",10.02572347266881,0.403
xgboost_cfg2_seed42,train,17145,1555,0.7676180601119995,0.9806091381027907,0.8495782099696654,0.7295597484276729,0.8205787781350482,0.7723970944309927,15117,473,279,1276,failure_pressure_conservative_v2_next_4obs,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",10.02572347266881,0.738
xgboost_cfg2_seed42,validation,6029,834,0.7676180601119995,0.9223771704484343,0.7085359554867975,0.6828358208955224,0.658273381294964,0.6703296703296703,4940,255,285,549,failure_pressure_conservative_v2_next_4obs,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",10.02572347266881,0.738
xgboost_cfg2_seed42,test,5734,575,0.7676180601119995,0.9433331366881009,0.7315620837501544,0.6998313659359191,0.7217391304347827,0.7106164383561644,4981,178,160,415,failure_pressure_conservative_v2_next_4obs,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",10.02572347266881,0.738
xgboost_cfg2_seed202,train,17145,1555,0.7177125215530396,0.9806577305511613,0.8522289237884138,0.6884992264053635,0.8585209003215434,0.7641671436748712,14986,604,220,1335,failure_pressure_conservative_v2_next_4obs,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",10.02572347266881,0.72
xgboost_cfg2_seed202,validation,6029,834,0.7177125215530396,0.9221839852468362,0.7040418775375826,0.6503340757238307,0.7002398081534772,0.6743648960739029,4881,314,250,584,failure_pressure_conservative_v2_next_4obs,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",10.02572347266881,0.72
xgboost_cfg2_seed202,test,5734,575,0.7177125215530396,0.9431345811877934,0.7283524848181692,0.6740157480314961,0.7443478260869565,0.7074380165289256,4952,207,147,428,failure_pressure_conservative_v2_next_4obs,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",10.02572347266881,0.72
xgboost_cfg2_seed777,train,17145,1555,0.7071561813354492,0.9804824594873869,0.8494660220579027,0.6838347781744009,0.862379421221865,0.7627986348122867,14970,620,214,1341,failure_pressure_conservative_v2_next_4obs,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",10.02572347266881,0.716
xgboost_cfg2_seed777,validation,6029,834,0.7071561813354492,0.9212069805176071,0.7076205194866239,0.6374458874458875,0.7062350119904077,0.6700796359499431,4860,335,245,589,failure_pressure_conservative_v2_next_4obs,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",10.02572347266881,0.716
xgboost_cfg2_seed777,test,5734,575,0.7071561813354492,0.9442655721954878,0.7297906549278581,0.6591928251121076,0.7669565217391304,0.7090032154340836,4931,228,134,441,failure_pressure_conservative_v2_next_4obs,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",10.02572347266881,0.716
xgboost_cfg3_seed42,train,17145,1555,0.7433904409408569,0.9800579561884216,0.8471278125748105,0.7049269085002707,0.8372990353697749,0.7654320987654322,15045,545,253,1302,failure_pressure_conservative_v2_next_4obs,xgboost,42,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",10.02572347266881,1.025
xgboost_cfg3_seed42,validation,6029,834,0.7433904409408569,0.9224457200360981,0.7107853485736754,0.6498881431767338,0.6966426858513189,0.6724537037037036,4882,313,253,581,failure_pressure_conservative_v2_next_4obs,xgboost,42,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",10.02572347266881,1.025
xgboost_cfg3_seed42,test,5734,575,0.7433904409408569,0.9419203249702925,0.7209417402607102,0.6625766871165644,0.7513043478260869,0.7041564792176038,4939,220,143,432,failure_pressure_conservative_v2_next_4obs,xgboost,42,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",10.02572347266881,1.025
xgboost_cfg3_seed202,train,17145,1555,0.762095034122467,0.9800252862231335,0.8455392005339402,0.7212837837837838,0.8237942122186496,0.7691383968778144,15095,495,274,1281,failure_pressure_conservative_v2_next_4obs,xgboost,202,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",10.02572347266881,1.031
