model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,scale_pos_weight,fit_seconds
xgboost_cfg1_seed42,train,11058,7029,0.4519273042678833,0.9663234514628808,0.9776735866286687,0.9181568088033012,0.949637217242851,0.9336317224980767,3434,595,354,6675,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,0.331
xgboost_cfg1_seed42,validation,4190,2414,0.4519273042678833,0.9425263991207444,0.9415069507948288,0.8885793871866295,0.9250207125103562,0.9064339354576821,1496,280,181,2233,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,0.331
xgboost_cfg1_seed42,test,4046,2647,0.4519273042678833,0.9616345854465101,0.971564738469102,0.9400379506641366,0.9357763505855685,0.9379023097311624,1241,158,170,2477,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,0.331
xgboost_cfg1_seed202,train,11058,7029,0.5013493895530701,0.9665375769588536,0.9782520631114279,0.9257807029827755,0.9405320813771518,0.9330980945659844,3499,530,418,6611,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,0.329
xgboost_cfg1_seed202,validation,4190,2414,0.5013493895530701,0.9420780945610067,0.9401690993530434,0.8980503655564581,0.915907207953604,0.9068908941755537,1525,251,203,2211,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,0.329
xgboost_cfg1_seed202,test,4046,2647,0.5013493895530701,0.9609891894825842,0.9710167055061624,0.9439721792890263,0.9229316207026823,0.9333333333333333,1254,145,204,2443,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,0.329
xgboost_cfg1_seed777,train,11058,7029,0.4726468324661255,0.9662368867113342,0.9776686865228645,0.9208922139096702,0.9456537203016077,0.9331087246437846,3458,571,382,6647,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,0.326
xgboost_cfg1_seed777,validation,4190,2414,0.4726468324661255,0.9420691144748725,0.9400172529750084,0.8913392141138733,0.9208782104391052,0.9058679706601467,1505,271,191,2223,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,0.326
xgboost_cfg1_seed777,test,4046,2647,0.4726468324661255,0.9608287856321355,0.9704992857031909,0.9415137614678899,0.9304873441632037,0.9359680790423712,1246,153,184,2463,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,0.326
xgboost_cfg2_seed42,train,11058,7029,0.4838354289531708,0.9789610400708111,0.9873158794227384,0.9406302757456387,0.9512021624697681,0.945886680342364,3607,422,343,6686,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,0.63
