target,target_family,model,calibrator,split,rows,positives,positive_share,brier_score,log_loss,expected_calibration_error_10bin,roc_auc,pr_auc,mean_predicted_probability,observed_positive_rate,selected_model_by_validation_pr_auc,selected_calibrator_by_validation_brier,selection_note
distress_next_4q,production,random_forest,uncalibrated,validation,6045,53,0.008767576509511994,0.008368353094892648,0.041722447042182705,0.0017706850371885607,0.8402067536589666,0.1336837507798862,0.008851067098275399,0.008767576509511994,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
distress_next_4q,production,random_forest,uncalibrated,test,5872,96,0.01634877384196185,0.015496277608469208,0.10351442968737055,0.007085696248907253,0.7964502899930748,0.1253780459524554,0.01174353067710605,0.01634877384196185,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
distress_next_4q,production,random_forest,sigmoid_validation,validation,6045,53,0.008767576509511994,0.008683998666120463,0.0498894579647527,0.008519718243194174,0.8402067536589667,0.1336837507798862,0.008767580786937202,0.008767576509511994,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
distress_next_4q,production,random_forest,sigmoid_validation,test,5872,96,0.01634877384196185,0.016126427942267024,0.08542437447633879,0.013916418299925844,0.7964502899930748,0.12537804595245539,0.008806001542561098,0.01634877384196185,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
distress_next_4q,production,random_forest,isotonic_validation,validation,6045,53,0.008767576509511994,0.007920045574440543,0.039204014210070665,0.0020188792074711344,0.8526856563468271,0.138958488522511,0.008767576509511994,0.008767576509511994,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
distress_next_4q,production,random_forest,isotonic_validation,test,5872,96,0.01634877384196185,0.01628030722932909,0.12953896846906493,0.006746135822383283,0.7931418801939057,0.09957841841818865,0.014252021798687673,0.01634877384196185,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
failure_pressure_conservative_v2_next_4obs,production,random_forest,uncalibrated,validation,6029,834,0.13833139824183116,0.0686844051725579,0.24733483196996658,0.05139629049144022,0.9189633086600979,0.7083729497769865,0.1863171397736096,0.13833139824183116,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
failure_pressure_conservative_v2_next_4obs,production,random_forest,uncalibrated,test,5734,575,0.10027903732124172,0.047600268671287096,0.1944439185858656,0.07756749437470181,0.9532400111245019,0.7550391334769698,0.16429052088521287,0.10027903732124172,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
failure_pressure_conservative_v2_next_4obs,production,random_forest,sigmoid_validation,validation,6029,834,0.13833139824183116,0.06698665751518773,0.22972932312840846,0.029172361272345772,0.9189633086600979,0.7083729497769865,0.13833134339276054,0.13833139824183116,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
failure_pressure_conservative_v2_next_4obs,production,random_forest,sigmoid_validation,test,5734,575,0.10027903732124172,0.04196091656773327,0.15821504835598477,0.024346200085994592,0.9532400111245019,0.7550391334769698,0.11482831028459671,0.10027903732124172,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,6029,834,0.13833139824183116,0.06413469396394876,0.21675712672017033,0.0025216565845877746,0.922195179371421,0.6982705868143403,0.13833139824183116,0.13833139824183116,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,test,5734,575,0.10027903732124172,0.04187066310407216,0.14971924121106717,0.019874372384900814,0.9516313407552863,0.7387187506811627,0.11044864658611599,0.10027903732124172,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
success_resilience_next_4q,production,random_forest,uncalibrated,validation,4190,2414,0.5761336515513127,0.08574946157362862,0.2986015261522429,0.06241978508860153,0.9479558524970703,0.9521808978294828,0.5612892894356571,0.5761336515513127,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
success_resilience_next_4q,production,random_forest,uncalibrated,test,4046,2647,0.6542263964409293,0.06949601930365501,0.2624905380152435,0.10042922396150201,0.9661377750257686,0.9740344071186345,0.5878193363734652,0.6542263964409293,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
