target,target_family,model,split,rows,positives,roc_auc,pr_auc,brier_score_uncalibrated,selection_metric
distress_next_4q,production,logistic_l2,train,17145,58,0.9957116016814557,0.3089038359677061,0.01896219888412661,validation_pr_auc
distress_next_4q,production,logistic_l2,validation,6045,53,0.72339219588382,0.015528039320597082,0.18311926437928477,validation_pr_auc
distress_next_4q,production,logistic_l2,test,5872,96,0.5814739871883656,0.020112282187606627,0.05158857580361364,validation_pr_auc
distress_next_4q,production,random_forest,train,17145,58,1.0,1.0000000000000002,0.0005497496041367347,validation_pr_auc
distress_next_4q,production,random_forest,validation,6045,53,0.8402067536589666,0.1336837507798862,0.008368353094892648,validation_pr_auc
distress_next_4q,production,random_forest,test,5872,96,0.7964502899930748,0.1253780459524554,0.015496277608469208,validation_pr_auc
distress_next_4q,production,gradient_boosting,train,17145,58,1.0,1.0,0.0016308456055847444,validation_pr_auc
distress_next_4q,production,gradient_boosting,validation,6045,53,0.8951211678464369,0.09589285204277062,0.008721521887176292,validation_pr_auc
distress_next_4q,production,gradient_boosting,test,5872,96,0.8159833434325947,0.10491907241702651,0.017364663000295624,validation_pr_auc
failure_pressure_conservative_v2_next_4obs,production,logistic_l2,train,17145,1555,0.9497750846139726,0.7018287954564388,0.08399080165353283,validation_pr_auc
failure_pressure_conservative_v2_next_4obs,production,logistic_l2,validation,6029,834,0.7999381438064178,0.5053276997603033,0.18841135506737047,validation_pr_auc
failure_pressure_conservative_v2_next_4obs,production,logistic_l2,test,5734,575,0.8181524899500241,0.42179159666242283,0.5187792695429426,validation_pr_auc
failure_pressure_conservative_v2_next_4obs,production,random_forest,train,17145,1555,0.9977122774307053,0.9761146068845936,0.018863214537704242,validation_pr_auc
failure_pressure_conservative_v2_next_4obs,production,random_forest,validation,6029,834,0.9189633086600979,0.7083729497769865,0.0686844051725579,validation_pr_auc
failure_pressure_conservative_v2_next_4obs,production,random_forest,test,5734,575,0.9532400111245019,0.7550391334769698,0.047600268671287096,validation_pr_auc
failure_pressure_conservative_v2_next_4obs,production,gradient_boosting,train,17145,1555,0.9772003448496336,0.8291951376027592,0.06118863655450816,validation_pr_auc
