target,model,feature_group,importance
distress_next_4q,gradient_boosting,Accounting fundamentals,0.5199995785910453
distress_next_4q,gradient_boosting,Firm trend / deterioration,0.2728993102618638
distress_next_4q,gradient_boosting,Financial ratios,0.1627056039018585
distress_next_4q,gradient_boosting,Industry / sector,0.0107969430971995
distress_next_4q,gradient_boosting,Macro conditions,0.0103861084352201
distress_next_4q,gradient_boosting,Missingness indicators,0.0075622495135501
distress_next_4q,logistic_l2,Macro conditions,21.842978740396113
distress_next_4q,logistic_l2,Accounting fundamentals,17.892611655707814
distress_next_4q,logistic_l2,Industry / sector,14.417451285526116
distress_next_4q,logistic_l2,Firm trend / deterioration,8.37604107451197
distress_next_4q,logistic_l2,Financial ratios,8.108280456643739
distress_next_4q,logistic_l2,Missingness indicators,5.817335329054858
distress_next_4q,random_forest,Financial ratios,0.2754051203459481
distress_next_4q,random_forest,Firm trend / deterioration,0.2674697419462594
distress_next_4q,random_forest,Accounting fundamentals,0.2052557886537849
distress_next_4q,random_forest,Industry / sector,0.0098693022075571
success_resilience_next_4q,gradient_boosting,Financial ratios,0.537117041493241
success_resilience_next_4q,gradient_boosting,Accounting fundamentals,0.2462451002794066
success_resilience_next_4q,gradient_boosting,Firm trend / deterioration,0.1667194048654859
success_resilience_next_4q,gradient_boosting,Industry / sector,0.0233590007068865
success_resilience_next_4q,logistic_l2,Accounting fundamentals,8.626216397780977
success_resilience_next_4q,logistic_l2,Missingness indicators,8.453247574666133
success_resilience_next_4q,logistic_l2,Industry / sector,5.11158567338458
success_resilience_next_4q,logistic_l2,Financial ratios,4.465712092683361
success_resilience_next_4q,logistic_l2,Firm trend / deterioration,1.8449468720163695
success_resilience_next_4q,logistic_l2,Macro conditions,1.4230505967908376
success_resilience_next_4q,random_forest,Financial ratios,0.3508462719834648
success_resilience_next_4q,random_forest,Firm trend / deterioration,0.2359420095016597
success_resilience_next_4q,random_forest,Accounting fundamentals,0.2126519886125976
success_resilience_next_4q,random_forest,Industry / sector,0.0123090429572768
failure_pressure_conservative_v2_next_4obs,gradient_boosting,Accounting fundamentals,0.6452417839252591
failure_pressure_conservative_v2_next_4obs,gradient_boosting,Firm trend / deterioration,0.2092395237778927
failure_pressure_conservative_v2_next_4obs,gradient_boosting,Industry / sector,0.043493694177963296
failure_pressure_conservative_v2_next_4obs,gradient_boosting,Financial ratios,0.040109253490810404
failure_pressure_conservative_v2_next_4obs,gradient_boosting,Macro conditions,0.0221669079928641
failure_pressure_conservative_v2_next_4obs,logistic_l2,Macro conditions,11.728146495195709
failure_pressure_conservative_v2_next_4obs,logistic_l2,Missingness indicators,7.335375352529892
failure_pressure_conservative_v2_next_4obs,logistic_l2,Industry / sector,7.0029408875643595
failure_pressure_conservative_v2_next_4obs,logistic_l2,Financial ratios,3.9067792555013963
failure_pressure_conservative_v2_next_4obs,logistic_l2,Accounting fundamentals,2.0205696744129718
failure_pressure_conservative_v2_next_4obs,logistic_l2,Firm trend / deterioration,1.9302633601009276
failure_pressure_conservative_v2_next_4obs,logistic_l2,Macro regime / time,0.556134190089381
failure_pressure_conservative_v2_next_4obs,random_forest,Accounting fundamentals,0.2919427496749795
failure_pressure_conservative_v2_next_4obs,random_forest,Firm trend / deterioration,0.2735913508684012
failure_pressure_conservative_v2_next_4obs,random_forest,Financial ratios,0.216204893756782
failure_pressure_conservative_v2_next_4obs,random_forest,Industry / sector,0.0095674462240313
