model,feature,importance,target,feature_clean,feature_group,economic_interpretation_allowed,interpretation_note
logistic_l2,num__total_equity,5.238419345882471,distress_next_4q,total_equity,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__cash_equivalents,4.968594287766347,distress_next_4q,cash_equivalents,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Communication Services,4.71011359611333,distress_next_4q,Sector: Communication Services,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Healthcare,3.9722740142802833,distress_next_4q,Sector: Healthcare,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__UNRATE,3.624717807596552,distress_next_4q,UNRATE,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__total_assets,3.4999013801037857,distress_next_4q,total_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Energy,2.990313663281604,distress_next_4q,Sector: Energy,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__FEDFUNDS,2.886861701269409,distress_next_4q,FEDFUNDS,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Consumer Defensive,2.7447500118509,distress_next_4q,Sector: Consumer Defensive,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__capex,2.620224807445852,distress_next_4q,capex,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__current_ratio_change_4obs,2.5109293126287984,distress_next_4q,current_ratio_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__PAYEMS_yoy_pct,2.4135760729351543,distress_next_4q,PAYEMS_yoy_pct,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__receivables_assets,2.408957901258717,distress_next_4q,receivables_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__current_ratio,2.306774630801182,distress_next_4q,current_ratio,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__GDPC1,2.2529351502821617,distress_next_4q,GDPC1,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_operating_income,2.239663525886832,distress_next_4q,Missing: operating_income,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__HOUST,2.2055932151581814,distress_next_4q,HOUST,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__net_income_negative_count_prior_4obs,2.190467133382217,distress_next_4q,net_income_negative_count_prior_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_short_term_debt,1.967508707297008,distress_next_4q,Missing: short_term_debt,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__PPIACO,1.950520784742669,distress_next_4q,PPIACO,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__roa_lag1,1.892990569175624,distress_next_4q,roa_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__equity_assets,1.7850414062664963,distress_next_4q,equity_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__leverage_assets_change_4obs,1.7816540593253316,distress_next_4q,leverage_assets_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__BAMLH0A0HYM2,1.7289770933297508,distress_next_4q,BAMLH0A0HYM2,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__BUSLOANS_yoy_pct,1.6372372577843202,distress_next_4q,BUSLOANS_yoy_pct,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_long_term_debt,1.6101630958710182,distress_next_4q,Missing: long_term_debt,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__roa,1.607506518317344,distress_next_4q,roa,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__DCOILWTICO,1.578477156426967,distress_next_4q,DCOILWTICO,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__total_liabilities,1.5654718345093572,distress_next_4q,total_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__RSAFS_yoy_pct,1.5640825008709458,distress_next_4q,RSAFS_yoy_pct,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_income,0.0653427949442846,distress_next_4q,net_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__roa,0.0594139785252178,distress_next_4q,roa,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__roa_lag1,0.0519584997010766,distress_next_4q,roa_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_margin,0.0457513547211974,distress_next_4q,net_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_income,0.0447927336991707,distress_next_4q,operating_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_margin,0.0439161355915933,distress_next_4q,operating_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__equity_assets,0.0436355035002328,distress_next_4q,equity_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_margin_lag1,0.041616649166445,distress_next_4q,net_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_margin_lag1,0.0348843123599242,distress_next_4q,operating_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_income_negative_count_prior_4obs,0.0327917828616465,distress_next_4q,net_income_negative_count_prior_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_equity,0.0245220276888692,distress_next_4q,total_equity,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_revenue_growth_4obs,0.0239111459438917,distress_next_4q,total_revenue_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_assets,0.0211525440234918,distress_next_4q,cash_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__receivables_assets,0.0209280108697748,distress_next_4q,receivables_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_equivalents,0.0198584707320568,distress_next_4q,cash_equivalents,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__leverage_assets,0.0174774348609776,distress_next_4q,leverage_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_assets_lag1,0.0163554844852473,distress_next_4q,cash_assets_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__leverage_assets_lag1,0.0158584074046509,distress_next_4q,leverage_assets_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_assets_growth_4obs,0.0154692831635428,distress_next_4q,total_assets_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
