prediction_year,Sector,market_health_regime,rows,firms,distress_next_4q_positive,success_resilience_next_4q_positive,market_stress_score_mean,market_health_score_mean,distress_next_4q_share,success_resilience_next_4q_share
2009,Basic Materials,severe_stress,11,5,0,7,0.6618204079544783,-0.6618204079544783,0.0,0.6363636363636364
2009,Communication Services,severe_stress,16,8,0,4,0.6970523860917742,-0.6970523860917742,0.0,0.25
2009,Consumer Cyclical,severe_stress,38,22,0,9,0.6509912359562676,-0.6509912359562676,0.0,0.23684210526315788
2009,Consumer Defensive,severe_stress,20,12,0,6,0.6186751852483924,-0.6186751852483924,0.0,0.3
2009,Consumer Defensive,stressed,1,1,0,0,0.4733281262921605,-0.4733281262921605,0.0,0.0
2009,Energy,severe_stress,47,24,0,12,0.6417453244538072,-0.6417453244538072,0.0,0.2553191489361702
2009,Energy,stressed,1,1,0,0,0.4610459349587905,-0.4610459349587905,0.0,0.0
2009,Financial Services,severe_stress,89,46,0,27,0.658731480672203,-0.658731480672203,0.0,0.30337078651685395
2009,Financial Services,stressed,1,1,0,0,0.4610459349587905,-0.4610459349587905,0.0,0.0
2009,Healthcare,severe_stress,44,23,0,13,0.6627067484268184,-0.6627067484268184,0.0,0.29545454545454547
2009,Healthcare,stressed,3,3,0,1,0.4610459349587905,-0.4610459349587905,0.0,0.3333333333333333
2009,Industrials,severe_stress,102,53,0,38,0.65118115135997,-0.65118115135997,0.0,0.37254901960784315
2009,Industrials,stressed,5,5,0,3,0.4700153152614881,-0.4700153152614881,0.0,0.6
2009,Real Estate,severe_stress,19,10,0,14,0.6589924584100121,-0.6589924584100121,0.0,0.7368421052631579
2009,Real Estate,stressed,1,1,0,0,0.4957743843442682,-0.4957743843442682,0.0,0.0
2009,Technology,severe_stress,67,36,0,32,0.6470308980939545,-0.6470308980939545,0.0,0.47761194029850745
2009,Technology,stressed,4,3,0,2,0.46490880730985806,-0.46490880730985806,0.0,0.5
2009,Utilities,severe_stress,42,20,0,13,0.6613982559372322,-0.6613982559372322,0.0,0.30952380952380953
2010,Agriculture,neutral,1,1,0,1,0.19203519444911418,-0.19203519444911418,0.0,1.0
2010,Agriculture,stressed,1,1,0,1,0.28774986581613843,-0.28774986581613843,0.0,1.0
2010,Basic Materials,neutral,10,5,0,6,0.11579319042556353,-0.11579319042556353,0.0,0.6
2010,Basic Materials,severe_stress,1,1,0,1,0.6025598968897871,-0.6025598968897871,0.0,1.0
2010,Basic Materials,stressed,9,4,0,5,0.3163254845670183,-0.3163254845670183,0.0,0.5555555555555556
2010,Communication Services,neutral,34,19,0,9,0.1494393059146815,-0.1494393059146815,0.0,0.2647058823529412
2010,Communication Services,severe_stress,1,1,0,0,0.5709660179127755,-0.5709660179127755,0.0,0.0
2010,Communication Services,stressed,17,11,0,5,0.3067048134999558,-0.3067048134999558,0.0,0.29411764705882354
2010,Consumer Cyclical,neutral,75,36,0,27,0.09521878340896536,-0.09521878340896536,0.0,0.36
2010,Consumer Cyclical,severe_stress,2,2,0,1,0.5621771350030499,-0.5621771350030499,0.0,0.5
2010,Consumer Cyclical,stressed,41,28,0,10,0.3566659217449206,-0.3566659217449206,0.0,0.24390243902439024
2010,Consumer Defensive,neutral,30,14,0,10,0.10646966223241312,-0.10646966223241312,0.0,0.3333333333333333
2010,Consumer Defensive,severe_stress,1,1,0,1,0.5831737609864063,-0.5831737609864063,0.0,1.0
2010,Consumer Defensive,stressed,24,13,0,4,0.3382217244921601,-0.3382217244921601,0.0,0.16666666666666666
2010,Consumer Discretionary,neutral,2,1,0,2,0.19374064184634676,-0.19374064184634676,0.0,1.0
2010,Energy,neutral,66,32,0,18,0.1494082561703623,-0.1494082561703623,0.0,0.2727272727272727
2010,Energy,stressed,46,28,0,12,0.3262455920879631,-0.3262455920879631,0.0,0.2608695652173913
2010,Financial Services,neutral,130,61,0,48,0.1537355582390186,-0.1537355582390186,0.0,0.36923076923076925
2010,Financial Services,severe_stress,1,1,0,1,0.5380320583986588,-0.5380320583986588,0.0,1.0
2010,Financial Services,stressed,86,50,0,30,0.3581773052893765,-0.3581773052893765,0.0,0.3488372093023256
2010,Healthcare,neutral,62,30,0,13,0.12183405933907575,-0.12183405933907575,0.0,0.20967741935483872
2010,Healthcare,severe_stress,3,3,0,2,0.5675896967638319,-0.5675896967638319,0.0,0.6666666666666666
2010,Healthcare,stressed,45,26,0,16,0.33252791127537207,-0.33252791127537207,0.0,0.35555555555555557
2010,Industrials,neutral,154,80,2,73,0.12604064451915328,-0.12604064451915328,0.012987012987012988,0.474025974025974
2010,Industrials,severe_stress,7,6,0,3,0.5633685806730764,-0.5633685806730764,0.0,0.42857142857142855
2010,Industrials,stressed,104,61,0,41,0.3380265505844045,-0.3380265505844045,0.0,0.3942307692307692
2010,Real Estate,neutral,46,21,0,38,0.1668263150339596,-0.1668263150339596,0.0,0.8260869565217391
2010,Real Estate,stressed,20,14,0,16,0.29938782259461166,-0.29938782259461166,0.0,0.8
2010,Technology,neutral,101,50,0,59,0.114700238867955,-0.114700238867955,0.0,0.5841584158415841
2010,Technology,severe_stress,8,7,0,5,0.5972795431658062,-0.5972795431658062,0.0,0.625
2010,Technology,stressed,70,47,0,40,0.338331854809657,-0.338331854809657,0.0,0.5714285714285714
2010,Utilities,neutral,58,30,0,21,0.152047947815824,-0.152047947815824,0.0,0.3620689655172414
2010,Utilities,severe_stress,2,2,0,2,0.5380320583986588,-0.5380320583986588,0.0,1.0
2010,Utilities,stressed,44,23,0,12,0.3337183670534414,-0.3337183670534414,0.0,0.2727272727272727
2011,Agriculture,neutral,1,1,0,1,0.04212043848642799,-0.04212043848642799,0.0,1.0
2011,Agriculture,severe_stress,4,2,0,2,0.7180883887179192,-0.7180883887179192,0.0,0.5
2011,Agriculture,stressed,1,1,0,1,0.30626631067694,-0.30626631067694,0.0,1.0
2011,Basic Materials,neutral,6,5,0,4,-0.0197044542279904,0.0197044542279904,0.0,0.6666666666666666
2011,Basic Materials,severe_stress,10,5,0,7,0.6398306440274814,-0.6398306440274814,0.0,0.7
2011,Basic Materials,stressed,4,4,0,2,0.2500235250512109,-0.2500235250512109,0.0,0.5
2011,Communication Services,neutral,22,19,0,7,-0.01986563154347548,0.01986563154347548,0.0,0.3181818181818182
2011,Communication Services,severe_stress,56,27,0,12,0.7542420808766607,-0.7542420808766607,0.0,0.21428571428571427
2011,Communication Services,stressed,19,19,0,4,0.263419768705711,-0.263419768705711,0.0,0.21052631578947367
2011,Consumer Cyclical,neutral,37,28,0,16,0.006183051003582857,-0.006183051003582857,0.0,0.43243243243243246
2011,Consumer Cyclical,severe_stress,88,47,0,28,0.7724739552988847,-0.7724739552988847,0.0,0.3181818181818182
2011,Consumer Cyclical,stressed,44,30,0,14,0.28174095688528894,-0.28174095688528894,0.0,0.3181818181818182
2011,Consumer Defensive,neutral,15,10,0,7,0.027936229395798824,-0.027936229395798824,0.0,0.4666666666666667
2011,Consumer Defensive,severe_stress,29,14,0,12,0.7096699740921721,-0.7096699740921721,0.0,0.41379310344827586
2011,Consumer Defensive,stressed,14,10,0,6,0.284056802679394,-0.284056802679394,0.0,0.42857142857142855
2011,Consumer Discretionary,neutral,1,1,0,1,-0.03218835753558976,0.03218835753558976,0.0,1.0
2011,Consumer Discretionary,severe_stress,2,1,0,2,0.854838547390442,-0.854838547390442,0.0,1.0
2011,Consumer Discretionary,stressed,1,1,0,1,0.2381177078014998,-0.2381177078014998,0.0,1.0
2011,Energy,neutral,39,32,0,10,-0.007828869043944826,0.007828869043944826,0.0,0.2564102564102564
2011,Energy,severe_stress,77,38,0,22,0.7287345141312052,-0.7287345141312052,0.0,0.2857142857142857
2011,Energy,stressed,28,27,0,7,0.2808133433945507,-0.2808133433945507,0.0,0.25
2011,Financial Services,neutral,72,62,0,32,-0.02833575974358302,0.02833575974358302,0.0,0.4444444444444444
2011,Financial Services,severe_stress,130,67,0,49,0.7460318473750848,-0.7460318473750848,0.0,0.3769230769230769
2011,Financial Services,stressed,57,54,0,22,0.2822069366936935,-0.2822069366936935,0.0,0.38596491228070173
2011,Healthcare,neutral,39,31,0,15,-0.04991880021207256,0.04991880021207256,0.0,0.38461538461538464
2011,Healthcare,severe_stress,87,44,0,17,0.7470686538172232,-0.7470686538172232,0.0,0.19540229885057472
2011,Healthcare,stressed,27,27,0,6,0.2927248614171906,-0.2927248614171906,0.0,0.2222222222222222
2011,Industrials,neutral,109,78,4,51,-0.013147128515976006,0.013147128515976006,0.03669724770642202,0.46788990825688076
2011,Industrials,severe_stress,171,93,2,75,0.72199107920388,-0.72199107920388,0.011695906432748537,0.43859649122807015
2011,Industrials,stressed,71,67,2,31,0.29684975178049355,-0.29684975178049355,0.028169014084507043,0.43661971830985913
2011,Real Estate,neutral,24,21,0,18,-0.007612783027292794,0.007612783027292794,0.0,0.75
2011,Real Estate,severe_stress,58,29,0,38,0.7232791518915881,-0.7232791518915881,0.0,0.6551724137931034
2011,Real Estate,stressed,19,19,0,15,0.27068789834456003,-0.27068789834456003,0.0,0.7894736842105263
2011,Technology,neutral,56,47,0,37,-0.04120992628650484,0.04120992628650484,0.0,0.6607142857142857
2011,Technology,severe_stress,117,62,0,64,0.774865711551787,-0.774865711551787,0.0,0.5470085470085471
2011,Technology,stressed,59,48,0,33,0.2887277744367878,-0.2887277744367878,0.0,0.559322033898305
2011,Utilities,neutral,39,30,0,17,-0.027500399321416742,0.027500399321416742,0.0,0.4358974358974359
2011,Utilities,severe_stress,73,36,0,21,0.7290319301747406,-0.7290319301747406,0.0,0.2876712328767123
2011,Utilities,stressed,27,25,0,6,0.28870161500909103,-0.28870161500909103,0.0,0.2222222222222222
2012,Agriculture,neutral,7,2,0,4,0.03000964795834316,-0.03000964795834316,0.0,0.5714285714285714
2012,Agriculture,stressed,1,1,0,0,0.3525991468380781,-0.3525991468380781,0.0,0.0
2012,Basic Materials,neutral,19,5,0,15,0.05554273763309409,-0.05554273763309409,0.0,0.7894736842105263
2012,Basic Materials,stressed,1,1,0,1,0.23182370360596258,-0.23182370360596258,0.0,1.0
2012,Communication Services,neutral,108,28,0,17,0.07396662744673388,-0.07396662744673388,0.0,0.1574074074074074
2012,Communication Services,stressed,7,7,0,2,0.30076091451680853,-0.30076091451680853,0.0,0.2857142857142857
2012,Consumer Cyclical,neutral,175,47,0,59,0.06851122324954428,-0.06851122324954428,0.0,0.33714285714285713
2012,Consumer Cyclical,stressed,16,15,0,4,0.3012184866513678,-0.3012184866513678,0.0,0.25
2012,Consumer Defensive,neutral,53,14,0,20,0.047545049270431475,-0.047545049270431475,0.0,0.37735849056603776
2012,Consumer Defensive,stressed,3,3,0,1,0.2772952178061477,-0.2772952178061477,0.0,0.3333333333333333
2012,Consumer Discretionary,neutral,4,1,0,4,0.11098317011859746,-0.11098317011859746,0.0,1.0
2012,Energy,neutral,153,41,0,54,0.06267824874775565,-0.06267824874775565,0.0,0.35294117647058826
2012,Energy,stressed,12,12,0,3,0.3103061791431692,-0.3103061791431692,0.0,0.25
2012,Financial Services,neutral,261,67,0,101,0.06318296779887306,-0.06318296779887306,0.0,0.38697318007662834
2012,Financial Services,stressed,12,12,0,2,0.3100168336833937,-0.3100168336833937,0.0,0.16666666666666666
2012,Healthcare,neutral,170,44,0,36,0.06292929595530607,-0.06292929595530607,0.0,0.21176470588235294
2012,Healthcare,stressed,15,14,0,3,0.2950829343496581,-0.2950829343496581,0.0,0.2
2012,Industrials,neutral,349,94,0,152,0.06142237014690315,-0.06142237014690315,0.0,0.4355300859598854
2012,Industrials,stressed,25,23,0,14,0.29843615236825494,-0.29843615236825494,0.0,0.56
2012,Real Estate,neutral,114,30,0,75,0.07236258978118619,-0.07236258978118619,0.0,0.6578947368421053
2012,Real Estate,stressed,6,6,0,6,0.3063153135148251,-0.3063153135148251,0.0,1.0
2012,Technology,neutral,232,66,0,126,0.06383172732348247,-0.06383172732348247,0.0,0.5431034482758621
2012,Technology,stressed,24,22,0,13,0.29911857109695766,-0.29911857109695766,0.0,0.5416666666666666
2012,Utilities,neutral,142,36,0,42,0.06629058922384325,-0.06629058922384325,0.0,0.29577464788732394
2012,Utilities,stressed,9,8,0,2,0.32489330938569744,-0.32489330938569744,0.0,0.2222222222222222
2013,Agriculture,healthy,7,2,0,4,-0.5314500045573531,0.5314500045573531,0.0,0.5714285714285714
2013,Agriculture,neutral,1,1,0,0,-0.19268176687825925,0.19268176687825925,0.0,0.0
2013,Basic Materials,healthy,18,5,0,15,-0.5081512416486218,0.5081512416486218,0.0,0.8333333333333334
2013,Basic Materials,neutral,2,2,0,1,-0.11245678151358354,0.11245678151358354,0.0,0.5
2013,Communication Services,healthy,104,29,0,23,-0.5496131956669161,0.5496131956669161,0.0,0.22115384615384615
2013,Communication Services,neutral,13,13,0,0,-0.13335752962336936,0.13335752962336936,0.0,0.0
2013,Consumer Cyclical,healthy,179,47,0,60,-0.5056503062038109,0.5056503062038109,0.0,0.33519553072625696
2013,Consumer Cyclical,neutral,12,11,0,4,-0.14242134971575748,0.14242134971575748,0.0,0.3333333333333333
2013,Consumer Defensive,healthy,51,14,0,21,-0.5159698442577226,0.5159698442577226,0.0,0.4117647058823529
2013,Consumer Defensive,neutral,6,6,0,3,-0.20074914495383492,0.20074914495383492,0.0,0.5
2013,Consumer Discretionary,healthy,3,1,0,3,-0.566683612403204,0.566683612403204,0.0,1.0
2013,Consumer Discretionary,neutral,1,1,0,1,-0.19268176687825925,0.19268176687825925,0.0,1.0
2013,Energy,healthy,144,41,0,63,-0.5422817034813395,0.5422817034813395,0.0,0.4375
2013,Energy,neutral,22,22,0,7,-0.14004939938073574,0.14004939938073574,0.0,0.3181818181818182
