target,feature_group,gradient_boosting,logistic_l2,random_forest,mean_share_across_models,min_share_across_models,max_share_across_models,interpretation_stability
distress_next_4q,Accounting fundamentals,0.5323568893075066,0.2533023720294977,0.2707860175978214,0.35214842631160853,0.2533023720294977,0.5323568893075066,dominant
distress_next_4q,Firm trend / deterioration,0.2793845108467396,0.1185780540714727,0.3528624782013377,0.25027501437318334,0.1185780540714727,0.3528624782013377,dominant
distress_next_4q,Financial ratios,0.1665721526174796,0.1147874168549951,0.3633313157872435,0.21489696175323938,0.1147874168549951,0.3633313157872435,dominant
distress_next_4q,Macro conditions,0.0106329247296036,0.3092269833826754,,0.1599299540561395,0.0106329247296036,0.3092269833826754,dominant
distress_next_4q,Industry / sector,0.0110535224986704,0.2041051736613588,0.0130201884135972,0.0760596281912088,0.0110535224986704,0.2041051736613588,moderate
failure_pressure_conservative_v2_next_4obs,Accounting fundamentals,0.6719510567050866,0.0744366196758048,0.3689376639997831,0.3717751134602249,0.0744366196758048,0.6719510567050866,dominant
failure_pressure_conservative_v2_next_4obs,Macro conditions,0.0230844895987312,0.4320581424239365,,0.22757131601133385,0.0230844895987312,0.4320581424239365,dominant
failure_pressure_conservative_v2_next_4obs,Firm trend / deterioration,0.2179008282007201,0.071109787219645,0.3457463971696767,0.21158567086334726,0.071109787219645,0.3457463971696767,dominant
failure_pressure_conservative_v2_next_4obs,Financial ratios,0.041769544282836,0.14392349112315,0.2732252420611653,0.1529727591557171,0.041769544282836,0.2732252420611653,dominant
failure_pressure_conservative_v2_next_4obs,Industry / sector,0.0452940812126259,0.2579842972310349,0.0120906967693747,0.10512302507101183,0.0120906967693747,0.2579842972310349,dominant
failure_pressure_conservative_v2_next_4obs,Macro regime / time,,0.0204876623264287,,0.0204876623264287,0.0204876623264287,0.0204876623264287,moderate
success_resilience_next_4q,Financial ratios,0.5517717984505414,0.2079831252258661,0.4322101249005846,0.3973216828589973,0.2079831252258661,0.5517717984505414,dominant
success_resilience_next_4q,Accounting fundamentals,0.2529636770843582,0.4017517045544815,0.2619675621433999,0.30556098126074654,0.2529636770843582,0.4017517045544815,dominant
success_resilience_next_4q,Firm trend / deterioration,0.1712681943650277,0.0859253369571977,0.290658711633149,0.18261741431845813,0.0859253369571977,0.290658711633149,dominant
success_resilience_next_4q,Industry / sector,0.0239963301000726,0.2380636147484998,0.0151636013228665,0.09240784872381297,0.0151636013228665,0.2380636147484998,moderate
success_resilience_next_4q,Macro conditions,,0.0662762185139547,,0.0662762185139547,0.0662762185139547,0.0662762185139547,moderate
