model,feature,importance
logistic_l2,num__RSAFS,3.045266245708135
logistic_l2,num__r_and_d_intensity,2.530077557381325
logistic_l2,cat__Sector_Consumer Defensive,2.466575188671413
logistic_l2,cat__Sector_Financial Services,2.022952036170569
logistic_l2,num__CPIAUCSL,1.704298910415111
logistic_l2,num__GDPC1,1.6841979263911662
logistic_l2,num__BUSLOANS,1.6445395380898795
logistic_l2,cat__Sector_Energy,1.4183432182389308
logistic_l2,num__UNRATE,1.4011588724847286
logistic_l2,num__missingindicator_current_liabilities_growth_4obs,1.3194936083228717
logistic_l2,num__missingindicator_total_assets_growth_4obs,1.257270848339009
logistic_l2,num__net_income_negative_count_prior_4obs,1.1746429783042136
logistic_l2,cat__Sector_Consumer Discretionary,1.095070444483447
logistic_l2,num__missingindicator_current_ratio_change_4obs,0.9669189029445957
logistic_l2,num__CPIAUCSL_yoy_pct,0.8727383241926968
logistic_l2,num__roa,0.7942941387740948
logistic_l2,num__M2SL,0.789136413409487
logistic_l2,num__missingindicator_total_liabilities_growth_4obs,0.7855119308951837
logistic_l2,num__missingindicator_leverage_assets_change_4obs,0.7852176233806946
logistic_l2,num__gross_margin_change_4obs,0.755620381796714
logistic_l2,num__current_assets,0.7156626775873419
logistic_l2,num__total_liabilities,0.675866942853999
logistic_l2,num__operating_income,0.6290400539716308
logistic_l2,num__missingindicator_net_margin,0.5947946791557285
logistic_l2,num__PAYEMS,0.5868102645045047
logistic_l2,num__net_margin,0.5824075593459764
logistic_l2,num__missingindicator_cash_assets_change_4obs,0.5629372651160551
logistic_l2,num__missingindicator_current_ratio,0.5625265891863821
logistic_l2,num__tight_financial_conditions,0.556134190089381
logistic_l2,num__missingindicator_current_assets,0.5007039051893718
random_forest,num__roa,0.0992037802516426
random_forest,num__net_income,0.09484248881357643
random_forest,num__net_income_negative_count_prior_4obs,0.07477815272810212
random_forest,num__roa_lag1,0.06539172229745764
random_forest,num__operating_income,0.05731151321351722
random_forest,num__net_margin,0.05543665308923078
random_forest,num__net_margin_lag1,0.03744705365172614
random_forest,num__operating_margin,0.03511781816394382
random_forest,num__operating_margin_lag1,0.03268799301627564
random_forest,num__total_equity,0.025284983238505015
random_forest,num__total_assets,0.021747005344915964
random_forest,num__current_assets,0.020653647715220026
random_forest,num__current_liabilities,0.018291141749713708
random_forest,num__cash_flow_operating,0.013240862523719704
random_forest,num__cash_equivalents,0.012024108040494095
random_forest,num__roa_change_4obs,0.011913581297665015
random_forest,num__total_revenue,0.011709204095397855
random_forest,num__total_liabilities,0.0109746162838101
random_forest,num__total_revenue_growth_4obs,0.01033380013109372
random_forest,num__net_margin_change_4obs,0.00998808773149314
random_forest,cat__Sector_Energy,0.009567446224031318
random_forest,num__total_assets_growth_4obs,0.009147283637654246
random_forest,num__operating_margin_change_4obs,0.008363707579304049
random_forest,num__receivables_assets,0.007389989344969163
random_forest,num__current_assets_growth_4obs,0.007033057054810276
random_forest,num__cash_assets,0.006987949186207931
random_forest,num__equity_assets,0.00654196990061282
random_forest,num__cash_assets_lag1,0.006506911742819682
random_forest,num__gross_profit,0.005863178656109755
random_forest,num__current_ratio,0.005526733820175195
gradient_boosting,num__net_income,0.6037984993433579
gradient_boosting,num__net_income_negative_count_prior_4obs,0.1251041367928505
gradient_boosting,cat__Sector_Energy,0.03517804207321955
gradient_boosting,num__roa_lag1,0.03379242304412535
gradient_boosting,num__roa,0.020479245746160366
gradient_boosting,num__net_margin_lag1,0.01963196159185456
gradient_boosting,num__operating_income,0.014435335032081645
gradient_boosting,num__total_revenue_growth_4obs,0.010283864871427757
gradient_boosting,num__BUSLOANS_yoy_pct,0.009218626687092217
gradient_boosting,cat__Sector_Financial Services,0.008315652104743877
gradient_boosting,num__operating_margin,0.00786351996009425
gradient_boosting,num__operating_margin_change_4obs,0.007416288311039409
gradient_boosting,num__total_assets,0.0066593408385202555
gradient_boosting,num__total_revenue,0.006508535074519721
gradient_boosting,num__total_equity,0.005694087256422252
gradient_boosting,num__PAYEMS_yoy_pct,0.005250215604641157
gradient_boosting,num__operating_margin_lag1,0.005098442175691044
gradient_boosting,num__inventory_assets,0.004975113499851897
gradient_boosting,num__current_liabilities,0.00425458984387237
gradient_boosting,num__current_assets_growth_4obs,0.003815840888051037
gradient_boosting,num__receivables_assets,0.0031362521125903858
gradient_boosting,num__HOUST,0.003047738347431621
gradient_boosting,num__DTWEXBGS_yoy_pct,0.002566106667780233
gradient_boosting,num__gross_margin_change_4obs,0.0023592823714430784
gradient_boosting,num__DCOILWTICO_yoy_pct,0.0020842206859190233
gradient_boosting,num__capex,0.0019968748424863815
gradient_boosting,num__total_liabilities,0.0018945216939989992
gradient_boosting,num__current_ratio,0.0018689071580129891
gradient_boosting,num__net_margin,0.0017862150141009741
gradient_boosting,num__cash_assets_lag1,0.0017372837314103993
