model,feature,importance
logistic_l2,num__operating_margin,3.508981477123834
logistic_l2,num__equity_assets,2.9174296101851502
logistic_l2,cat__Sector_Financial Services,2.6774427605483235
logistic_l2,num__roa,2.281976017687164
logistic_l2,num__operating_margin_lag1,2.187939615446638
logistic_l2,cat__Sector_Consumer Discretionary,1.7972430926077019
logistic_l2,cat__Sector_Agriculture,1.6247018650800549
logistic_l2,num__total_equity,1.3669812588716141
logistic_l2,num__missingindicator_current_assets,1.103064674373457
logistic_l2,num__total_assets,1.102178210520989
logistic_l2,num__GDPC1,1.0908146776078955
logistic_l2,num__roa_lag1,1.0794020362650332
logistic_l2,num__missingindicator_gross_profit,0.9327996080825404
logistic_l2,cat__Sector_Technology,0.8252367250192963
logistic_l2,num__missingindicator_operating_income,0.713714012910788
logistic_l2,num__net_income_negative_count_prior_4obs,0.6945814952141056
logistic_l2,num__operating_income,0.6824867438453167
logistic_l2,cat__Sector_Consumer Defensive,0.664763981738897
logistic_l2,num__roa_change_4obs,0.656996653522955
logistic_l2,cat__Sector_Utilities,0.6565966003281736
logistic_l2,num__missingindicator_cash_equivalents,0.5944460120047667
logistic_l2,num__operating_margin_change_4obs,0.5806562623406292
logistic_l2,num__leverage_assets_lag1,0.5790085810417205
logistic_l2,num__missingindicator_operating_margin,0.5497943424415007
logistic_l2,num__missingindicator_current_liabilities,0.5280724770026024
logistic_l2,num__missingindicator_current_ratio,0.5280724770026024
logistic_l2,num__gross_margin_change_4obs,0.4881828462621584
logistic_l2,cat__Sector_Communication Services,0.48215900582187127
logistic_l2,num__leverage_assets_change_4obs,0.4735891234148263
logistic_l2,num__missingindicator_gross_margin,0.46613160616546634
random_forest,num__equity_assets,0.0638520449201176
random_forest,num__roa,0.06225440238437262
random_forest,num__leverage_assets,0.05958515686729165
random_forest,num__leverage_assets_lag1,0.0595658719607981
random_forest,num__roa_lag1,0.05370186175530452
random_forest,num__net_margin,0.045692665409189
random_forest,num__net_margin_lag1,0.03688621135134442
random_forest,num__net_income,0.034438489259025054
random_forest,num__total_equity,0.03217630144566248
random_forest,num__operating_margin,0.03153075575865508
random_forest,num__operating_margin_lag1,0.025762915473833938
random_forest,num__operating_income,0.023097215214039336
random_forest,cat__Sector_Financial Services,0.020783708530668053
random_forest,num__net_income_negative_count_prior_4obs,0.01883414410789188
random_forest,num__total_assets,0.018124654103373886
random_forest,num__total_liabilities,0.01680854770015793
random_forest,num__total_revenue,0.013030004563584174
random_forest,num__current_assets,0.012503188118692863
random_forest,num__cash_equivalents,0.011764224003495338
random_forest,num__receivables_assets,0.011715750773012111
random_forest,num__current_liabilities,0.011120154958536833
random_forest,num__cash_flow_operating,0.010993304075114492
random_forest,num__long_term_debt,0.010907719438007774
random_forest,num__cash_assets,0.009521481446350268
random_forest,num__current_ratio_lag1,0.009242290561756678
random_forest,num__cash_assets_lag1,0.009221193375558365
random_forest,num__capex,0.00902479435739909
random_forest,num__current_ratio,0.008997269588363607
random_forest,num__inventory_assets,0.00840588230356393
random_forest,num__total_assets_growth_4obs,0.007844176048959518
gradient_boosting,num__roa,0.2140715089740673
gradient_boosting,num__equity_assets,0.13023648387846268
gradient_boosting,cat__Sector_Financial Services,0.12859006312498464
gradient_boosting,num__leverage_assets,0.0657809768312497
gradient_boosting,num__net_margin_lag1,0.06341786857820564
gradient_boosting,num__net_margin,0.06317198808275272
gradient_boosting,num__roa_lag1,0.062428577083816744
gradient_boosting,num__leverage_assets_lag1,0.05525418001784206
gradient_boosting,num__operating_margin,0.0299362362267415
gradient_boosting,num__total_equity,0.02795583746062041
gradient_boosting,cat__Sector_Technology,0.01490038534840953
gradient_boosting,num__operating_income,0.01327840586468206
gradient_boosting,num__net_income_negative_count_prior_4obs,0.012304008529228274
gradient_boosting,num__operating_margin_lag1,0.011900249214702702
gradient_boosting,num__net_income,0.0077397456110875115
gradient_boosting,num__total_assets,0.007305142156902663
gradient_boosting,num__inventory_assets,0.0070800031696461735
gradient_boosting,num__missingindicator_total_revenue,0.0054915732169674904
gradient_boosting,num__total_revenue,0.005046823691626621
gradient_boosting,num__receivables_assets,0.004643427823392394
gradient_boosting,num__current_liabilities,0.004286901551401928
gradient_boosting,num__gross_margin_lag1,0.004285395893280176
gradient_boosting,num__gross_profit,0.0036287078681669885
gradient_boosting,num__gross_margin,0.0032096603272844114
gradient_boosting,cat__Sector_Consumer Discretionary,0.0027177412370895273
gradient_boosting,cat__Sector_Consumer Defensive,0.0026539525708676555
gradient_boosting,cat__Sector_Real Estate,0.00255283890902014
gradient_boosting,num__long_term_debt,0.0023800082179960473
gradient_boosting,num__total_liabilities,0.0023734417541789285
gradient_boosting,num__current_ratio_lag1,0.002322790959121058
