Sector,rows,firms,distress_rows,avg_leverage,avg_roa,avg_cash_assets,distress_share
Consumer Cyclical,2813,56,64,0.7040701252131856,0.009845529642709868,0.10632568759788029,0.022751510842516885
Energy,2246,43,46,0.9490633588661668,-0.01079818850260887,0.05479834801302951,0.020480854853072127
Industrials,5629,103,30,0.6471500223156095,0.016354312844026563,0.09856246802873989,0.005329543435779001
Real Estate,1890,38,10,0.5573160251063051,0.003700252748172517,0.05847483502502934,0.005291005291005291
Healthcare,2813,52,14,0.6018250452341845,-0.010950825394147564,0.1593576315353945,0.004976892996800568
Utilities,2134,40,10,0.6595238262048702,0.0054380405371377855,0.027022644276627057,0.004686035613870665
Technology,4298,86,19,0.5696553159517299,0.02038042878411379,0.15243247243530372,0.004420660772452303
Communication Services,1675,32,5,0.6750445683086944,0.006673240334247224,0.09270224408742034,0.0029850746268656717
Financial Services,4153,73,9,0.7858679305619793,0.008903723840524215,0.08188341182080057,0.0021671081146159405
Agriculture,117,3,0,0.3671338008948416,0.006970444511475802,0.024545740880990194,0.0
Basic Materials,338,6,0,0.529369229461153,0.013852186534855402,0.06328360353337727,0.0
Consumer Defensive,912,16,0,0.7530597980533367,0.025126039612474213,0.07702721812730441,0.0
Consumer Discretionary,59,1,0,0.6449662167403607,0.022209652151578524,0.20766566349022483,0.0
