model,feature,importance
logistic_l2,num__operating_margin,3.3233017492291643
logistic_l2,num__equity_assets,2.5778944897525613
logistic_l2,num__operating_margin_lag1,2.4310690113358984
logistic_l2,num__roa,1.6756740064815012
logistic_l2,cat__Sector_Basic Materials,1.3590147549528264
logistic_l2,cat__Sector_Real Estate,1.3310527535299177
logistic_l2,num__total_liabilities,1.2845050222162717
logistic_l2,num__total_assets,1.1429017426437265
logistic_l2,num__gross_margin,1.0341244985809093
logistic_l2,cat__Sector_Consumer Cyclical,1.0122576227000544
logistic_l2,num__net_income_negative_count_prior_4obs,0.8850368334701934
logistic_l2,num__missingindicator_operating_income,0.8394322955118633
logistic_l2,num__leverage_assets_lag1,0.8139159417831987
logistic_l2,num__missingindicator_operating_margin,0.7351442643547837
logistic_l2,num__leverage_assets,0.7252208814712494
logistic_l2,cat__Sector_Consumer Defensive,0.6883118852658241
logistic_l2,num__missingindicator_current_assets_growth_4obs,0.6871859262423717
logistic_l2,num__short_term_debt,0.6626606552535335
logistic_l2,num__cash_assets,0.6407934086385478
logistic_l2,num__missingindicator_net_margin_change_4obs,0.5832823797308423
logistic_l2,num__PPIACO,0.5511418521412347
logistic_l2,num__missingindicator_net_margin,0.529978940629619
logistic_l2,num__DTWEXBGS,0.5209900352109451
logistic_l2,num__total_equity,0.5033545072569678
logistic_l2,cat__Sector_Industrials,0.47225271856093154
logistic_l2,num__missingindicator_cash_equivalents_growth_4obs,0.44960892538630515
logistic_l2,num__BUSLOANS,0.44179190943094154
logistic_l2,num__long_term_debt,0.4264620712115874
logistic_l2,num__INDPRO,0.4231596643392831
logistic_l2,cat__Sector_Agriculture,0.39014721894855464
random_forest,num__leverage_assets,0.10136221464982666
random_forest,num__equity_assets,0.09837046183354352
random_forest,num__leverage_assets_lag1,0.09051870189924921
random_forest,num__roa,0.05232077396714518
random_forest,num__roa_lag1,0.04873727331155708
random_forest,num__total_equity,0.033549147671775144
random_forest,num__net_income,0.03201621335000265
random_forest,num__net_margin,0.029382170834302262
random_forest,num__operating_margin,0.02660426229114433
random_forest,num__operating_income,0.026083935782563208
random_forest,num__cash_flow_operating,0.025810550598201865
random_forest,num__operating_margin_lag1,0.02296482925160156
random_forest,num__net_income_negative_count_prior_4obs,0.022798693986001477
random_forest,num__net_margin_lag1,0.022423713051525112
random_forest,num__total_liabilities,0.017888813835364135
random_forest,num__total_assets,0.01691969565876183
random_forest,num__current_assets,0.012237630925088215
random_forest,num__cash_assets,0.010797786737865371
random_forest,num__cash_equivalents,0.010232587929448327
random_forest,num__current_liabilities,0.009752826853598854
random_forest,num__cash_assets_lag1,0.009396363171326154
random_forest,num__total_revenue,0.009107633871238039
random_forest,num__total_revenue_growth_4obs,0.008107158777870457
random_forest,num__receivables_assets,0.008094205710463572
random_forest,num__capex,0.007542024800674927
random_forest,num__inventory_assets,0.006655776032975717
random_forest,num__total_assets_growth_4obs,0.0066368280368391255
random_forest,cat__Sector_Real Estate,0.006292020393718023
random_forest,num__current_ratio,0.0059914857936033475
random_forest,num__leverage_assets_change_4obs,0.005928667659105825
gradient_boosting,num__equity_assets,0.37935069392066484
gradient_boosting,num__net_income_negative_count_prior_4obs,0.11817299822116446
gradient_boosting,num__net_income,0.08952549968800616
gradient_boosting,num__leverage_assets,0.07933909063313142
gradient_boosting,num__cash_flow_operating,0.044810734389223006
gradient_boosting,num__roa,0.036369477634223865
gradient_boosting,num__operating_margin,0.030399570692224973
gradient_boosting,num__operating_income,0.02616084968105803
gradient_boosting,num__leverage_assets_lag1,0.022352049145034355
gradient_boosting,num__total_equity,0.017660780503103844
gradient_boosting,num__cash_assets,0.0159562168779165
gradient_boosting,num__operating_margin_lag1,0.015646497058799922
gradient_boosting,num__net_margin_lag1,0.013929519730226504
gradient_boosting,num__roa_lag1,0.01347145408953089
gradient_boosting,num__inventory_assets,0.008307242861106083
gradient_boosting,num__receivables_assets,0.0069733564705696215
gradient_boosting,cat__Sector_Real Estate,0.00574162604016112
gradient_boosting,num__total_revenue_growth_4obs,0.005145896405818155
gradient_boosting,num__net_margin,0.005023959901473524
gradient_boosting,num__r_and_d_intensity,0.0047963732022033734
gradient_boosting,num__current_assets,0.0043749790245174
gradient_boosting,num__cash_equivalents,0.003686363324273804
gradient_boosting,cat__Sector_Consumer Cyclical,0.0035738046285155945
gradient_boosting,num__short_term_debt,0.0032916219512508582
gradient_boosting,num__gross_margin,0.0028173090390559347
gradient_boosting,cat__Sector_Basic Materials,0.002552806933368404
gradient_boosting,num__capex,0.0023962187237619
gradient_boosting,num__current_liabilities_growth_4obs,0.0023701833290023303
gradient_boosting,num__current_liabilities,0.00224625083006632
gradient_boosting,num__NFCI,0.0019023133689725707
