model,feature,importance
logistic_l2,num__total_equity,3.478891372648638
logistic_l2,num__total_liabilities,2.9744036366377333
logistic_l2,num__total_assets,2.1974089892344266
logistic_l2,num__operating_margin,1.8077918058477067
logistic_l2,cat__Sector_Real Estate,1.783616436685355
logistic_l2,num__cash_equivalents,1.677568321762695
logistic_l2,num__equity_assets,1.4305983019031945
logistic_l2,cat__Sector_Healthcare,1.1381583879691528
logistic_l2,num__leverage_assets,1.1071366092112374
logistic_l2,cat__Sector_Basic Materials,1.1017374064297023
logistic_l2,cat__Sector_Energy,0.9950446055011374
logistic_l2,num__leverage_assets_lag1,0.9586916019701717
logistic_l2,num__missingindicator_operating_income,0.9172259075602474
logistic_l2,num__roa_lag1,0.9147957943178444
logistic_l2,num__missingindicator_net_margin,0.9093637802981667
logistic_l2,num__net_income_negative_count_prior_4obs,0.8989282984653346
logistic_l2,num__DTWEXBGS,0.8316368735005362
logistic_l2,num__missingindicator_net_margin_change_4obs,0.7573642435712401
logistic_l2,cat__Sector_Technology,0.7201069491399784
logistic_l2,num__missingindicator_current_ratio_change_4obs,0.7198539827558073
logistic_l2,num__missingindicator_operating_margin,0.6929332351140804
logistic_l2,num__PPIACO,0.6843650929023124
logistic_l2,cat__Sector_Consumer Discretionary,0.6351687905251465
logistic_l2,num__missingindicator_total_revenue_growth_4obs,0.625418590287136
logistic_l2,cat__Sector_Industrials,0.6111568767203271
logistic_l2,num__roa_change_4obs,0.5891474968647377
logistic_l2,cat__Sector_Consumer Cyclical,0.585119749364604
logistic_l2,num__GDPC1,0.5801085938529766
logistic_l2,num__missingindicator_total_assets_growth_4obs,0.5603975742009346
logistic_l2,num__operating_margin_change_4obs,0.558246482722105
random_forest,num__leverage_assets,0.13424143560242552
random_forest,num__leverage_assets_lag1,0.12062115839295896
random_forest,num__equity_assets,0.1136550525495558
random_forest,num__roa_lag1,0.05284648931430988
random_forest,num__roa,0.040250161612881266
random_forest,num__total_equity,0.039223840291491
random_forest,num__cash_assets,0.030646837836609705
random_forest,num__total_liabilities,0.027172966884231122
random_forest,num__operating_income,0.02085699247497199
random_forest,num__total_assets,0.019207738314004946
random_forest,num__cash_assets_lag1,0.018840898367258684
random_forest,num__net_income,0.01844443656728648
random_forest,num__operating_margin,0.01797189085033089
random_forest,num__net_income_negative_count_prior_4obs,0.017091501833261424
random_forest,num__operating_margin_lag1,0.016650204632830273
random_forest,num__net_margin_lag1,0.015075099110028637
random_forest,num__net_margin,0.013661602309769124
random_forest,num__current_ratio,0.013656611610799976
random_forest,num__current_liabilities,0.011668095021662581
random_forest,num__current_assets,0.011290728784799225
random_forest,cat__Sector_Financial Services,0.010660432036802163
random_forest,num__cash_equivalents,0.010605481248836547
random_forest,num__total_revenue,0.008702371702931814
random_forest,num__current_ratio_lag1,0.00843338770816021
random_forest,num__missingindicator_operating_income,0.006169240233260943
random_forest,num__total_revenue_growth_4obs,0.005711188716885395
random_forest,num__receivables_assets,0.005701739396816775
random_forest,num__long_term_debt,0.005652393072169401
random_forest,num__total_assets_growth_4obs,0.005484849873515095
random_forest,cat__Sector_Real Estate,0.0050637471678966605
gradient_boosting,num__leverage_assets,0.5013171040890348
gradient_boosting,num__net_income_negative_count_prior_4obs,0.09764729352915998
gradient_boosting,num__equity_assets,0.09171236203707486
gradient_boosting,num__roa,0.09138446750679512
gradient_boosting,num__roa_lag1,0.0588924418029882
gradient_boosting,num__leverage_assets_lag1,0.03057024175027352
gradient_boosting,num__operating_income,0.025109418157398464
gradient_boosting,num__total_equity,0.01491824856565533
gradient_boosting,num__total_revenue_growth_4obs,0.007405805413160553
gradient_boosting,num__inventory_assets,0.006231363620801666
gradient_boosting,num__total_liabilities,0.0040654582356611174
gradient_boosting,num__r_and_d_intensity,0.0036082315117854677
gradient_boosting,num__DTWEXBGS_yoy_pct,0.0034673830159894685
gradient_boosting,num__current_assets,0.0029096024696014413
gradient_boosting,num__operating_margin,0.0029086218059893353
gradient_boosting,num__net_income,0.0026459948601908778
gradient_boosting,num__HOUST,0.0025714890982766812
gradient_boosting,num__total_liabilities_growth_4obs,0.002513285493770826
gradient_boosting,num__operating_margin_lag1,0.0024486476790759578
gradient_boosting,num__gross_margin,0.002381038237104525
gradient_boosting,cat__Sector_Energy,0.002365247715656843
gradient_boosting,num__gross_margin_lag1,0.00222217903669921
gradient_boosting,num__current_assets_growth_4obs,0.002177308832421158
gradient_boosting,num__cash_assets_lag1,0.002025751690677568
gradient_boosting,cat__Sector_Communication Services,0.0020243760229958514
gradient_boosting,num__current_ratio,0.001548559502653652
gradient_boosting,num__total_assets_growth_4obs,0.0014800769364141928
gradient_boosting,num__current_ratio_change_4obs,0.0014669895116376842
gradient_boosting,num__receivables_assets,0.0014530451680533228
gradient_boosting,num__missingindicator_total_liabilities,0.0013440909276989234
