model,feature,importance
logistic_l2,num__roa,2.158775646595542
logistic_l2,cat__Sector_Real Estate,1.731007457562309
logistic_l2,cat__Sector_Energy,1.4344159803038754
logistic_l2,num__gross_margin,1.3161904902541266
logistic_l2,num__total_liabilities,1.2576058874655036
logistic_l2,cat__Sector_Communication Services,1.040984900365662
logistic_l2,num__leverage_assets_lag1,0.956811214305669
logistic_l2,num__roa_lag1,0.949795122438384
logistic_l2,num__total_assets,0.9246060219852014
logistic_l2,num__gross_margin_change_4obs,0.9139553566331249
logistic_l2,num__HOUST,0.881089825403979
logistic_l2,num__net_income_negative_count_prior_4obs,0.8727229588404799
logistic_l2,num__short_term_debt,0.8481954017501835
logistic_l2,num__missingindicator_cash_equivalents_growth_4obs,0.8474547007100864
logistic_l2,num__FEDFUNDS,0.8191546629767174
logistic_l2,num__CPIAUCSL_yoy_pct,0.7911849542573759
logistic_l2,num__equity_assets,0.7717380710540833
logistic_l2,num__GS10,0.7674042560714519
logistic_l2,num__missingindicator_current_assets_growth_4obs,0.7610151541260389
logistic_l2,num__missingindicator_current_liabilities_growth_4obs,0.7610151541260389
logistic_l2,cat__Sector_Consumer Cyclical,0.6905629817377394
logistic_l2,cat__Sector_Basic Materials,0.6534072716119632
logistic_l2,num__missingindicator_total_assets_growth_4obs,0.6109025114882528
logistic_l2,num__total_equity,0.605975985363305
logistic_l2,num__missingindicator_cash_assets_lag1,0.5804697124898852
logistic_l2,num__missingindicator_net_margin_lag1,0.5492487719561562
logistic_l2,num__current_ratio,0.5444665889181395
logistic_l2,num__M2SL_yoy_pct,0.5361473115627541
logistic_l2,num__PAYEMS_yoy_pct,0.5298048489940753
logistic_l2,num__operating_margin,0.5173311285901198
random_forest,num__leverage_assets,0.12432629217463916
random_forest,num__equity_assets,0.12002864610909313
random_forest,num__roa,0.08630342820497529
random_forest,num__leverage_assets_lag1,0.08291954343695206
random_forest,num__roa_lag1,0.05194549933647192
random_forest,num__net_income,0.04037953737101709
random_forest,num__operating_income,0.03210904241542602
random_forest,num__total_equity,0.029844911311858416
random_forest,num__net_margin,0.02887706460066449
random_forest,num__net_income_negative_count_prior_4obs,0.024495432396581685
random_forest,num__operating_margin,0.021369004035679606
random_forest,num__current_assets,0.020907903128784676
random_forest,num__total_liabilities,0.0203738775471298
random_forest,num__net_margin_lag1,0.016177329295422184
random_forest,num__total_assets,0.01588874387301518
random_forest,num__current_liabilities,0.012809694930438133
random_forest,num__operating_margin_lag1,0.0119117393148337
random_forest,cat__Sector_Financial Services,0.009015549957714664
random_forest,num__cash_equivalents,0.008541152331794035
random_forest,num__total_revenue,0.008181744575546789
random_forest,num__roa_change_4obs,0.007680977883345256
random_forest,num__missingindicator_current_assets,0.006650648858950182
random_forest,num__receivables_assets,0.00606533510291725
random_forest,num__current_ratio,0.005789339041907959
random_forest,num__missingindicator_current_ratio,0.005596855978111857
random_forest,num__missingindicator_current_liabilities,0.00550257513842547
random_forest,num__net_margin_change_4obs,0.005364853349999315
random_forest,num__total_assets_growth_4obs,0.005337107731485127
random_forest,num__operating_margin_change_4obs,0.005155430303043056
random_forest,num__capex,0.005142138132866029
gradient_boosting,num__leverage_assets,0.36761570186348885
gradient_boosting,num__net_income,0.1663500238292267
gradient_boosting,num__equity_assets,0.10358498522494168
gradient_boosting,num__roa,0.08515894856370873
gradient_boosting,num__net_income_negative_count_prior_4obs,0.05030819481974252
gradient_boosting,num__roa_lag1,0.03862188829716037
gradient_boosting,num__leverage_assets_lag1,0.02236351373765384
gradient_boosting,num__operating_income,0.01780126810714918
gradient_boosting,num__gross_margin_change_4obs,0.01543134994731918
gradient_boosting,num__current_assets,0.01136130611063328
gradient_boosting,num__inventory_assets,0.009873856090079276
gradient_boosting,num__receivables_assets,0.009009115490690587
gradient_boosting,num__current_liabilities,0.005586266431360689
gradient_boosting,num__cash_assets,0.00526746771658002
gradient_boosting,cat__Sector_Communication Services,0.004913561528544249
gradient_boosting,num__short_term_debt,0.0038857202298597585
gradient_boosting,num__total_revenue_growth_4obs,0.0037143655164531197
gradient_boosting,num__total_liabilities,0.003617285201045522
gradient_boosting,num__operating_margin_change_4obs,0.0035283850256888545
gradient_boosting,num__T10Y2Y,0.0034527202836982388
gradient_boosting,num__r_and_d_intensity,0.003331047659701944
gradient_boosting,num__current_liabilities_growth_4obs,0.003262389268426429
gradient_boosting,num__DTWEXBGS_yoy_pct,0.0028616706457430595
gradient_boosting,num__operating_margin_lag1,0.002830972650519502
gradient_boosting,cat__Sector_Energy,0.0026726226165881195
gradient_boosting,num__missingindicator_current_liabilities,0.0025197179674902965
gradient_boosting,num__gross_profit,0.0024806268120879478
gradient_boosting,num__net_margin_lag1,0.0024620922479101875
gradient_boosting,num__total_equity,0.0022759372883640367
gradient_boosting,num__T10Y3M,0.0020725080734809473
