model,feature,importance
logistic_l2,num__total_liabilities,3.1623221304146623
logistic_l2,num__operating_margin,2.029485702024041
logistic_l2,cat__Sector_Energy,1.8432412012788075
logistic_l2,num__total_equity,1.5809482056161528
logistic_l2,num__missingindicator_total_liabilities_growth_4obs,1.402535729865995
logistic_l2,num__missingindicator_leverage_assets_change_4obs,1.2864148105662123
logistic_l2,cat__Sector_Basic Materials,1.2554427686170253
logistic_l2,cat__Sector_Real Estate,1.187582079154772
logistic_l2,num__equity_assets,1.1783344406421918
logistic_l2,num__missingindicator_current_assets_growth_4obs,1.0849835769358585
logistic_l2,num__net_income_negative_count_prior_4obs,1.0051292689510511
logistic_l2,num__missingindicator_operating_income,0.933145716621383
logistic_l2,num__GDPC1,0.9163555658524801
logistic_l2,num__missingindicator_operating_margin,0.9064664413080168
logistic_l2,num__total_assets,0.855351520894288
logistic_l2,num__leverage_assets_lag1,0.8398176030653185
logistic_l2,cat__Sector_Consumer Cyclical,0.8253196243339755
logistic_l2,num__short_term_debt,0.8208214679045094
logistic_l2,num__roa,0.6757620339969641
logistic_l2,num__cash_equivalents,0.6662333346991965
logistic_l2,num__missingindicator_net_margin,0.6617831464723266
logistic_l2,num__missingindicator_current_ratio_change_4obs,0.6215303243912129
logistic_l2,num__leverage_assets,0.5821299160201648
logistic_l2,num__current_assets,0.547324441464993
logistic_l2,num__missingindicator_cash_assets,0.5347038409088614
logistic_l2,num__long_term_debt,0.5315331202592324
logistic_l2,num__missingindicator_total_liabilities,0.5131700528882773
logistic_l2,num__missingindicator_leverage_assets,0.5085139347079879
logistic_l2,num__PPIACO,0.5066950309383577
logistic_l2,num__total_revenue,0.4616821765279433
random_forest,num__leverage_assets,0.11767870085496507
random_forest,num__leverage_assets_lag1,0.10741411177695223
random_forest,num__equity_assets,0.1028200914399526
random_forest,num__roa,0.06043262776623742
random_forest,num__roa_lag1,0.05576456586344611
random_forest,num__total_equity,0.036958848744487204
random_forest,num__net_income,0.03648071948100948
random_forest,num__operating_income,0.02826334182731411
random_forest,num__net_income_negative_count_prior_4obs,0.026751854276917585
random_forest,num__net_margin,0.023285779177093777
random_forest,num__operating_margin,0.019944949448020402
random_forest,num__total_assets,0.01971878787283517
random_forest,num__current_assets,0.019668095429118834
random_forest,num__net_margin_lag1,0.01934628879177298
random_forest,num__total_liabilities,0.018831108051707936
random_forest,num__operating_margin_lag1,0.015447352626863748
random_forest,num__current_liabilities,0.014464030553812983
random_forest,num__total_revenue,0.009625201433266698
random_forest,num__inventory_assets,0.008708995005086324
random_forest,num__cash_equivalents,0.008367719653814961
random_forest,num__long_term_debt,0.007681210999906412
random_forest,num__receivables_assets,0.007459526584117652
random_forest,num__cash_flow_operating,0.006807332027655216
random_forest,cat__Sector_Energy,0.006795082541070529
random_forest,num__total_revenue_growth_4obs,0.006012033354797199
random_forest,num__capex,0.0057855925376691176
random_forest,cat__Sector_Financial Services,0.0055139604162063195
random_forest,num__current_ratio,0.005278654644070423
random_forest,num__cash_assets,0.005236947063921466
random_forest,num__leverage_assets_change_4obs,0.005205802810910264
gradient_boosting,num__leverage_assets,0.3568479511376278
gradient_boosting,num__net_income,0.16366611657116492
gradient_boosting,num__equity_assets,0.12684048755965957
gradient_boosting,num__net_income_negative_count_prior_4obs,0.09192185525658765
gradient_boosting,num__operating_income,0.036166190377807016
gradient_boosting,num__roa_lag1,0.03198055323351008
gradient_boosting,num__leverage_assets_lag1,0.03191205406964352
gradient_boosting,num__roa,0.02179308759564305
gradient_boosting,cat__Sector_Energy,0.01961398591088281
gradient_boosting,num__inventory_assets,0.014126566689661937
gradient_boosting,num__current_liabilities,0.0078091518375427195
gradient_boosting,num__total_equity,0.007775663447010213
gradient_boosting,num__receivables_assets,0.007620977417056047
gradient_boosting,num__short_term_debt,0.007391367672532321
gradient_boosting,num__current_assets,0.0060565583399753075
gradient_boosting,num__gross_profit,0.004469991590210812
gradient_boosting,num__total_assets,0.004051510335166601
gradient_boosting,num__long_term_debt,0.0039901448406745865
gradient_boosting,cat__Sector_Consumer Cyclical,0.003745014796003747
gradient_boosting,num__total_revenue,0.0030275467065284853
gradient_boosting,num__total_revenue_growth_4obs,0.002973025853719525
gradient_boosting,num__cash_assets,0.002901033613402703
gradient_boosting,num__operating_margin,0.0027249978736331067
gradient_boosting,num__total_assets_growth_4obs,0.0022873203170767358
gradient_boosting,num__r_and_d_intensity,0.0022189835863969097
gradient_boosting,num__gross_margin,0.0020429560201601447
gradient_boosting,num__net_margin_lag1,0.0019106875956153555
gradient_boosting,num__operating_margin_lag1,0.0018795686758853773
gradient_boosting,num__gross_margin_lag1,0.0018543398634480956
gradient_boosting,num__total_liabilities,0.0018408585607939667
