cohort,target,rows,known_rows,missing_rows,positives,positive_share_all_rows,positive_share_known,firms
additional_controls,distress_next_2q,5482,5482,0,0,0.0,0.0,99
core_large_cap,distress_next_2q,13852,13852,0,2,0.00014438348252959862,0.00014438348252959862,250
distress_candidates,distress_next_2q,1144,1144,0,79,0.06905594405594405,0.06905594405594405,40
expansion_event_review,distress_next_2q,4000,4000,0,16,0.004,0.004,75
expansion_matched_controls,distress_next_2q,4584,4584,0,0,0.0,0.0,75
additional_controls,distress_next_4q,5482,5482,0,0,0.0,0.0,99
core_large_cap,distress_next_4q,13852,13852,0,5,0.00036095870632399656,0.00036095870632399656,250
distress_candidates,distress_next_4q,1144,1144,0,165,0.14423076923076922,0.14423076923076922,40
expansion_event_review,distress_next_4q,4000,4000,0,37,0.00925,0.00925,75
expansion_matched_controls,distress_next_4q,4584,4584,0,0,0.0,0.0,75
additional_controls,distress_next_8q,5482,5482,0,0,0.0,0.0,99
core_large_cap,distress_next_8q,13852,13852,0,9,0.0006497256713831938,0.0006497256713831938,250
distress_candidates,distress_next_8q,1144,1144,0,330,0.28846153846153844,0.28846153846153844,40
expansion_event_review,distress_next_8q,4000,4000,0,80,0.02,0.02,75
expansion_matched_controls,distress_next_8q,4584,4584,0,0,0.0,0.0,75
additional_controls,broad_distress_next_4q,5482,5482,0,0,0.0,0.0,99
core_large_cap,broad_distress_next_4q,13852,13852,0,5,0.00036095870632399656,0.00036095870632399656,250
distress_candidates,broad_distress_next_4q,1144,1144,0,195,0.17045454545454544,0.17045454545454544,40
expansion_event_review,broad_distress_next_4q,4000,4000,0,37,0.00925,0.00925,75
expansion_matched_controls,broad_distress_next_4q,4584,4584,0,0,0.0,0.0,75
additional_controls,healthy_current,5482,5482,0,2702,0.4928858080992339,0.4928858080992339,99
core_large_cap,healthy_current,13852,13852,0,6834,0.49335835980363846,0.49335835980363846,250
distress_candidates,healthy_current,1144,1144,0,21,0.018356643356643356,0.018356643356643356,40
expansion_event_review,healthy_current,4000,4000,0,1217,0.30425,0.30425,75
expansion_matched_controls,healthy_current,4584,4584,0,1496,0.3263525305410122,0.3263525305410122,75
additional_controls,success_profitability_next_4q,5482,5480,2,5071,0.9250273622765414,0.9253649635036496,99
core_large_cap,success_profitability_next_4q,13852,13837,15,12730,0.9190008663008952,0.9199971091999711,250
distress_candidates,success_profitability_next_4q,1144,1091,53,349,0.30506993006993005,0.3198900091659028,40
expansion_event_review,success_profitability_next_4q,4000,3792,208,2394,0.5985,0.6313291139240507,75
expansion_matched_controls,success_profitability_next_4q,4584,4546,38,3464,0.7556719022687609,0.7619885613726353,75
additional_controls,success_resilience_next_4q,5482,3486,1996,2734,0.49872309376140095,0.7842799770510613,99
core_large_cap,success_resilience_next_4q,13852,9564,4288,6855,0.49487438637019926,0.716750313676286,250
distress_candidates,success_resilience_next_4q,1144,739,405,14,0.012237762237762238,0.018944519621109608,40
expansion_event_review,success_resilience_next_4q,4000,2738,1262,1067,0.26675,0.38970051132213296,75
expansion_matched_controls,success_resilience_next_4q,4584,2767,1817,1420,0.30977312390924955,0.5131911817853271,75
additional_controls,success_quality_next_4q,5482,3486,1996,2002,0.36519518423932873,0.5742971887550201,99
core_large_cap,success_quality_next_4q,13852,9564,4288,4991,0.36030898065261335,0.5218527812630699,250
distress_candidates,success_quality_next_4q,1144,739,405,6,0.005244755244755245,0.008119079837618403,40
expansion_event_review,success_quality_next_4q,4000,2738,1262,594,0.1485,0.21694667640613585,75
expansion_matched_controls,success_quality_next_4q,4584,2767,1817,768,0.16753926701570682,0.2775569208529093,75
additional_controls,failure_pressure_conservative_v2_next_4obs,5482,5481,1,154,0.028091937249179133,0.0280970625798212,99
core_large_cap,failure_pressure_conservative_v2_next_4obs,13852,13852,0,628,0.04533641351429397,0.04533641351429397,250
distress_candidates,failure_pressure_conservative_v2_next_4obs,1144,1144,0,654,0.5716783216783217,0.5716783216783217,40
expansion_event_review,failure_pressure_conservative_v2_next_4obs,4000,3847,153,942,0.2355,0.24486612945152067,75
expansion_matched_controls,failure_pressure_conservative_v2_next_4obs,4584,4584,0,586,0.12783595113438045,0.12783595113438045,75
additional_controls,industry_relative_resilience_next_4obs,5482,3486,1996,1811,0.3303538854432689,0.5195065978198509,99
core_large_cap,industry_relative_resilience_next_4obs,13852,9569,4283,4639,0.33489748772740396,0.48479464938865086,250
distress_candidates,industry_relative_resilience_next_4obs,1144,816,328,73,0.06381118881118882,0.08946078431372549,40
expansion_event_review,industry_relative_resilience_next_4obs,4000,2762,1238,647,0.16175,0.2342505430847212,75
expansion_matched_controls,industry_relative_resilience_next_4obs,4584,2767,1817,681,0.14856020942408377,0.24611492591254067,75
additional_controls,stress_resilience_next_4obs,5482,1014,4468,788,0.14374315943086466,0.777120315581854,99
core_large_cap,stress_resilience_next_4obs,13852,2855,10997,2000,0.14438348252959862,0.7005253940455342,250
distress_candidates,stress_resilience_next_4obs,1144,232,912,33,0.028846153846153848,0.14224137931034483,40
expansion_event_review,stress_resilience_next_4obs,4000,696,3304,275,0.06875,0.39511494252873564,75
expansion_matched_controls,stress_resilience_next_4obs,4584,806,3778,412,0.08987783595113438,0.511166253101737,75
additional_controls,recovery_next_4obs,5482,1705,3777,1105,0.2015687705217074,0.6480938416422287,99
core_large_cap,recovery_next_4obs,13852,4880,8972,2707,0.1954230436038117,0.5547131147540983,250
distress_candidates,recovery_next_4obs,1144,663,481,96,0.08391608391608392,0.14479638009049775,40
expansion_event_review,recovery_next_4obs,4000,2020,1980,753,0.18825,0.37277227722772277,75
expansion_matched_controls,recovery_next_4obs,4584,1738,2846,713,0.1555410122164049,0.41024165707710014,75
additional_controls,quality_success_cashflow_next_4obs,5482,2926,2556,2106,0.3841663626413718,0.719753930280246,99
core_large_cap,quality_success_cashflow_next_4obs,13852,8020,5832,5410,0.39055732024256423,0.6745635910224439,250
distress_candidates,quality_success_cashflow_next_4obs,1144,621,523,70,0.06118881118881119,0.11272141706924316,40
expansion_event_review,quality_success_cashflow_next_4obs,4000,2209,1791,860,0.215,0.3893164327750113,75
expansion_matched_controls,quality_success_cashflow_next_4obs,4584,2373,2211,1013,0.22098603839441536,0.4268857985672145,75
