Sector,target,rows,known_rows,missing_rows,positives,positive_share_all_rows,positive_share_known,firms
Agriculture,distress_next_2q,117,117,0,0,0.0,0.0,3
Basic Materials,distress_next_2q,338,338,0,0,0.0,0.0,6
Communication Services,distress_next_2q,1674,1674,0,2,0.0011947431302270011,0.0011947431302270011,32
Consumer Cyclical,distress_next_2q,2811,2811,0,31,0.011028103877623622,0.011028103877623622,56
Consumer Defensive,distress_next_2q,912,912,0,0,0.0,0.0,16
Consumer Discretionary,distress_next_2q,59,59,0,0,0.0,0.0,1
Energy,distress_next_2q,2244,2244,0,19,0.008467023172905526,0.008467023172905526,43
Financial Services,distress_next_2q,4150,4150,0,5,0.0012048192771084338,0.0012048192771084338,73
Healthcare,distress_next_2q,2812,2812,0,6,0.0021337126600284497,0.0021337126600284497,52
Industrials,distress_next_2q,5627,5627,0,16,0.0028434334458859074,0.0028434334458859074,103
Real Estate,distress_next_2q,1889,1889,0,6,0.0031762837480148226,0.0031762837480148226,38
Technology,distress_next_2q,4298,4298,0,7,0.0016286644951140066,0.0016286644951140066,86
Utilities,distress_next_2q,2131,2131,0,5,0.002346316283435007,0.002346316283435007,40
Agriculture,distress_next_4q,117,117,0,0,0.0,0.0,3
Basic Materials,distress_next_4q,338,338,0,0,0.0,0.0,6
Communication Services,distress_next_4q,1674,1674,0,5,0.002986857825567503,0.002986857825567503,32
Consumer Cyclical,distress_next_4q,2811,2811,0,64,0.022767698327997153,0.022767698327997153,56
Consumer Defensive,distress_next_4q,912,912,0,0,0.0,0.0,16
Consumer Discretionary,distress_next_4q,59,59,0,0,0.0,0.0,1
Energy,distress_next_4q,2244,2244,0,46,0.020499108734402853,0.020499108734402853,43
Financial Services,distress_next_4q,4150,4150,0,9,0.002168674698795181,0.002168674698795181,73
Healthcare,distress_next_4q,2812,2812,0,14,0.004978662873399715,0.004978662873399715,52
Industrials,distress_next_4q,5627,5627,0,30,0.005331437711036076,0.005331437711036076,103
