temporal_split,target,rows,known_rows,missing_rows,positives,positive_share_all_rows,positive_share_known,firms
test,distress_next_2q,5872,5872,0,47,0.00800408719346049,0.00800408719346049,512
train,distress_next_2q,17145,17145,0,27,0.0015748031496062992,0.0015748031496062992,505
validation,distress_next_2q,6045,6045,0,23,0.00380479735318445,0.00380479735318445,520
test,distress_next_4q,5872,5872,0,96,0.01634877384196185,0.01634877384196185,512
train,distress_next_4q,17145,17145,0,58,0.003382910469524643,0.003382910469524643,505
validation,distress_next_4q,6045,6045,0,53,0.008767576509511994,0.008767576509511994,520
test,distress_next_8q,5872,5872,0,147,0.025034059945504086,0.025034059945504086,512
train,distress_next_8q,17145,17145,0,156,0.009098862642169728,0.009098862642169728,505
validation,distress_next_8q,6045,6045,0,116,0.019189412737799835,0.019189412737799835,520
test,broad_distress_next_4q,5872,5872,0,116,0.019754768392370572,0.019754768392370572,512
train,broad_distress_next_4q,17145,17145,0,58,0.003382910469524643,0.003382910469524643,505
validation,broad_distress_next_4q,6045,6045,0,63,0.010421836228287842,0.010421836228287842,520
test,healthy_current,5872,5872,0,2649,0.45112397820163486,0.45112397820163486,512
train,healthy_current,17145,17145,0,7127,0.415689705453485,0.415689705453485,505
validation,healthy_current,6045,6045,0,2494,0.41257237386269646,0.41257237386269646,520
test,success_profitability_next_4q,5872,5691,181,4867,0.8288487738419619,0.8552099806712353,512
train,success_profitability_next_4q,17145,17035,110,14435,0.84193642461359,0.8473730554740241,505
validation,success_profitability_next_4q,6045,6020,25,4706,0.7784946236559139,0.7817275747508305,520
test,success_resilience_next_4q,5872,4046,1826,2647,0.450783378746594,0.6542263964409293,512
train,success_resilience_next_4q,17145,11058,6087,7029,0.4099737532808399,0.6356483993488877,505
validation,success_resilience_next_4q,6045,4190,1855,2414,0.39933829611248967,0.5761336515513127,520
test,success_quality_next_4q,5872,4046,1826,1908,0.3249318801089918,0.47157686604053384,512
train,success_quality_next_4q,17145,11058,6087,4815,0.28083989501312334,0.4354313619099295,505
validation,success_quality_next_4q,6045,4190,1855,1638,0.2709677419354839,0.3909307875894988,520
test,failure_pressure_conservative_v2_next_4obs,5872,5734,138,575,0.09792234332425068,0.10027903732124172,512
train,failure_pressure_conservative_v2_next_4obs,17145,17145,0,1555,0.09069699620880724,0.09069699620880724,505
validation,failure_pressure_conservative_v2_next_4obs,6045,6029,16,834,0.13796526054590572,0.13833139824183116,520
test,industry_relative_resilience_next_4obs,5872,4098,1774,1678,0.28576294277929154,0.40946803318692043,512
train,industry_relative_resilience_next_4obs,17145,11092,6053,4506,0.26281714785651794,0.40623873061666066,505
validation,industry_relative_resilience_next_4obs,6045,4210,1835,1667,0.27576509511993386,0.3959619952494062,520
test,stress_resilience_next_4obs,5872,3028,2844,1920,0.32697547683923706,0.6340819022457067,512
train,stress_resilience_next_4obs,17145,1625,15520,1046,0.06100904053659959,0.6436923076923077,505
validation,stress_resilience_next_4obs,6045,950,5095,542,0.08966087675765096,0.5705263157894737,520
test,recovery_next_4obs,5872,2419,3453,1199,0.20418937329700274,0.49565936337329475,512
train,recovery_next_4obs,17145,6030,11115,2994,0.1746281714785652,0.49651741293532337,505
validation,recovery_next_4obs,6045,2557,3488,1181,0.19536807278742763,0.4618693781775518,520
test,quality_success_cashflow_next_4obs,5872,3998,1874,2458,0.4185967302452316,0.6148074037018509,512
train,quality_success_cashflow_next_4obs,17145,8105,9040,4787,0.27920676582093906,0.5906230721776681,505
validation,quality_success_cashflow_next_4obs,6045,4046,1999,2214,0.36625310173697273,0.5472071181413742,520
