target,rows,known_rows,missing_rows,positives,positive_share_all_rows,positive_share_known,firms_with_positive
distress_next_2q,29062,29062,0,97,0.003337691831257312,0.003337691831257312,42
distress_next_4q,29062,29062,0,207,0.0071227031862913775,0.0071227031862913775,43
distress_next_8q,29062,29062,0,419,0.014417452343266121,0.014417452343266121,43
broad_distress_next_4q,29062,29062,0,237,0.008154979010391576,0.008154979010391576,49
healthy_current,29062,29062,0,12270,0.4222008120569816,0.4222008120569816,323
success_profitability_next_4q,29062,28746,316,24008,0.826095932833253,0.8351770681138245,515
success_resilience_next_4q,29062,19294,9768,12090,0.41600715711238045,0.6266196745102104,310
success_quality_next_4q,29062,19294,9768,8361,0.28769527217672564,0.43334715455582046,292
failure_pressure_conservative_v2_next_4obs,29062,28908,154,2964,0.10198885142109972,0.10253217102532171,232
industry_relative_resilience_next_4obs,29062,19400,9662,7851,0.2701465831670222,0.40469072164948455,287
stress_resilience_next_4obs,29062,5603,23459,3508,0.12070745303145,0.626093164376227,313
recovery_next_4obs,29062,11006,18056,5374,0.1849150092904824,0.4882791204797383,311
quality_success_cashflow_next_4obs,29062,16149,12913,9459,0.32547656733879293,0.5857328627159576,318
