year,rows,firms,distress_rows,avg_unrate,avg_vix,avg_fedfunds,distress_share
2009,509,260,0,9.762671905697445,25.234145383104128,0.1392534381139489,0.0
2010,1296,388,2,9.637268518518518,22.447114197530862,0.179375,0.0015432098765432098
2011,1725,464,8,8.91263768115942,24.90081929110982,0.1023768115942029,0.00463768115942029
2012,1901,471,0,8.082798527091004,17.663328008519702,0.1397264597580221,0.0
2013,1946,477,2,7.357297019527235,13.66719794344473,0.10854573484069886,0.0010277492291880781
2014,1934,481,9,6.202119958634953,14.37212512926577,0.0862047569803516,0.004653567735263702
2015,1952,488,20,5.297233606557377,14.621132752434649,0.12394979508196721,0.010245901639344262
2016,1928,488,5,4.861773858921162,16.3810632780083,0.3889989626556017,0.0025933609958506223
2017,1975,494,5,4.377721518987342,10.769098734177216,0.9831848101265822,0.002531645569620253
2018,1990,495,7,3.887035175879397,17.02208752515091,1.8145728643216081,0.0035175879396984926
2019,2006,505,36,3.668693918245264,14.971968031968032,2.1730358923230306,0.01794616151545364
2020,2008,511,13,8.24855577689243,28.60643426294821,0.4096264940239044,0.006474103585657371
2021,2034,508,4,5.377679449360865,19.144781111657647,0.07910029498525074,0.0019665683382497543
2022,2030,507,37,3.66448275862069,26.369566288812223,1.611655172413793,0.018226600985221674
2023,1980,501,52,3.630757575757576,17.5070101010101,5.035378787878788,0.026262626262626262
2024,1863,473,7,4.030971551261406,16.941453175457482,5.1770101986044015,0.003757380568974772
