target,evidence_layer,selected_by,model,model_family,test_rows,test_positives,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,threshold
distress_next_4q,baseline_temporal_model,fixed_baseline_specification,random_forest,random_forest,5873,96,0.7982543924182102,0.1568010996198406,0.1473684210526315,0.1458333333333333,0.1465968586387434,0.0671074710430914
distress_next_4q,baseline_temporal_model,fixed_baseline_specification,gradient_boosting,gradient_boosting,5873,96,0.7827312691131498,0.0913372622532442,0.1553398058252427,0.1666666666666666,0.1608040201005025,0.2047323331991056
distress_next_4q,baseline_temporal_model,fixed_baseline_specification,logistic_l2,logistic_l2,5873,96,0.5440720385436502,0.0186678144939755,0.0123456790123456,0.0729166666666666,0.0211161387631975,0.0875429756843738
distress_next_4q,sklearn_validation_tuned,validation_pr_auc_f1_roc_auc,extra_trees_cfg3_seed777,extra_trees,5873,96,0.7512874329236628,0.1442396896661782,0.1919191919191919,0.1979166666666666,0.1948717948717948,0.2266281997433754
distress_next_4q,xgboost_lightgbm_validation_tuned,validation_pr_auc_f1_roc_auc,xgboost_cfg1_seed777,xgboost,5873,96,0.8190588757140385,0.12062695177408,0.2058823529411764,0.2916666666666667,0.2413793103448276,0.5618000030517578
failure_pressure_conservative_v2_next_4obs,baseline_temporal_model,fixed_baseline_specification,random_forest,random_forest,5735,575,0.9551921132457026,0.7640391086252096,0.6785714285714286,0.7930434782608695,0.731355252606255,0.3571937134187098
failure_pressure_conservative_v2_next_4obs,baseline_temporal_model,fixed_baseline_specification,gradient_boosting,gradient_boosting,5735,575,0.941835187057634,0.7221138324890254,0.622093023255814,0.7443478260869565,0.6777513855898654,0.7522887279260764
failure_pressure_conservative_v2_next_4obs,baseline_temporal_model,fixed_baseline_specification,logistic_l2,logistic_l2,5735,575,0.8116363329962926,0.4110606659984545,0.1573820395738204,0.8991304347826087,0.2678756476683938,0.8427644076215434
failure_pressure_conservative_v2_next_4obs,sklearn_validation_tuned,validation_pr_auc_f1_roc_auc,hist_gradient_boosting_cfg2,hist_gradient_boosting,5735,575,0.9430394337714864,0.7450655504371423,0.726775956284153,0.6939130434782609,0.7099644128113879,0.5348474265031701
failure_pressure_conservative_v2_next_4obs,xgboost_lightgbm_validation_tuned,validation_pr_auc_f1_roc_auc,xgboost_cfg4_seed42,xgboost,5735,575,0.944529828109201,0.7440739008931342,0.7027027027027027,0.7234782608695652,0.7129391602399314,0.664391040802002
success_resilience_next_4q,baseline_temporal_model,fixed_baseline_specification,random_forest,random_forest,4047,2648,0.9658096309621244,0.9731696603222731,0.9375,0.9459969788519638,0.9417293233082706,0.4926856572332438
success_resilience_next_4q,baseline_temporal_model,fixed_baseline_specification,gradient_boosting,gradient_boosting,4047,2648,0.9595310040188394,0.9674866802275208,0.9381404174573056,0.9335347432024168,0.935831913685406,0.412009062719851
success_resilience_next_4q,baseline_temporal_model,fixed_baseline_specification,logistic_l2,logistic_l2,4047,2648,0.9134073431821176,0.9329498409558616,0.9517786561264822,0.4546827794561933,0.6153846153846154,0.3184657109138388
success_resilience_next_4q,sklearn_validation_tuned,validation_pr_auc_f1_roc_auc,random_forest_cfg1_seed42,random_forest,4047,2648,0.9655448216140576,0.9723137134697708,0.93836903419767,0.94297583081571,0.9406667922395932,0.503173625929986
success_resilience_next_4q,xgboost_lightgbm_validation_tuned,validation_pr_auc_f1_roc_auc,lightgbm_cfg3_seed202,lightgbm,4047,2648,0.9648977798125118,0.9737199516283828,0.9360421369450714,0.9395770392749244,0.9378062570674708,0.4438987005968787
