feature,permutation_importance_mean,permutation_importance_std
num__leverage_assets,0.04855839102255906,0.0024112240252158346
num__net_income_negative_count_prior_4obs,0.006277672688364056,0.0016701468734856997
num__leverage_assets_lag1,0.002651776597784017,0.0018327228093291147
num__equity_assets,0.0022547611573031424,0.0017425275489630135
num__total_revenue_growth_4obs,0.0019484444773899324,0.0011440986558775088
num__net_income,0.0009522784337661517,0.0019894631453248796
num__roa,0.0005336584821852286,0.0011215643747610638
num__roa_lag1,0.00047464862394273053,0.001293823806395989
num__PAYEMS_yoy_pct,0.0003987406583980446,0.00012545121426086204
num__receivables_assets,0.0002784432589692409,0.0009235976763933136
num__current_liabilities_growth_4obs,0.00021912511750996622,0.00028309186973146964
num__gross_margin_lag1,0.0001581910981531376,1.556190802802618e-05
num__operating_margin,0.000156289469173454,0.0006266564513300434
num__total_revenue,0.00010361105278553496,0.00010300748028710016
num__inventory_assets,8.068100234950303e-05,0.00013151168832017398
num__total_assets_growth_4obs,8.017544586058634e-05,4.0772673967095723e-05
num__total_liabilities,5.4165366184277806e-05,0.0004770176171128473
num__net_margin_change_4obs,4.348850453390618e-05,7.82053692293279e-05
num__DTWEXBGS_yoy_pct,4.128695539296068e-05,1.870475717009004e-05
num__T10Y3M,3.762130721471912e-05,7.800255180177115e-05
num__missingindicator_operating_margin,2.8385625007421035e-05,3.8755973757355806e-05
num__missingindicator_total_liabilities,2.1449849058141622e-05,4.4942593789916967e-05
num__cash_equivalents,1.809517393236426e-05,6.903626005678781e-06
num__DCOILWTICO_yoy_pct,1.1044471573673497e-05,6.684859643501201e-06
num__operating_margin_change_4obs,9.754161910779934e-06,8.863710641675667e-06
num__missingindicator_total_assets_growth_4obs,7.810378652384209e-06,1.5887773551270652e-06
num__missingindicator_leverage_assets,7.453522770961563e-06,5.83539156344451e-07
num__INDPRO,7.043794921401947e-06,1.0549301636952146e-05
num__cash_assets_lag1,3.3595747579662217e-06,8.22359341751878e-06
num__RSAFS_yoy_pct,3.132200743460878e-06,1.6134135779887647e-06
cat__Sector_Technology,2.2237572141037275e-06,3.6073560177237803e-06
num__missingindicator_total_liabilities_growth_4obs,1.9829717870845086e-06,3.55848455939754e-07
num__roa_change_4obs,1.9332459179066674e-06,4.781560859140522e-06
num__missingindicator_leverage_assets_change_4obs,1.668624975104116e-06,4.914093117007186e-07
num__missingindicator_equity_assets,1.3292662484731821e-06,5.192409688213922e-06
num__DCOILWTICO,1.180577834469787e-06,8.598762180920774e-07
num__GS10,9.948052833719245e-07,5.509126752772609e-07
num__NFCI,7.129061456723207e-07,1.4859647153642513e-06
num__USEPUINDXD,5.864230107510692e-07,1.1728460215021385e-06
num__missingindicator_current_ratio,0.0,0.0
num__missingindicator_capex,0.0,0.0
num__missingindicator_cash_flow_operating,0.0,0.0
num__missingindicator_cash_assets,0.0,0.0
num__global_event_pandemic_severity,0.0,0.0
num__global_event_pandemic_count,0.0,0.0
num__missingindicator_net_margin,0.0,0.0
num__missingindicator_net_income,0.0,0.0
num__prediction_quarter,0.0,0.0
num__missingindicator_gross_profit,0.0,0.0
num__global_event_sovereign_debt_count,0.0,0.0
num__global_event_trade_policy_severity,0.0,0.0
num__global_event_trade_policy_count,0.0,0.0
num__global_event_supply_chain_severity,0.0,0.0
num__global_event_supply_chain_count,0.0,0.0
num__missingindicator_long_term_debt,0.0,0.0
num__missingindicator_short_term_debt,0.0,0.0
num__global_event_sovereign_debt_severity,0.0,0.0
num__missingindicator_gross_margin,0.0,0.0
num__global_event_political_policy_count,0.0,0.0
num__missingindicator_current_assets,0.0,0.0
num__missingindicator_current_liabilities,0.0,0.0
num__global_event_political_policy_severity,0.0,0.0
num__missingindicator_cash_equivalents,0.0,0.0
num__missingindicator_total_equity,0.0,0.0
num__missingindicator_total_revenue,0.0,0.0
num__missingindicator_total_assets,0.0,0.0
num__global_event_banking_stress_count,0.0,0.0
num__missingindicator_gross_margin_lag1,0.0,0.0
num__missingindicator_roa,0.0,0.0
num__missingindicator_DTWEXBGS,0.0,0.0
num__missingindicator_BAMLH0A0HYM2,0.0,0.0
num__missingindicator_VIXCLS,0.0,0.0
num__missingindicator_T10Y2Y,0.0,0.0
num__missingindicator_T10Y3M,0.0,0.0
num__missingindicator_DCOILWTICO,0.0,0.0
num__missingindicator_DCOILWTICO_yoy_pct,0.0,0.0
num__missingindicator_DTWEXBGS_yoy_pct,0.0,0.0
num__missingindicator_r_and_d_intensity,0.0,0.0
cat__Sector_Agriculture,0.0,0.0
cat__Sector_Consumer Defensive,0.0,0.0
cat__Sector_Consumer Discretionary,0.0,0.0
cat__Sector_Financial Services,0.0,0.0
cat__Sector_Healthcare,0.0,0.0
cat__Sector_Real Estate,0.0,0.0
num__missingindicator_operating_margin_change_4obs,0.0,0.0
num__missingindicator_net_margin_change_4obs,0.0,0.0
num__missingindicator_cash_assets_change_4obs,0.0,0.0
num__missingindicator_current_ratio_change_4obs,0.0,0.0
num__missingindicator_roa_change_4obs,0.0,0.0
num__missingindicator_current_liabilities_growth_4obs,0.0,0.0
num__missingindicator_current_assets_growth_4obs,0.0,0.0
num__missingindicator_cash_equivalents_growth_4obs,0.0,0.0
num__missingindicator_total_revenue_growth_4obs,0.0,0.0
num__global_event_natural_disaster_count,0.0,0.0
num__missingindicator_net_margin_lag1,0.0,0.0
num__missingindicator_cash_assets_lag1,0.0,0.0
num__missingindicator_current_ratio_lag1,0.0,0.0
num__missingindicator_leverage_assets_lag1,0.0,0.0
num__missingindicator_roa_lag1,0.0,0.0
num__missingindicator_receivables_assets,0.0,0.0
num__missingindicator_inventory_assets,0.0,0.0
num__global_event_natural_disaster_severity,0.0,0.0
cat__Sector_Utilities,0.0,0.0
num__global_event_monetary_inflation_severity,0.0,0.0
num__CPIAUCSL,0.0,0.0
num__BUSLOANS_yoy_pct,0.0,0.0
num__BUSLOANS,0.0,0.0
num__HOUST_yoy_pct,0.0,0.0
num__HOUST,0.0,0.0
num__RSAFS,0.0,0.0
num__PAYEMS,0.0,0.0
num__PPIACO_yoy_pct,0.0,0.0
num__PPIACO,0.0,0.0
num__CPIAUCSL_yoy_pct,0.0,0.0
num__DTWEXBGS,0.0,0.0
num__high_rate_regime,0.0,0.0
num__T10Y2Y,0.0,0.0
num__global_event_monetary_inflation_count,0.0,0.0
num__M2SL,0.0,0.0
num__GDPC1,0.0,0.0
num__FEDFUNDS,0.0,0.0
num__BAMLH0A0HYM2,0.0,0.0
num__current_ratio_change_4obs,0.0,0.0
num__cash_equivalents_growth_4obs,0.0,0.0
num__cash_flow_operating,0.0,0.0
num__DRTSCILM,0.0,0.0
num__UNRATE,0.0,0.0
num__market_stress_regime,0.0,0.0
num__global_event_count,0.0,0.0
num__global_event_financial_market_count,0.0,0.0
num__global_event_financial_crisis_severity,0.0,0.0
num__global_event_financial_crisis_count,0.0,0.0
num__global_event_commodity_oil_severity,0.0,0.0
num__global_event_commodity_oil_count,0.0,0.0
num__global_event_geopolitical_war_severity,0.0,0.0
num__global_event_banking_stress_severity,0.0,0.0
num__global_event_financial_market_severity,0.0,0.0
num__global_event_severity_sum,0.0,0.0
num__crisis_regime,0.0,0.0
num__credit_tightening_regime,0.0,0.0
num__demand_slowdown_regime,0.0,0.0
num__strong_dollar_regime,0.0,0.0
num__oil_shock_regime,0.0,0.0
num__inflation_pressure_regime,0.0,0.0
num__yield_curve_inversion_regime,0.0,0.0
num__credit_spread_stress_regime,0.0,0.0
num__tight_financial_conditions,0.0,0.0
num__global_event_geopolitical_war_count,0.0,0.0
num__missingindicator_operating_margin_lag1,-9.138474058811852e-07,3.0475420312669927e-07
num__M2SL_yoy_pct,-3.6070985670599853e-06,8.033730018346586e-06
num__current_ratio_lag1,-6.58730678939623e-06,1.186380253150156e-05
num__current_assets_growth_4obs,-1.5795837477527997e-05,3.3870945083183885e-05
num__gross_margin_change_4obs,-1.7964804733661133e-05,0.00011031776684725359
num__total_equity,-1.90866498657849e-05,0.0020475574924430627
num__VIXCLS,-2.4576443164070483e-05,4.240393142558075e-05
num__INDPRO_yoy_pct,-2.5007209765326443e-05,1.2334328049106635e-05
num__current_ratio,-2.5921936393524804e-05,6.844078574775798e-05
num__missingindicator_operating_income,-2.832018934029179e-05,3.766885483651739e-05
num__leverage_assets_change_4obs,-3.099925059570907e-05,2.4895584445051594e-05
cat__Sector_Basic Materials,-3.208114768531445e-05,1.8607583142602647e-05
num__net_margin_lag1,-4.066361358820991e-05,1.5340031932790368e-05
num__missingindicator_gross_margin_change_4obs,-4.088832646103047e-05,7.91628144491722e-06
num__r_and_d_intensity,-5.0664568625657934e-05,4.1232016249908456e-05
num__gross_profit,-6.416514188942735e-05,0.00011847150099553381
num__short_term_debt,-0.0001102682414904077,0.0002577731671410809
num__net_margin,-0.00011207331890559225,9.184013008970099e-05
num__cash_assets_change_4obs,-0.00011902067707865171,7.991426588747467e-05
num__cash_assets,-0.00013279320413330797,0.0005673997948148912
cat__Sector_Consumer Cyclical,-0.00015193023367887637,0.000513467436814826
cat__Sector_Communication Services,-0.00015478582647199257,0.000274355938247335
num__operating_margin_lag1,-0.0001741663029936502,0.0007857795228834327
num__capex,-0.0004569681580392615,0.0009252858949079698
num__gross_margin,-0.0004860881459068933,0.0006361932598783605
num__total_assets,-0.0005556889476174165,0.0008760024176396393
num__total_liabilities_growth_4obs,-0.0005818550373945409,0.0006709649419476517
num__long_term_debt,-0.0007234673872410724,0.0005055538978118116
cat__Sector_Industrials,-0.0010133077595729345,0.0004890430598527347
num__operating_income,-0.0010590119563781198,0.0014235025614649586
num__current_assets,-0.0012054253927698654,0.0014822669143067652
cat__Sector_Energy,-0.0015212545156671586,0.001211290486614193
num__current_liabilities,-0.004157330916205737,0.0015743334433880609
