target,target_family,model,calibrator,split,threshold_type,threshold_label,threshold,rows,positives,selected_rows,selected_share,precision,recall,f1,base_rate,lift_vs_base_rate
distress_next_4q,production,random_forest,isotonic_validation,validation,top_rank_share,top_1pct,0.07894736842105263,6045,53,61,0.01,0.22950819672131148,0.2641509433962264,0.2456140350877193,0.008767576509511994,26.1769254562326
distress_next_4q,production,random_forest,isotonic_validation,validation,top_rank_share,top_5pct,0.030927835051546393,6045,53,303,0.05,0.06930693069306931,0.39622641509433965,0.11797752808988765,0.008767576509511994,7.904913132822716
distress_next_4q,production,random_forest,isotonic_validation,validation,top_rank_share,top_10pct,0.014598540145985401,6045,53,605,0.1,0.04628099173553719,0.5283018867924528,0.08510638297872339,0.008767576509511994,5.278652736628722
distress_next_4q,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.10,0.1,6045,53,46,0.0076095947063689,0.2608695652173913,0.22641509433962265,0.2424242424242424,0.008767576509511994,29.753896636587363
distress_next_4q,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.25,0.25,6045,53,20,0.0033085194375516956,0.4,0.1509433962264151,0.21917808219178084,0.008767576509511994,45.62264150943396
distress_next_4q,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.50,0.5,6045,53,1,0.00016542597187758478,1.0,0.018867924528301886,0.037037037037037035,0.008767576509511994,114.0566037735849
distress_next_4q,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.75,0.75,6045,53,1,0.00016542597187758478,1.0,0.018867924528301886,0.037037037037037035,0.008767576509511994,114.0566037735849
distress_next_4q,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.90,0.9,6045,53,1,0.00016542597187758478,1.0,0.018867924528301886,0.037037037037037035,0.008767576509511994,114.0566037735849
distress_next_4q,production,random_forest,isotonic_validation,validation,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.125,6045,53,46,0.0076095947063689,0.2608695652173913,0.22641509433962265,0.2424242424242424,0.008767576509511994,29.753896636587363
distress_next_4q,production,random_forest,isotonic_validation,test,top_rank_share,top_1pct,0.35714285714285715,5872,96,59,0.01,0.1864406779661017,0.11458333333333333,0.14193548387096774,0.01634877384196185,11.403954802259888
distress_next_4q,production,random_forest,isotonic_validation,test,top_rank_share,top_5pct,0.030927835051546393,5872,96,294,0.05,0.09183673469387756,0.28125,0.13846153846153847,0.01634877384196185,5.617346938775511
distress_next_4q,production,random_forest,isotonic_validation,test,top_rank_share,top_10pct,0.014598540145985401,5872,96,588,0.1,0.07312925170068027,0.4479166666666667,0.12573099415204678,0.01634877384196185,4.4730725623582765
distress_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.10,0.1,5872,96,85,0.014475476839237058,0.1411764705882353,0.125,0.13259668508287292,0.01634877384196185,8.63529411764706
distress_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.25,0.25,5872,96,60,0.010217983651226158,0.18333333333333332,0.11458333333333333,0.14102564102564102,0.01634877384196185,11.213888888888889
distress_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.50,0.5,5872,96,10,0.0017029972752043597,0.5,0.052083333333333336,0.09433962264150943,0.01634877384196185,30.583333333333336
distress_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.75,0.75,5872,96,9,0.0015326975476839238,0.5555555555555556,0.052083333333333336,0.09523809523809525,0.01634877384196185,33.98148148148149
distress_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.90,0.9,5872,96,9,0.0015326975476839238,0.5555555555555556,0.052083333333333336,0.09523809523809525,0.01634877384196185,33.98148148148149
distress_next_4q,production,random_forest,isotonic_validation,test,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.07894736842105263,5872,96,150,0.025544959128065394,0.12666666666666668,0.19791666666666666,0.15447154471544716,0.01634877384196185,7.747777777777779
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,top_rank_share,top_1pct,0.9202453987730062,6029,834,61,0.01,1.0,0.07314148681055156,0.13631284916201117,0.13833139824183116,7.229016786570742
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,top_rank_share,top_5pct,0.7361111111111112,6029,834,302,0.05,0.8410596026490066,0.30455635491606714,0.44718309859154926,0.13833139824183116,6.080033986056187
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,top_rank_share,top_10pct,0.5206611570247934,6029,834,603,0.1,0.7412935323383084,0.5359712230215827,0.6221294363256784,0.13833139824183116,5.358823389049953
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.10,0.1,6029,834,1674,0.27765798639907113,0.44384707287933095,0.8908872901678657,0.5925039872408294,0.13833139824183116,3.2085779405149712
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.25,0.25,6029,834,1199,0.19887211809586997,0.5629691409507923,0.8093525179856115,0.6640432857845548,0.13833139824183116,4.069713370254588
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.50,0.5,6029,834,789,0.1308674738762647,0.6856780735107731,0.6486810551558753,0.6666666666666666,0.13833139824183116,4.956778303592867
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.75,0.75,6029,834,278,0.04611046608061038,0.8633093525179856,0.28776978417266186,0.4316546762589928,0.13833139824183116,6.240877801356037
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.90,0.9,6029,834,178,0.029523967490462762,0.9269662921348315,0.19784172661870503,0.32608695652173914,0.13833139824183116,6.7010548864279365
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,validation,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.3829787234042553,6029,834,930,0.15425443688837287,0.6397849462365591,0.7134292565947242,0.6746031746031746,0.13833139824183116,4.625016116139346
failure_pressure_conservative_v2_next_4obs,production,random_forest,isotonic_validation,test,top_rank_share,top_1pct,0.9202453987730062,5734,575,58,0.01,0.9310344827586207,0.09391304347826086,0.17061611374407584,0.10027903732124172,9.284437781109444
