metric,value
total_files,2999
total_size_gb,5.872
files_category_archive,4
files_category_archived_doc,21
files_category_code,42
files_category_config,19
files_category_current_doc,60
files_category_dashboard_code,2
files_category_data,3
files_category_figures,160
files_category_github_dataset_package,4
files_category_legacy_code,13
files_category_model_artifact,40
files_category_notebook,3
files_category_processed_data,1923
files_category_project_root,5
files_category_raw_data,94
files_category_report_output,513
files_category_sample_data,5
files_category_system_junk,88
size_mb_topdir_data,5541.252
size_mb_topdir_models,390.496
size_mb_topdir_reports,73.204
size_mb_topdir_notebooks,3.245
size_mb_topdir_scripts,2.214
size_mb_topdir_docs,1.103
size_mb_topdir_config,0.995
size_mb_topdir_.mplconfig,0.14
size_mb_topdir_app,0.131
size_mb_topdir__archive,0.033
size_mb_topdir_.DS_Store,0.01
size_mb_topdir_README.md,0.007
size_mb_topdir_.vscode,0.003
size_mb_topdir_.gitignore,0.001
size_mb_topdir_requirements.txt,0.0
python_compile_PASS,56
json_notebook_PASS,32
csv_quick_PASS,1317
parquet_PASS,962
zip_quick_PASS,69
model_output_consistency_PASS,7
feature_blacklist_PASS,8
doc_references_BROKEN,0
required_config_PASS,6
