ticker,adsh,form,period_date,prediction_date,total_revenue,total_assets,net_income,operating_income,r_and_d_expense,inventory,leverage_assets,column,expected_recomputed,equity_assets,net_margin,operating_margin,roa,r_and_d_intensity,inventory_assets
MDT,0001613103-15-000008,10-Q,2015-01-31,2015-02-27,0.0,46000.0,-37075000.0,,,,,equity_assets,-803.3478260869565,,,,,,
CIK0000701288,0001654954-24-002411,10-K,2023-12-31,2024-02-29,43584000.0,260825.0,6424000.0,-15892421.0,-5099309.0,82307000.0,,inventory_assets,315.5640755295696,,,,,,
MDT,0001613103-15-000008,10-Q,2015-01-31,2015-02-27,0.0,46000.0,-37075000.0,,,,,leverage_assets,804.3478260869565,,,,,,
BPTH,0001144204-17-014602,10-K,2016-12-31,2017-03-15,13000.0,12196000.0,-1371000.0,-1668000.0,954000.0,,,net_margin,-105.46153846153847,,,,,,
CIK0000008328,0000008328-11-000049,10-Q,2011-06-30,2011-08-15,18699.0,6085884.0,-1974165.0,-1738740.0,,,,net_margin,-105.57596662923152,,,,,,
CIK0000008328,0000008328-11-000074,10-Q/A,2011-06-30,2011-10-07,18699.0,6085884.0,-1974165.0,-1738740.0,,,,net_margin,-105.57596662923152,,,,,,
CIK0000008328,0000008328-12-000022,10-K/A,2011-12-31,2012-03-20,6981.0,12874803.0,-1874872.0,-1987858.0,,,,net_margin,-268.5678269588884,,,,,,
CIK0000008328,0000008328-12-000041,10-K/A,2011-12-31,2012-06-01,6981.0,12874803.0,-1874872.0,-1987858.0,,,,net_margin,-268.5678269588884,,,,,,
CIK0000008328,0000008328-12-000061,10-K/A,2011-12-31,2012-08-09,6981.0,12874803.0,-1874872.0,-1987858.0,,,,net_margin,-268.5678269588884,,,,,,
CIK0000008328,0000008328-12-000085,10-Q,2012-09-30,2012-11-08,666.0,9534064.0,-2517951.0,-2423174.0,,,,net_margin,-3780.7072072072074,,,,,,
CIK0000008328,0000008328-13-000016,10-K,2012-12-31,2013-03-18,13446.0,7818460.0,-3844229.0,-3007302.0,,,,net_margin,-285.90130893946156,,,,,,
CIK0000008328,0000008328-13-000022,10-Q,2013-03-31,2013-05-09,25086.0,10525576.0,-3078891.0,-3582514.0,,,,net_margin,-122.73343697679981,,,,,,
CIK0000008328,0000008328-13-000039,10-Q,2013-06-30,2013-08-09,12878.0,8403097.0,-2604885.0,-2774969.0,,,,net_margin,-202.27403323497438,,,,,,
CIK0000008328,0001140361-13-041117,10-Q,2013-09-30,2013-11-07,6773.0,16900754.0,-3869099.0,-3250990.0,,,,net_margin,-571.253358925144,,,,,,
CIK0000008328,0001140361-14-012804,10-K,2013-12-31,2014-03-14,10088.0,15215287.0,-3510651.0,-3795077.0,,,,net_margin,-348.0026764472641,,,,,,
CIK0000008328,0001437749-18-010513,10-Q,2018-03-31,2018-05-22,45647.0,2935749.0,-12075982.0,-1704090.0,,,,net_margin,-264.55149297872805,,,,,,
CRMD,0001354488-14-002703,10-Q,2014-03-31,2014-05-15,12203.0,9761335.0,-16713291.0,-2934550.0,353018.0,63733.0,,net_margin,-1369.6050971072686,,,,,,
CRMD,0001354488-15-002189,10-Q,2015-03-31,2015-05-07,31264.0,9751752.0,-5497669.0,-5496924.0,1234515.0,461405.0,,net_margin,-175.84662871033777,,,,,,
CRMD,0001354488-15-004982,10-Q,2015-09-30,2015-11-12,35947.0,39306582.0,-4688476.0,-4712560.0,1764468.0,699148.0,,net_margin,-130.42746265335077,,,,,,
CRMD,0001354488-16-006585,10-K,2015-12-31,2016-03-15,22946.0,37101729.0,-3866284.0,-2309896.0,1485252.0,376569.0,,net_margin,-168.49490107208229,,,,,,
CRMD,0001354488-16-007292,10-Q,2016-03-31,2016-05-10,41427.0,33609583.0,-4231173.0,-4261330.0,2089592.0,333873.0,,net_margin,-102.13563617930335,,,,,,
CRMD,0001654954-16-001188,10-Q,2016-06-30,2016-08-04,16511.0,31212838.0,-4886840.0,-4912220.0,2772959.0,157500.0,,net_margin,-295.9748046756708,,,,,,
CRMD,0001654954-16-003696,10-Q,2016-09-30,2016-11-09,44451.0,28840431.0,-9126200.0,-9157975.0,6840413.0,118207.0,,net_margin,-205.30921689050865,,,,,,
CRMD,0001654954-17-004357,10-Q,2017-03-31,2017-05-10,39559.0,14933152.0,-7596860.0,-7619005.0,4924267.0,94867.0,,net_margin,-192.03872696478678,,,,,,
CRMD,0001654954-17-010329,10-Q,2017-09-30,2017-11-09,61075.0,13928704.0,-9956336.0,-8011971.0,6014260.0,299485.0,,net_margin,-163.018190749079,,,,,,
CRMD,0001654954-18-002777,10-K,2017-12-31,2018-03-19,92526.0,13453933.0,-10310520.0,-10270531.0,8457971.0,594194.0,,net_margin,-111.43375915958758,,,,,,
CRMD,0001654954-18-005457,10-Q,2018-03-31,2018-05-15,23210.0,9608969.0,-10185118.0,-10188823.0,8280442.0,578912.0,,net_margin,-438.8245583800086,,,,,,
CRMD,0001654954-18-009147,10-Q,2018-06-30,2018-08-14,7551.0,5926549.0,-8556913.0,-8572152.0,6600215.0,672937.0,,net_margin,-1133.215865448285,,,,,,
CRMD,0001213900-20-006521,10-K,2019-12-31,2020-03-16,24778.0,29475910.0,-5304185.0,-5375824.0,2677007.0,338465.0,,net_margin,-214.0683267414642,,,,,,
CRMD,0001213900-20-021151,10-Q,2020-06-30,2020-08-10,16443.0,24237239.0,-3782424.0,-8920609.0,5685292.0,277835.0,,net_margin,-230.03247582557927,,,,,,
CRMD,0001213900-21-018684,10-K,2020-12-31,2021-03-30,55714.0,49308303.0,-6086945.0,-6084639.0,2294429.0,143564.0,,net_margin,-109.25341924830384,,,,,,
CRMD,0001213900-21-042026,10-Q,2021-06-30,2021-08-12,8191.0,80857111.0,-4632935.0,-5882228.0,2520203.0,72727.0,,net_margin,-565.6128677817117,,,,,,
CRMD,0001213900-21-057751,10-Q,2021-09-30,2021-11-09,38088.0,75389223.0,-8569366.0,-8564919.0,4741228.0,48918.0,,net_margin,-224.98860533501366,,,,,,
CRMD,0001213900-22-015852,10-K,2021-12-31,2022-03-29,56397.0,68945576.0,-7790987.0,-7779921.0,3235219.0,3008.0,,net_margin,-138.1454155362874,,,,,,
