area,column,rows_checked,mismatches,status
ratio_recompute,leverage_assets,31702,1,REVIEW
ratio_recompute,equity_assets,31702,1,REVIEW
ratio_recompute,current_ratio,31702,0,PASS
ratio_recompute,cash_assets,31702,0,PASS
ratio_recompute,net_margin,31702,39,REVIEW
ratio_recompute,operating_margin,31702,39,REVIEW
ratio_recompute,gross_margin,31702,0,PASS
ratio_recompute,roa,31702,1,REVIEW
ratio_recompute,r_and_d_intensity,31702,15,REVIEW
ratio_recompute,inventory_assets,31702,1,REVIEW
ratio_recompute,receivables_assets,31702,0,PASS
trend_recompute,roa_lag1,31702,0,PASS
trend_recompute,leverage_assets_lag1,31702,0,PASS
trend_recompute,current_ratio_lag1,31702,0,PASS
trend_recompute,cash_assets_lag1,31702,0,PASS
trend_recompute,net_margin_lag1,31702,0,PASS
trend_recompute,operating_margin_lag1,31702,0,PASS
trend_recompute,gross_margin_lag1,31702,0,PASS
trend_recompute,total_revenue_growth_4obs,31702,6,REVIEW
trend_recompute,total_assets_growth_4obs,31702,11,REVIEW
trend_recompute,cash_equivalents_growth_4obs,31702,61,REVIEW
trend_recompute,total_liabilities_growth_4obs,31702,12,REVIEW
trend_recompute,current_assets_growth_4obs,31702,22,REVIEW
trend_recompute,current_liabilities_growth_4obs,31702,17,REVIEW
trend_recompute,roa_change_4obs,31702,0,PASS
trend_recompute,leverage_assets_change_4obs,31702,0,PASS
trend_recompute,current_ratio_change_4obs,31702,0,PASS
trend_recompute,cash_assets_change_4obs,31702,0,PASS
trend_recompute,net_margin_change_4obs,31702,2,REVIEW
trend_recompute,operating_margin_change_4obs,31702,1,REVIEW
trend_recompute,gross_margin_change_4obs,31702,0,PASS
trend_recompute,net_income_negative_count_prior_4obs,31702,0,PASS
sec_fact_provenance,ddate_period_aligned,700844,0,PASS
