area,status,evidence
feature_list,PASS,features=116; missing=[]; blacklist_overlap=[]
temporal_split_distress_next_4q,PASS,"train: rows=17145, positives=58, years=2009-2018; validation: rows=6045, positives=53, years=2019-2021; test: rows=5872, positives=96, years=2022-2024; key_overlaps=[]"
saved_metrics_distress_next_4q,PASS,best_test_model=gradient_boosting; roc_auc=0.8159328471260388; pr_auc=0.1043138859696451; f1=0.1818181818181818; positives=96
saved_feature_blacklist_distress_next_4q,PASS,listed_features=116; blacklist_overlap=[]
temporal_split_failure_pressure_conservative_v2_next_4obs,PASS,"train: rows=17145, positives=1555, years=2009-2018; validation: rows=6029, positives=834, years=2019-2021; test: rows=5734, positives=575, years=2022-2024; key_overlaps=[]"
saved_metrics_failure_pressure_conservative_v2_next_4obs,PASS,best_test_model=random_forest; roc_auc=0.9540138186720593; pr_auc=0.7578791892959569; f1=0.7250996015936254; positives=575
saved_feature_blacklist_failure_pressure_conservative_v2_next_4obs,PASS,listed_features=116; blacklist_overlap=[]
temporal_split_success_resilience_next_4q,PASS,"train: rows=11058, positives=7029, years=2009-2018; validation: rows=4190, positives=2414, years=2019-2021; test: rows=4046, positives=2647, years=2022-2024; key_overlaps=[]"
saved_metrics_success_resilience_next_4q,PASS,best_test_model=random_forest; roc_auc=0.9665813841997628; pr_auc=0.974648887771459; f1=0.9376303317535546; positives=2648
saved_feature_blacklist_success_resilience_next_4q,PASS,listed_features=116; blacklist_overlap=[]
sklearn_tuning,PASS_WITH_CAVEAT,summary_exists=True; candidate_failure_rows=0
advanced_boosting,PASS_WITH_CAVEAT,summary_exists=True; candidate_failure_rows=0
