audit_category,rows,firms,first_prediction,last_prediction
failure_pressure_without_strict_distress,45,40,2009-11-06,2024-08-08
global_event_context_present,35,35,2010-10-21,2024-08-05
known_anchor_tickers,60,7,2009-10-27,2026-02-18
market_stress_regime,30,28,2009-05-07,2022-10-21
negative_revenue_outlier,10,7,2011-04-28,2022-04-28
neutral_surviving_known_outcome,35,33,2010-09-02,2024-10-29
strict_distress_positive,45,30,2010-10-20,2023-12-18
success_resilience_positive,45,39,2011-02-14,2025-04-22
temporal_test_window,35,34,2022-02-03,2024-10-31
unknown_future_horizon_or_missing_target,35,33,2010-06-25,2026-02-06
