path,category,size_mb,status,rows,columns,error
data/github/firm_panel_v2.parquet,github_dataset_package,12.601,PASS,31702,190,
data/processed/legacy_2025/firm_panel_with_zscore.parquet,processed_data,2.751,PASS,14104,58,
data/processed/legacy_xbrl/q4quarter_all/AAPL/AAPL_q4quarter.parquet,processed_data,0.02,PASS,16,29,
data/processed/legacy_xbrl/q4quarter_all/AAPL/AAPL_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ABBV/ABBV_q4quarter.parquet,processed_data,0.019,PASS,12,29,
data/processed/legacy_xbrl/q4quarter_all/ABBV/ABBV_q4quarter_summary.parquet,processed_data,0.003,PASS,13,4,
data/processed/legacy_xbrl/q4quarter_all/ABNB/ABNB_q4quarter.parquet,processed_data,0.014,PASS,4,23,
data/processed/legacy_xbrl/q4quarter_all/ABNB/ABNB_q4quarter_summary.parquet,processed_data,0.003,PASS,5,4,
data/processed/legacy_xbrl/q4quarter_all/ABT/ABT_q4quarter.parquet,processed_data,0.021,PASS,16,30,
data/processed/legacy_xbrl/q4quarter_all/ABT/ABT_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ACN/ACN_q4quarter.parquet,processed_data,0.018,PASS,15,26,
data/processed/legacy_xbrl/q4quarter_all/ACN/ACN_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ADBE/ADBE_q4quarter.parquet,processed_data,0.02,PASS,16,29,
data/processed/legacy_xbrl/q4quarter_all/ADBE/ADBE_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ADI/ADI_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/ADI/ADI_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ADP/ADP_q4quarter.parquet,processed_data,0.019,PASS,15,27,
data/processed/legacy_xbrl/q4quarter_all/ADP/ADP_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ADSK/ADSK_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/ADSK/ADSK_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AEP/AEP_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/AEP/AEP_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AFL/AFL_q4quarter.parquet,processed_data,0.014,PASS,16,20,
data/processed/legacy_xbrl/q4quarter_all/AFL/AFL_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AIG/AIG_q4quarter.parquet,processed_data,0.014,PASS,16,20,
data/processed/legacy_xbrl/q4quarter_all/AIG/AIG_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AJG/AJG_q4quarter.parquet,processed_data,0.016,PASS,15,24,
data/processed/legacy_xbrl/q4quarter_all/AJG/AJG_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ALL/ALL_q4quarter.parquet,processed_data,0.014,PASS,16,21,
data/processed/legacy_xbrl/q4quarter_all/ALL/ALL_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AMAT/AMAT_q4quarter.parquet,processed_data,0.021,PASS,16,30,
data/processed/legacy_xbrl/q4quarter_all/AMAT/AMAT_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AMD/AMD_q4quarter.parquet,processed_data,0.019,PASS,15,28,
data/processed/legacy_xbrl/q4quarter_all/AMD/AMD_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AME/AME_q4quarter.parquet,processed_data,0.018,PASS,16,26,
data/processed/legacy_xbrl/q4quarter_all/AME/AME_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AMGN/AMGN_q4quarter.parquet,processed_data,0.021,PASS,16,30,
data/processed/legacy_xbrl/q4quarter_all/AMGN/AMGN_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AMP/AMP_q4quarter.parquet,processed_data,0.015,PASS,16,22,
data/processed/legacy_xbrl/q4quarter_all/AMP/AMP_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AMT/AMT_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/AMT/AMT_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AMZN/AMZN_q4quarter.parquet,processed_data,0.02,PASS,16,29,
data/processed/legacy_xbrl/q4quarter_all/AMZN/AMZN_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ANET/ANET_q4quarter.parquet,processed_data,0.019,PASS,11,29,
data/processed/legacy_xbrl/q4quarter_all/ANET/ANET_q4quarter_summary.parquet,processed_data,0.003,PASS,11,4,
data/processed/legacy_xbrl/q4quarter_all/ANSS/ANSS_q4quarter.parquet,processed_data,0.017,PASS,15,25,
data/processed/legacy_xbrl/q4quarter_all/ANSS/ANSS_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AON/AON_q4quarter.parquet,processed_data,0.018,PASS,16,26,
data/processed/legacy_xbrl/q4quarter_all/AON/AON_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/APD/APD_q4quarter.parquet,processed_data,0.02,PASS,16,29,
data/processed/legacy_xbrl/q4quarter_all/APD/APD_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/APH/APH_q4quarter.parquet,processed_data,0.02,PASS,16,29,
data/processed/legacy_xbrl/q4quarter_all/APH/APH_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/APP/APP_q4quarter.parquet,processed_data,0.017,PASS,4,27,
data/processed/legacy_xbrl/q4quarter_all/APP/APP_q4quarter_summary.parquet,processed_data,0.003,PASS,4,4,
data/processed/legacy_xbrl/q4quarter_all/AVGO/AVGO_q4quarter.parquet,processed_data,0.018,PASS,7,28,
data/processed/legacy_xbrl/q4quarter_all/AVGO/AVGO_q4quarter_summary.parquet,processed_data,0.003,PASS,7,4,
data/processed/legacy_xbrl/q4quarter_all/AXON/AXON_q4quarter.parquet,processed_data,0.02,PASS,14,29,
data/processed/legacy_xbrl/q4quarter_all/AXON/AXON_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AXP/AXP_q4quarter.parquet,processed_data,0.014,PASS,16,21,
