metric,value
snapshot_utc,2026-05-12T17:10:26
core_panel,data/processed/panel_v2/firm_panel_v2.parquet
github_panel,data/github/firm_panel_v2.parquet
rows,31702
columns,190
sec_ciks,540
ticker_display_ids,540
period_min,2009-03-31 00:00:00
period_max,2026-02-28 00:00:00
prediction_date_min,2009-04-15 00:00:00
prediction_date_max,2026-03-31 00:00:00
prediction_date_policy_all_filed_date,True
core_file_sha256,657a7a34f2acb82cf293d9ae39426b1dd8c0f605478af44015ffcf0a88e33056
github_file_sha256,657a7a34f2acb82cf293d9ae39426b1dd8c0f605478af44015ffcf0a88e33056
core_github_shape_equal,True
core_github_columns_equal,True
core_github_content_equal,True
core_panel_content_hash,075dfcbefd7ca25ec6b89d331892e57aec2ce3194870413742c46dc274b1fb62
github_panel_content_hash,075dfcbefd7ca25ec6b89d331892e57aec2ce3194870413742c46dc274b1fb62
schema_rows,190
schema_matches_panel_columns,True
distress_next_4q_known,31702
distress_next_4q_positive,207
distress_next_4q_missing,0
failure_pressure_conservative_v2_next_4obs_known,29805
failure_pressure_conservative_v2_next_4obs_positive,3003
failure_pressure_conservative_v2_next_4obs_missing,1897
success_resilience_next_4q_known,20152
success_resilience_next_4q_positive,12519
success_resilience_next_4q_missing,11550
industry_relative_resilience_next_4obs_known,20039
industry_relative_resilience_next_4obs_positive,8093
industry_relative_resilience_next_4obs_missing,11663
stress_resilience_next_4obs_known,5901
stress_resilience_next_4obs_positive,3707
stress_resilience_next_4obs_missing,25801
recovery_next_4obs_known,11375
recovery_next_4obs_positive,5578
recovery_next_4obs_missing,20327
quality_success_cashflow_next_4obs_known,16767
quality_success_cashflow_next_4obs_positive,9852
quality_success_cashflow_next_4obs_missing,14935
