path,include_in_github_release,destination,reason
README.md,True,README.md,Required to run dashboard/reproduce artifact.
requirements.txt,True,requirements.txt,Required to run dashboard/reproduce artifact.
app/dashboard.py,True,app/dashboard.py,Required to run dashboard/reproduce artifact.
data/github/README.md,True,data/github/README.md,GitHub-ready panel/schema package.
data/github/firm_panel_v2.parquet,True,data/github/firm_panel_v2.parquet,GitHub-ready panel/schema package.
data/github/firm_panel_v2.csv.gz,True,data/github/firm_panel_v2.csv.gz,GitHub-ready panel/schema package.
data/github/firm_panel_v2_schema.csv,True,data/github/firm_panel_v2_schema.csv,GitHub-ready panel/schema package.
config/sec_fsd_concept_map.csv,True,config/sec_fsd_concept_map.csv,Rebuild configuration and source-of-truth input definitions.
config/fred_series_catalog.csv,True,config/fred_series_catalog.csv,Rebuild configuration and source-of-truth input definitions.
config/global_event_calendar_seed.csv,True,config/global_event_calendar_seed.csv,Rebuild configuration and source-of-truth input definitions.
config/distress_event_dates.csv,True,config/distress_event_dates.csv,Rebuild configuration and source-of-truth input definitions.
config/model_feature_blacklist.csv,True,config/model_feature_blacklist.csv,Rebuild configuration and source-of-truth input definitions.
config/universe_v2_draft.csv,True,config/universe_v2_draft.csv,Rebuild configuration and source-of-truth input definitions.
docs/CURRENT_STATUS.md,True,docs/CURRENT_STATUS.md,Thesis evidence/documentation artifact.
docs/PROJECT_CHRONICLE.md,True,docs/PROJECT_CHRONICLE.md,Thesis evidence/documentation artifact.
docs/FINAL_SOURCE_OF_TRUTH_INDEX.md,True,docs/FINAL_SOURCE_OF_TRUTH_INDEX.md,Thesis evidence/documentation artifact.
docs/MASTER_DATA_MODEL_TARGET_EXPLAINER.md,True,docs/MASTER_DATA_MODEL_TARGET_EXPLAINER.md,Thesis evidence/documentation artifact.
docs/THESIS_CLAIMS_SAFE_UNSAFE_FINAL.md,True,docs/THESIS_CLAIMS_SAFE_UNSAFE_FINAL.md,Thesis evidence/documentation artifact.
docs/SCIENTIFIC_VALIDITY_AND_LIMITATIONS_NOTE.md,True,docs/SCIENTIFIC_VALIDITY_AND_LIMITATIONS_NOTE.md,Thesis evidence/documentation artifact.
docs/SEC_CONCEPT_MAPPING_AUDIT.md,True,docs/SEC_CONCEPT_MAPPING_AUDIT.md,Thesis evidence/documentation artifact.
