experiment,target,model,runs,positives,positive_share,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,recall_mean,f1_mean
test_broader_targets1,success_composite_loose_next_4obs,random_forest,3,1819.0,0.4181609195402299,0.9731495119307466,0.0001107065393952933,0.9537348114648467,0.0004367475726441421,0.8880283165540659,0.9409932197177936,0.9137082314781457
test_broader_targets1,success_composite_loose_next_4obs,gradient_boosting,3,1819.0,0.4181609195402299,0.970078050679907,4.3193935565367864e-05,0.947647025460968,0.00016827109403504795,0.8916495470642327,0.9274326553051125,0.9091890299457982
test_broader_targets2,success_composite_balanced_next_4obs,random_forest,3,1385.0,0.31839080459770114,0.9664645087188478,0.00038104458125719324,0.9200080606347226,0.0009905252226592963,0.8067500616665361,0.917208182912154,0.8584302341895755
test_broader_targets1,failure_pressure_loose_next_4obs,random_forest,3,1398.0,0.3168631006346328,0.9505918810295241,0.00031562493600087877,0.9189310159571534,0.00031729652732772045,0.8140798994561456,0.8650453028135431,0.8385879678453662
test_broader_targets2,success_composite_balanced_next_4obs,gradient_boosting,3,1385.0,0.31839080459770114,0.9638200181418596,0.00011602334780698433,0.9169232804935987,0.00036588234708630034,0.7892586052557359,0.9237063778580024,0.8511865884799955
test_broader_targets1,failure_pressure_loose_next_4obs,gradient_boosting,3,1398.0,0.3168631006346328,0.9488373126965275,3.324489036765794e-05,0.9133404793847767,8.860997677323583e-05,0.7897744683458968,0.8831664282308059,0.833859927720428
test_broader_targets1,success_composite_loose_next_4obs,logistic_l2,1,1819.0,0.4181609195402299,0.9279758916863549,,0.8532105759875331,,0.8724279835390947,0.582737768004398,0.6987475280158206
test_broader_targets1,failure_pressure_loose_next_4obs,logistic_l2,1,1398.0,0.3168631006346328,0.902137901049276,,0.8471369054085869,,0.37198464912280704,0.9706723891273248,0.5378517637732858
test_broader_targets4,success_composite_strict_next_4obs,gradient_boosting,3,788.0,0.1811494252873563,0.9617248503901399,0.00011563836611084473,0.8126089156364,0.0015446522128117967,0.7203295799085597,0.8498307952622673,0.7797395898095095
test_broader_targets4,success_composite_strict_next_4obs,random_forest,3,788.0,0.1811494252873563,0.9594747052692884,0.0007873816977870097,0.8002352892259613,0.004798465896256836,0.7096442509206079,0.8671742808798646,0.7801204297867411
test_broader_targets3,success_composite_sector_relative_next_4obs,gradient_boosting,3,740.0,0.17011494252873563,0.9469441740909885,4.3674442106859527e-05,0.7753791463804758,0.0001299019138786738,0.6763392857142857,0.8189189189189189,0.7408312958435207
test_broader_targets3,success_composite_sector_relative_next_4obs,random_forest,3,740.0,0.17011494252873563,0.9461681764867361,0.00020596836633320176,0.7529226825915115,0.001957737813298526,0.6733032628079524,0.7594594594594595,0.7136283001267567
test_broader_targets4,failure_pressure_conservative_next_4obs,random_forest,3,514.0,0.11650045330915686,0.9365333514343382,0.0014567474191163764,0.7412016754169525,0.002936413966132708,0.632800572160456,0.7963683527885862,0.7046549676574684
test_broader_targets4,failure_pressure_conservative_next_4obs,gradient_boosting,3,514.0,0.11650045330915686,0.9385093223502824,0.00028976381089232525,0.7231724517426606,0.0024835339331386983,0.6394269432564702,0.748378728923476,0.6895908316541268
test_broader_targets3,failure_pressure_sector_relative_next_4obs,random_forest,3,1134.0,0.257026291931097,0.8529716754921824,0.001215019201397826,0.7213160608238542,0.0016347774829854472,0.6090635508629416,0.6925338036449148,0.6479982254064222
test_broader_targets3,failure_pressure_sector_relative_next_4obs,gradient_boosting,3,1134.0,0.257026291931097,0.8546867417113502,0.0002798421310802262,0.7202192780607147,0.001095835524107843,0.599848828420257,0.7001763668430335,0.6461412008382322
test_broader_targets2,success_composite_balanced_next_4obs,logistic_l2,1,1385.0,0.31839080459770114,0.8703891976793029,,0.6805645408885547,,0.7456445993031359,0.15451263537906137,0.25598086124401914
test_broader_targets4,success_composite_strict_next_4obs,logistic_l2,1,788.0,0.1811494252873563,0.9241254271683336,,0.6542996266623576,,0.6651718983557549,0.5647208121827412,0.6108442004118052
test_broader_targets2,failure_pressure_balanced_next_4obs,random_forest,3,990.0,0.22438803263825932,0.8314916159451519,0.0024253435317197806,0.6401748292919298,0.0028012572250437607,0.5365411254420135,0.6801346801346803,0.5978320689708905
test_broader_targets2,failure_pressure_balanced_next_4obs,gradient_boosting,3,990.0,0.22438803263825932,0.8348298885996138,3.661998982419196e-05,0.6326867659841273,9.994112443667087e-05,0.4861533591470287,0.7326599326599327,0.5844761123324654
test_broader_targets3,failure_pressure_sector_relative_next_4obs,logistic_l2,1,1134.0,0.257026291931097,0.7903265638164967,,0.6242988172538668,,0.26371556392747825,0.9876543209876543,0.4162795019513102
test_broader_targets4,failure_pressure_conservative_next_4obs,logistic_l2,1,514.0,0.11650045330915684,0.8942219196515024,,0.5761615852200102,,0.11867928884784114,1.0,0.21217750257997933
test_broader_targets3,success_composite_sector_relative_next_4obs,logistic_l2,1,740.0,0.17011494252873563,0.87269821067605,,0.5492164718182961,,0.618421052631579,0.3810810810810811,0.47157190635451507
test_broader_targets2,failure_pressure_balanced_next_4obs,logistic_l2,1,990.0,0.2243880326382593,0.5953807508161687,,0.3677344983086259,,0.2311174648558494,0.9797979797979798,0.3740119529593213
