target,model,split,rows,positives,positive_share,threshold_from_validation,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,skip_reason
industry_relative_resilience_next_4obs,logistic_l2,train,11092,4506,0.40623873061666066,0.1956303691460383,0.8976538216278488,0.8564883395882756,0.5758055995773904,0.9675987572126055,0.721973836727935,3374,3212,146,4360,
industry_relative_resilience_next_4obs,logistic_l2,validation,4210,1667,0.3959619952494062,0.1956303691460383,0.8247696901830802,0.7286500404728206,0.6341814690350456,0.7924415116976604,0.7045333333333333,1781,762,346,1321,
industry_relative_resilience_next_4obs,logistic_l2,test,4098,1678,0.40946803318692043,0.1956303691460383,0.8515578364641103,0.7585728461948857,0.7850133809099019,0.5244338498212158,0.6287959985709182,2179,241,798,880,
industry_relative_resilience_next_4obs,random_forest,train,11092,4506,0.40623873061666066,0.4153731420705044,0.9960864678320056,0.9943961930619095,0.9170611236880016,0.9889036839769196,0.9516284036305394,6183,403,50,4456,
industry_relative_resilience_next_4obs,random_forest,validation,4210,1667,0.3959619952494062,0.4153731420705044,0.9114899788426114,0.8724107943688318,0.7391752577319588,0.8602279544091181,0.7951205988355975,2037,506,233,1434,
industry_relative_resilience_next_4obs,random_forest,test,4098,1678,0.40946803318692043,0.4153731420705044,0.8974627902166099,0.8542617746379211,0.7144893111638955,0.8963051251489869,0.7951361353423209,1819,601,174,1504,
industry_relative_resilience_next_4obs,gradient_boosting,train,11092,4506,0.40623873061666066,0.4359316303667939,0.9421200588370953,0.9199930278357917,0.7729000380083618,0.9025743453173546,0.8327190827190827,5391,1195,439,4067,
industry_relative_resilience_next_4obs,gradient_boosting,validation,4210,1667,0.3959619952494062,0.4359316303667939,0.9039195306829314,0.8559622775922543,0.7372569626904887,0.8416316736652669,0.7859943977591036,2043,500,264,1403,
industry_relative_resilience_next_4obs,gradient_boosting,test,4098,1678,0.40946803318692043,0.4359316303667939,0.8990862547897438,0.8526842979072077,0.7129763627592861,0.8808104886769964,0.7880565182617969,1825,595,200,1478,
stress_resilience_next_4obs,logistic_l2,train,1625,1046,0.6436923076923077,0.0004935663000744282,0.9575618277705678,0.9723963507528963,0.6765847347994826,1.0,0.8070987654320987,79,500,0,1046,
stress_resilience_next_4obs,logistic_l2,validation,950,542,0.5705263157894737,0.0004935663000744282,0.8032070761884089,0.7717087711532364,0.7485029940119761,0.922509225092251,0.8264462809917356,240,168,42,500,
stress_resilience_next_4obs,logistic_l2,test,3028,1920,0.6340819022457067,0.0004935663000744282,0.7504460928098676,0.850446539028709,0.6598827181786823,0.9963541666666667,0.7939406515874664,122,986,7,1913,
stress_resilience_next_4obs,random_forest,train,1625,1046,0.6436923076923077,0.4661111811512604,0.9962403035496685,0.9979787313800088,0.9642521166509878,0.9799235181644359,0.9720246562351825,541,38,21,1025,
stress_resilience_next_4obs,random_forest,validation,950,542,0.5705263157894737,0.4661111811512604,0.939634433109037,0.944684297410355,0.8862815884476535,0.9059040590405905,0.8959854014598542,345,63,51,491,
stress_resilience_next_4obs,random_forest,test,3028,1920,0.6340819022457067,0.4661111811512604,0.9673947991877255,0.9762032792978476,0.9238095238095239,0.9598958333333333,0.941507024265645,956,152,77,1843,
stress_resilience_next_4obs,gradient_boosting,train,1625,1046,0.6436923076923077,0.42162299159615313,0.9937057694911449,0.996237642812233,0.9651600753295668,0.9799235181644359,0.9724857685009488,542,37,21,1025,
stress_resilience_next_4obs,gradient_boosting,validation,950,542,0.5705263157894737,0.42162299159615313,0.9357635120468852,0.940008184553357,0.8761061946902655,0.9132841328413284,0.8943089430894309,338,70,47,495,
stress_resilience_next_4obs,gradient_boosting,test,3028,1920,0.6340819022457067,0.42162299159615313,0.9620644836793021,0.973286276759469,0.9156265601597604,0.9552083333333333,0.9349987254652052,939,169,86,1834,
recovery_next_4obs,logistic_l2,train,6030,2994,0.49651741293532337,0.5511793447967762,0.955959459542713,0.9567256008809897,0.9103806228373702,0.8787575150300602,0.8942895989123046,2777,259,363,2631,
recovery_next_4obs,logistic_l2,validation,2557,1181,0.4618693781775518,0.5511793447967762,0.8893118144851622,0.8426415692703975,0.7688787185354691,0.8535139712108383,0.8089887640449438,1073,303,173,1008,
recovery_next_4obs,logistic_l2,test,2419,1199,0.49565936337329475,0.5511793447967762,0.8905768468259068,0.8654379841185962,0.9425287356321839,0.13678065054211844,0.23889293517844135,1210,10,1035,164,
recovery_next_4obs,random_forest,train,6030,2994,0.49651741293532337,0.5161140174509198,0.9972390983108069,0.9972485533268309,0.9723160027008778,0.9619238476953907,0.9670920080591001,2954,82,114,2880,
recovery_next_4obs,random_forest,validation,2557,1181,0.4618693781775518,0.5161140174509198,0.9494355886812517,0.9396440552407487,0.8647302904564316,0.882303132938188,0.8734283319362951,1213,163,139,1042,
recovery_next_4obs,random_forest,test,2419,1199,0.49565936337329475,0.5161140174509198,0.9760408263717033,0.9777444486602025,0.9130434782608695,0.9107589658048374,0.9118997912317327,1116,104,107,1092,
recovery_next_4obs,gradient_boosting,train,6030,2994,0.49651741293532337,0.3977800200741286,0.9854716019654592,0.9856531876379776,0.925016160310278,0.9559118236472945,0.9402102496714848,2804,232,132,2862,
recovery_next_4obs,gradient_boosting,validation,2557,1181,0.4618693781775518,0.3977800200741286,0.9481891700962922,0.9423726515698293,0.8318999218139171,0.9009314140558848,0.865040650406504,1161,215,117,1064,
recovery_next_4obs,gradient_boosting,test,2419,1199,0.49565936337329475,0.3977800200741286,0.9729197145161952,0.9746888070626691,0.8854660347551343,0.9349457881567973,0.9095334685598377,1075,145,78,1121,
deterioration_next_4obs,logistic_l2,train,12607,1179,0.09351947330847941,0.601599479340013,0.829023575860727,0.3537165491910494,0.29979035639413,0.6064461407972859,0.40123456790123463,9758,1670,464,715,
deterioration_next_4obs,logistic_l2,validation,4066,517,0.12715199212985737,0.601599479340013,0.7022829870620378,0.297565630174742,0.31802721088435376,0.3617021276595745,0.3384615384615385,3148,401,330,187,
deterioration_next_4obs,logistic_l2,test,4075,279,0.06846625766871166,0.601599479340013,0.6416016104482742,0.18445006996521668,0.7,0.025089605734767026,0.048442906574394456,3793,3,272,7,
deterioration_next_4obs,random_forest,train,12607,1179,0.09351947330847941,0.3025585465826288,0.9996857561283492,0.9962512510196613,0.6717948717948717,1.0,0.803680981595092,10852,576,0,1179,
deterioration_next_4obs,random_forest,validation,4066,517,0.12715199212985737,0.3025585465826288,0.7847438976735213,0.47809672423718336,0.45699831365935917,0.5241779497098646,0.48828828828828824,3227,322,246,271,
deterioration_next_4obs,random_forest,test,4075,279,0.06846625766871166,0.3025585465826288,0.80363125115666,0.35432461051649056,0.3448275862068966,0.5017921146953405,0.40875912408759124,3530,266,139,140,
deterioration_next_4obs,gradient_boosting,train,12607,1179,0.09351947330847941,0.6617909220663732,0.9020847193759179,0.5424937730108356,0.4782608695652174,0.5597964376590331,0.5158264947245017,10708,720,519,660,
deterioration_next_4obs,gradient_boosting,validation,4066,517,0.12715199212985737,0.6617909220663732,0.7699343754990237,0.437303587727078,0.4793926247288503,0.4274661508704062,0.45194274028629855,3309,240,296,221,
deterioration_next_4obs,gradient_boosting,test,4075,279,0.06846625766871166,0.6617909220663732,0.7985306170237677,0.3232303534640271,0.3155216284987277,0.4444444444444444,0.369047619047619,3527,269,155,124,
quality_success_cashflow_next_4obs,logistic_l2,train,8105,4787,0.5906230721776681,0.02930009542832092,0.9202425999791226,0.930577890155987,0.6749291784702549,0.995404219761855,0.8044230606904702,1023,2295,22,4765,
quality_success_cashflow_next_4obs,logistic_l2,validation,4046,2214,0.5472071181413742,0.02930009542832092,0.8133892892786279,0.7842670080737015,0.711864406779661,0.9105691056910569,0.7990487514863257,1016,816,198,2016,
quality_success_cashflow_next_4obs,logistic_l2,test,3998,2458,0.6148074037018509,0.02930009542832092,0.8782198070440544,0.8729205006372859,0.857952246054229,0.8624898291293734,0.8602150537634408,1189,351,338,2120,
quality_success_cashflow_next_4obs,random_forest,train,8105,4787,0.5906230721776681,0.47625093378098204,0.9963217892340279,0.9975780913537194,0.9601471489883507,0.9814079799456862,0.9706611570247934,3123,195,89,4698,
quality_success_cashflow_next_4obs,random_forest,validation,4046,2214,0.5472071181413742,0.47625093378098204,0.9321240774270916,0.9288613935807248,0.8608879492600423,0.919602529358627,0.8892771347455777,1503,329,178,2036,
