target,prediction_year,Sector,rows,known_rows,positives,positive_share_known
industry_relative_resilience_next_4obs,2009,Basic Materials,11,7,3,0.42857142857142855
industry_relative_resilience_next_4obs,2009,Communication Services,16,8,1,0.125
industry_relative_resilience_next_4obs,2009,Consumer Cyclical,38,15,3,0.2
industry_relative_resilience_next_4obs,2009,Consumer Defensive,21,11,2,0.18181818181818182
industry_relative_resilience_next_4obs,2009,Energy,48,22,6,0.2727272727272727
industry_relative_resilience_next_4obs,2009,Financial Services,90,85,37,0.43529411764705883
industry_relative_resilience_next_4obs,2009,Healthcare,47,14,8,0.5714285714285714
industry_relative_resilience_next_4obs,2009,Industrials,107,59,26,0.4406779661016949
industry_relative_resilience_next_4obs,2009,Real Estate,20,20,8,0.4
industry_relative_resilience_next_4obs,2009,Technology,71,45,16,0.35555555555555557
industry_relative_resilience_next_4obs,2009,Utilities,40,13,2,0.15384615384615385
industry_relative_resilience_next_4obs,2010,Agriculture,2,2,0,0.0
industry_relative_resilience_next_4obs,2010,Basic Materials,20,12,4,0.3333333333333333
industry_relative_resilience_next_4obs,2010,Communication Services,52,23,8,0.34782608695652173
industry_relative_resilience_next_4obs,2010,Consumer Cyclical,117,54,18,0.3333333333333333
industry_relative_resilience_next_4obs,2010,Consumer Defensive,55,31,5,0.16129032258064516
industry_relative_resilience_next_4obs,2010,Consumer Discretionary,2,2,0,0.0
industry_relative_resilience_next_4obs,2010,Energy,112,51,21,0.4117647058823529
industry_relative_resilience_next_4obs,2010,Financial Services,217,207,98,0.47342995169082125
industry_relative_resilience_next_4obs,2010,Healthcare,110,36,21,0.5833333333333334
industry_relative_resilience_next_4obs,2010,Industrials,265,149,69,0.46308724832214765
industry_relative_resilience_next_4obs,2010,Real Estate,66,61,18,0.29508196721311475
industry_relative_resilience_next_4obs,2010,Technology,179,119,51,0.42857142857142855
industry_relative_resilience_next_4obs,2010,Utilities,100,37,17,0.4594594594594595
industry_relative_resilience_next_4obs,2011,Agriculture,6,4,0,0.0
industry_relative_resilience_next_4obs,2011,Basic Materials,20,13,6,0.46153846153846156
industry_relative_resilience_next_4obs,2011,Communication Services,96,41,8,0.1951219512195122
industry_relative_resilience_next_4obs,2011,Consumer Cyclical,169,90,34,0.37777777777777777
industry_relative_resilience_next_4obs,2011,Consumer Defensive,58,33,9,0.2727272727272727
industry_relative_resilience_next_4obs,2011,Consumer Discretionary,4,4,0,0.0
industry_relative_resilience_next_4obs,2011,Energy,144,78,40,0.5128205128205128
industry_relative_resilience_next_4obs,2011,Financial Services,259,246,114,0.4634146341463415
industry_relative_resilience_next_4obs,2011,Healthcare,153,62,25,0.4032258064516129
industry_relative_resilience_next_4obs,2011,Industrials,351,203,86,0.4236453201970443
industry_relative_resilience_next_4obs,2011,Real Estate,101,91,37,0.4065934065934066
industry_relative_resilience_next_4obs,2011,Technology,232,162,59,0.36419753086419754
industry_relative_resilience_next_4obs,2011,Utilities,134,53,21,0.39622641509433965
