target,split,rows,known_rows,unknown_rows,positives,positive_share_known,firms_with_positive
industry_relative_resilience_next_4obs,all_model_years,29432,19400,10032,7851,0.40469072164948455,287
industry_relative_resilience_next_4obs,train,17270,11092,6178,4506,0.40623873061666066,241
industry_relative_resilience_next_4obs,validation,6165,4210,1955,1667,0.3959619952494062,215
industry_relative_resilience_next_4obs,test,5997,4098,1899,1678,0.40946803318692043,203
stress_resilience_next_4obs,all_model_years,29432,5603,23829,3508,0.626093164376227,313
stress_resilience_next_4obs,train,17270,1625,15645,1046,0.6436923076923077,250
stress_resilience_next_4obs,validation,6165,950,5215,542,0.5705263157894737,223
stress_resilience_next_4obs,test,5997,3028,2969,1920,0.6340819022457067,255
recovery_next_4obs,all_model_years,29432,11006,18426,5374,0.4882791204797383,311
recovery_next_4obs,train,17270,6030,11240,2994,0.49651741293532337,259
recovery_next_4obs,validation,6165,2557,3608,1181,0.4618693781775518,209
recovery_next_4obs,test,5997,2419,3578,1199,0.49565936337329475,200
deterioration_next_4obs,all_model_years,29432,20748,8684,1975,0.09518989782147677,343
deterioration_next_4obs,train,17270,12607,4663,1179,0.09351947330847941,264
deterioration_next_4obs,validation,6165,4066,2099,517,0.12715199212985737,188
deterioration_next_4obs,test,5997,4075,1922,279,0.06846625766871166,121
quality_success_cashflow_next_4obs,all_model_years,29432,16149,13283,9459,0.5857328627159576,318
quality_success_cashflow_next_4obs,train,17270,8105,9165,4787,0.5906230721776681,269
quality_success_cashflow_next_4obs,validation,6165,4046,2119,2214,0.5472071181413742,245
quality_success_cashflow_next_4obs,test,5997,3998,1999,2458,0.6148074037018509,256
sector_relative_improvement_next_4obs,all_model_years,29432,12066,17366,3939,0.32645450024863254,465
sector_relative_improvement_next_4obs,train,17270,7210,10060,2364,0.327877947295423,411
sector_relative_improvement_next_4obs,validation,6165,2538,3627,866,0.3412135539795114,311
sector_relative_improvement_next_4obs,test,5997,2318,3679,709,0.3058671268334771,254
persistent_resilience_next_6obs,all_model_years,29432,19301,10131,11418,0.591575566032848,317
persistent_resilience_next_6obs,train,17270,11083,6187,6741,0.608228818911847,277
persistent_resilience_next_6obs,validation,6165,4191,1974,2216,0.528752087807206,234
persistent_resilience_next_6obs,test,5997,4027,1970,2461,0.6111249068785697,248
