audit_section,check,severity,violations,status,value,note
metric,production_panel_new_target_columns,info,,INFO,,Should be empty.
metric,production_panel_column_count,info,,INFO,190,Production panel should remain 190 columns after secondary-target promotion.
metric,model_feature_count,info,,INFO,130,Exploratory model feature count.
metric,forbidden_model_feature_hits,info,,INFO,,Should be empty.
invariant,improvement_any_known_outside_expected_known,blocking,0.0,PASS,,
invariant,improvement_expected_known_but_null,blocking,0.0,PASS,,
invariant,improvement_positive_not_expected_positive,blocking,0.0,PASS,,
invariant,improvement_positive_with_strict_4q_distress,blocking,0.0,PASS,,
invariant,improvement_known_on_post_event_row,blocking,0.0,PASS,,
invariant,improvement_positive_not_currently_below_peer_median,blocking,0.0,PASS,,
invariant,improvement_positive_less_than_two_future_above_peer,blocking,0.0,PASS,,
invariant,improvement_known_nonformal_less_than_three_relative_valid,blocking,0.0,PASS,,
invariant,persistent_any_known_outside_expected_known,blocking,0.0,PASS,,
invariant,persistent_expected_known_but_null,blocking,0.0,PASS,,
invariant,persistent_positive_not_expected_positive,blocking,0.0,PASS,,
invariant,persistent_positive_with_strict_6q_distress,blocking,0.0,PASS,,
invariant,persistent_known_on_post_event_row,blocking,0.0,PASS,,
invariant,persistent_positive_less_than_five_healthy_future_obs,blocking,0.0,PASS,,
invariant,persistent_known_nonformal_less_than_five_health_valid,blocking,0.0,PASS,,
metric,sector_relative_improvement_next_4obs_known_rows_model_years,info,,INFO,12066,
metric,sector_relative_improvement_next_4obs_positive_rows_model_years,info,,INFO,3939,
metric,sector_relative_improvement_next_4obs_positive_share_known_model_years,info,,INFO,0.32645450024863254,
metric,persistent_resilience_next_6obs_known_rows_model_years,info,,INFO,19301,
metric,persistent_resilience_next_6obs_positive_rows_model_years,info,,INFO,11418,
metric,persistent_resilience_next_6obs_positive_share_known_model_years,info,,INFO,0.591575566032848,
metric,improvement_known_rows_sector_year_group_lt_10,info,,INFO,68,Tiny peer groups support robustness-only classification.
metric,improvement_known_rows_sector_year_group_lt_20,info,,INFO,86,Tiny peer groups support robustness-only classification.
metric,overlap_rows__persistent_resilience_next_6obs__vs__success_resilience_next_4q,info,,INFO,19164,
metric,agreement__persistent_resilience_next_6obs__vs__success_resilience_next_4q,info,,INFO,0.9494364433312461,
metric,correlation__persistent_resilience_next_6obs__vs__success_resilience_next_4q,info,,INFO,0.8956853282606303,
metric,overlap_rows__persistent_resilience_next_6obs__vs__quality_success_cashflow_next_4obs,info,,INFO,16033,
metric,agreement__persistent_resilience_next_6obs__vs__quality_success_cashflow_next_4obs,info,,INFO,0.9238445705731928,
metric,correlation__persistent_resilience_next_6obs__vs__quality_success_cashflow_next_4obs,info,,INFO,0.8426323295330171,
metric,overlap_rows__sector_relative_improvement_next_4obs__vs__industry_relative_resilience_next_4obs,info,,INFO,8249,
metric,agreement__sector_relative_improvement_next_4obs__vs__industry_relative_resilience_next_4obs,info,,INFO,0.821917808219178,
metric,correlation__sector_relative_improvement_next_4obs__vs__industry_relative_resilience_next_4obs,info,,INFO,0.5731219525660841,
metric,overlap_rows__sector_relative_improvement_next_4obs__vs__recovery_next_4obs,info,,INFO,6036,
metric,agreement__sector_relative_improvement_next_4obs__vs__recovery_next_4obs,info,,INFO,0.7405566600397614,
metric,correlation__sector_relative_improvement_next_4obs__vs__recovery_next_4obs,info,,INFO,0.4349060298036144,
