target,split,rows,known_rows,unknown_rows,positives,positive_share_known,firms_with_known,firms_with_positive
industry_relative_resilience_next_4obs,all_rows,31702,20039,11663,8093,0.4038624681870353,403,288
industry_relative_resilience_next_4obs,all_model_years,29432,19400,10032,7851,0.40469072164948455,403,287
industry_relative_resilience_next_4obs,train,17270,11092,6178,4506,0.40623873061666066,352,241
industry_relative_resilience_next_4obs,validation,6165,4210,1955,1667,0.3959619952494062,372,215
industry_relative_resilience_next_4obs,test,5997,4098,1899,1678,0.40946803318692043,372,203
industry_relative_resilience_next_4obs,post_event_known_rows,409,0,,,,,
stress_resilience_next_4obs,all_rows,31702,5901,25801,3707,0.6281986104050161,401,317
stress_resilience_next_4obs,all_model_years,29432,5603,23829,3508,0.626093164376227,399,313
stress_resilience_next_4obs,train,17270,1625,15645,1046,0.6436923076923077,334,250
stress_resilience_next_4obs,validation,6165,950,5215,542,0.5705263157894737,356,223
stress_resilience_next_4obs,test,5997,3028,2969,1920,0.6340819022457067,368,255
stress_resilience_next_4obs,post_event_known_rows,409,0,,,,,
recovery_next_4obs,all_rows,31702,11375,20327,5578,0.49037362637362636,388,315
recovery_next_4obs,all_model_years,29432,11006,18426,5374,0.4882791204797383,383,311
recovery_next_4obs,train,17270,6030,11240,2994,0.49651741293532337,320,259
recovery_next_4obs,validation,6165,2557,3608,1181,0.4618693781775518,306,209
recovery_next_4obs,test,5997,2419,3578,1199,0.49565936337329475,301,200
recovery_next_4obs,post_event_known_rows,409,0,,,,,
quality_success_cashflow_next_4obs,all_rows,31702,16767,14935,9852,0.5875827518339596,403,318
quality_success_cashflow_next_4obs,all_model_years,29432,16149,13283,9459,0.5857328627159576,403,318
quality_success_cashflow_next_4obs,train,17270,8105,9165,4787,0.5906230721776681,345,269
quality_success_cashflow_next_4obs,validation,6165,4046,2119,2214,0.5472071181413742,365,245
quality_success_cashflow_next_4obs,test,5997,3998,1999,2458,0.6148074037018509,371,256
quality_success_cashflow_next_4obs,post_event_known_rows,409,0,,,,,
