experiment,model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_target_tweaks1,logistic_l2,all_features,42,train,17197,1529,0.08891085654474618,0.6045014332620098,0.9538675973139841,0.7328562833844084,0.5276647681041498,0.8482668410725964,0.6506144971156258,14507,1161,232,1297,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,logistic_l2,all_features,42,validation,6043,787,0.13023332781730929,0.6045014332620098,0.7735268122206557,0.38218503373983687,0.2825775656324582,0.7522236340533672,0.4108258154059681,3753,1503,195,592,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,logistic_l2,all_features,42,test,4412,514,0.11650045330915684,0.6045014332620098,0.8942219196515024,0.5761615852200102,0.11867928884784114,1.0,0.21217750257997933,81,3817,0,514,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,random_forest,all_features,42,train,17197,1529,0.08891085654474618,0.34425989061229245,0.9975855275581794,0.9738549441542743,0.7078703703703704,1.0,0.8289509352127948,15037,631,0,1529,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,random_forest,all_features,42,validation,6043,787,0.13023332781730929,0.34425989061229245,0.9332128925325736,0.7259917053568805,0.6255230125523012,0.7598475222363406,0.6861732644865175,4898,358,189,598,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,random_forest,all_features,42,test,4412,514,0.11650045330915684,0.34425989061229245,0.9352002323849604,0.7378227485283213,0.6380655226209049,0.7957198443579766,0.7082251082251083,3666,232,105,409,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,random_forest,all_features,202,train,17197,1529,0.08891085654474618,0.3535384497163298,0.9973600760582612,0.9710835783659338,0.7178403755868544,1.0,0.8357474719868817,15067,601,0,1529,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,random_forest,all_features,202,validation,6043,787,0.13023332781730929,0.3535384497163298,0.9301936529486964,0.7244036569429859,0.6340150699677072,0.7484116899618806,0.6864801864801864,4916,340,198,589,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,random_forest,all_features,202,test,4412,514,0.11650045330915684,0.3535384497163298,0.9360786635069765,0.7400377828078605,0.632398753894081,0.7898832684824902,0.7024221453287196,3662,236,108,406,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,42,train,17197,1529,0.08891085654474618,0.7102712240670679,0.9762940315002623,0.8205238166687092,0.6249405045216564,0.8587311968606932,0.7234159779614324,14880,788,216,1313,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,42,validation,6043,787,0.13023332781730929,0.7102712240670679,0.9340711118073566,0.7162564933740628,0.6189979123173278,0.7534942820838628,0.6796561604584529,4891,365,194,593,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,42,test,4412,514,0.11650045330915684,0.7102712240670679,0.9360791626155686,0.7297439484324665,0.6194144838212635,0.7821011673151751,0.6913155631986242,3651,247,112,402,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,202,train,17197,1529,0.08891085654474618,0.7393067009003633,0.9762940315002623,0.8205238166687092,0.645906579608237,0.8410725964682799,0.7306818181818181,14963,705,243,1286,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,202,validation,6043,787,0.13023332781730929,0.7393067009003633,0.9340246954409459,0.7154076614371081,0.6352549889135255,0.7280813214739518,0.6785079928952041,4927,329,214,573,failure_pressure_conservative_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,202,test,4412,514,0.11650045330915684,0.7393067009003633,0.9360991269592507,0.7230684332690579,0.6207455429497569,0.745136186770428,0.6772767462422634,3664,234,131,383,failure_pressure_conservative_v2_next_4obs
