target,feature_set,model,runs,positives,positive_share,roc_auc_mean,pr_auc_mean,precision_mean,recall_mean,f1_mean
success_resilience_quality_v2_next_4obs,all_features,random_forest,2,1449.0,0.3331034482758621,0.9694415361876358,0.9288626371810118,0.8429115803270981,0.9106280193236715,0.8754380188353876
success_score3_next_4obs,all_features,random_forest,2,2254.0,0.5181609195402299,0.9205274169076858,0.9136726950697044,0.8073167595666013,0.9154835847382431,0.8580005626734015
failure_pressure_balance_liquidity_next_4obs,all_features,random_forest,2,1052.0,0.2384406165004533,0.9557428876969039,0.9059763659622063,0.8392436438598213,0.7889733840304183,0.8132973809702145
success_stable_balance_next_4obs,all_features,gradient_boosting,2,1188.0,0.2731034482758621,0.9609164861773969,0.8828981559778173,0.7661064425770309,0.9208754208754208,0.8363914373088686
success_sector_quality_next_4obs,all_features,gradient_boosting,2,740.0,0.17011494252873563,0.9471069476678895,0.7766333336539388,0.6766334440753046,0.8256756756756757,0.7437614120511261
failure_pressure_conservative_v2_next_4obs,all_features,random_forest,2,514.0,0.11650045330915684,0.9356394479459684,0.738930265668091,0.6352321382574929,0.7928015564202334,0.705323626776914
failure_pressure_sector_strict_next_4obs,all_features,gradient_boosting,2,878.0,0.19900271985494106,0.8756921051987012,0.7137312652127559,0.6070921095834576,0.7118451025056948,0.6553083999852689
failure_pressure_score3_next_4obs,all_features,gradient_boosting,2,719.0,0.1629646418857661,0.8921976584652316,0.687600794158562,0.6268906725730787,0.6821974965229485,0.653351738723889
failure_pressure_profit_roa_next_4obs,all_features,random_forest,2,591.0,0.13395285584768812,0.9107503683225349,0.6822524348865129,0.5968625261111455,0.7021996615905246,0.6451906854427412
success_quality_growth_next_4obs,all_features,random_forest,2,352.0,0.08091954022988505,0.9521653582473054,0.583556754347931,0.5708158017765311,0.75,0.6482490307565225
