target,model,feature_set,seed,feature,feature_clean,feature_group,importance,signed_value
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__leverage_assets_lag1,leverage_assets_lag1,firm_trend,1.758475527806894,-1.758475527806894
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__roa_lag1,roa_lag1,firm_trend,1.727185067169361,-1.727185067169361
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,cat__Sector_Consumer Discretionary,Sector_Consumer Discretionary,sector,1.5603366109714638,-1.5603366109714638
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,cat__Sector_Financial Services,Sector_Financial Services,sector,1.5110252126832726,-1.5110252126832726
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,cat__Sector_Energy,Sector_Energy,sector,1.4781161019171223,1.4781161019171223
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__net_income_negative_count_prior_4obs,net_income_negative_count_prior_4obs,firm_trend,1.415220034506936,1.415220034506936
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,cat__Sector_Consumer Defensive,Sector_Consumer Defensive,sector,1.3204512599110596,-1.3204512599110596
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_current_liabilities_growth_4obs,current_liabilities_growth_4obs,firm_trend,0.8652697680236666,-0.8652697680236666
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__net_margin_lag1,net_margin_lag1,firm_trend,0.7418402034284783,-0.7418402034284783
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__current_assets,current_assets,accounting_fundamental,0.7205459826647711,-0.7205459826647711
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_total_assets_growth_4obs,total_assets_growth_4obs,firm_trend,0.6882143919312694,0.6882143919312694
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_net_margin,net_margin,financial_ratio,0.6792584856132585,-0.6792584856132585
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__total_equity,total_equity,accounting_fundamental,0.6756385199831098,-0.6756385199831098
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__operating_margin_lag1,operating_margin_lag1,firm_trend,0.6291202363334029,0.6291202363334029
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_total_revenue_growth_4obs,total_revenue_growth_4obs,firm_trend,0.6012322380455742,-0.6012322380455742
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_gross_margin,gross_margin,financial_ratio,0.5898996631902269,-0.5898996631902269
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_total_revenue,total_revenue,accounting_fundamental,0.580663542929398,0.580663542929398
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_current_assets,current_assets,accounting_fundamental,0.5607054974502585,0.5607054974502585
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__total_assets,total_assets,accounting_fundamental,0.5581725295620188,0.5581725295620188
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__roa,roa,financial_ratio,0.5526074998345112,-0.5526074998345112
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_total_liabilities,total_liabilities,accounting_fundamental,0.5375194813181091,-0.5375194813181091
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__r_and_d_intensity,r_and_d_intensity,financial_ratio,0.5150153651029387,0.5150153651029387
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_net_margin_change_4obs,net_margin_change_4obs,firm_trend,0.5091506457066595,0.5091506457066595
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_leverage_assets,leverage_assets,financial_ratio,0.48644564506995813,0.48644564506995813
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__equity_assets,equity_assets,financial_ratio,0.43922587184732426,-0.43922587184732426
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,cat__Sector_Utilities,Sector_Utilities,sector,0.4082390053653776,0.4082390053653776
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,cat__Sector_Communication Services,Sector_Communication Services,sector,0.38341704691645284,0.38341704691645284
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,num__missingindicator_gross_profit,gross_profit,accounting_fundamental,0.3660639003220276,0.3660639003220276
failure_pressure_conservative_next_4obs,logistic_l2,firm_core,42,cat__Sector_Consumer Cyclical,Sector_Consumer Cyclical,sector,0.35591114918484856,0.35591114918484856
