model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
logistic_l2,firm_core,42,train,17197,1529,0.08891085654474618,0.6530875028797315,0.9473568869276199,0.7111509654118213,0.5498435404559678,0.8044473512099412,0.6532129580456719,14661,1007,299,1230,failure_pressure_conservative_next_4obs
logistic_l2,firm_core,42,validation,6043,787,0.13023332781730929,0.6530875028797315,0.9075371475982432,0.6626063374767062,0.5743380855397149,0.7166454891994918,0.637648388920294,4838,418,223,564,failure_pressure_conservative_next_4obs
logistic_l2,firm_core,42,test,4412,514,0.11650045330915684,0.6530875028797315,0.9116113621072763,0.6381042012072632,0.5166240409207161,0.7859922178988327,0.6234567901234567,3520,378,110,404,failure_pressure_conservative_next_4obs
random_forest,firm_core,42,train,17197,1529,0.08891085654474618,0.39161537250653616,0.9967508018325981,0.9646650659738822,0.7372227579556413,1.0,0.848737163474882,15123,545,0,1529,failure_pressure_conservative_next_4obs
random_forest,firm_core,42,validation,6043,787,0.13023332781730929,0.39161537250653616,0.9336496173550793,0.7363407386209392,0.6318082788671024,0.7369758576874206,0.6803519061583578,4918,338,207,580,failure_pressure_conservative_next_4obs
random_forest,firm_core,42,test,4412,514,0.11650045330915684,0.39161537250653616,0.9332891455859833,0.7397425158496315,0.6224961479198767,0.7859922178988327,0.6947549441100602,3653,245,110,404,failure_pressure_conservative_next_4obs
gradient_boosting,firm_core,42,train,17197,1529,0.08891085654474618,0.7615323404620253,0.9748323953226307,0.8130126617423324,0.6565919749869724,0.8240680183126227,0.7308584686774942,15009,659,269,1260,failure_pressure_conservative_next_4obs
gradient_boosting,firm_core,42,validation,6043,787,0.13023332781730929,0.7615323404620253,0.9350400534561819,0.7330918295538468,0.6555683122847302,0.7255400254129606,0.6887816646562123,4956,300,216,571,failure_pressure_conservative_next_4obs
gradient_boosting,firm_core,42,test,4412,514,0.11650045330915684,0.7615323404620253,0.9376740641214789,0.7294247914797326,0.6256,0.7607003891050583,0.6865671641791046,3664,234,123,391,failure_pressure_conservative_next_4obs
logistic_l2,ratios_trends_only,42,train,17197,1529,0.08891085654474618,0.7703958541698341,0.9431823399636639,0.7121936116673042,0.6349115801483172,0.7279267495094833,0.6782449725776964,15028,640,416,1113,failure_pressure_conservative_next_4obs
logistic_l2,ratios_trends_only,42,validation,6043,787,0.13023332781730929,0.7703958541698341,0.9109591458614974,0.6605195307724764,0.6240786240786241,0.6454891994917408,0.6346033728919426,4950,306,279,508,failure_pressure_conservative_next_4obs
logistic_l2,ratios_trends_only,42,test,4412,514,0.11650045330915684,0.7703958541698341,0.9049188149964165,0.6464687912951359,0.5508345978755691,0.7062256809338522,0.618925831202046,3602,296,151,363,failure_pressure_conservative_next_4obs
random_forest,ratios_trends_only,42,train,17197,1529,0.08891085654474618,0.4946352698717699,0.9960858847909024,0.9586678503465501,0.7923930269413629,0.9810333551340745,0.8766803039158387,15275,393,29,1500,failure_pressure_conservative_next_4obs
random_forest,ratios_trends_only,42,validation,6043,787,0.13023332781730929,0.4946352698717699,0.9320761750593258,0.716921566650275,0.6580565805658056,0.6797966963151207,0.66875,4978,278,252,535,failure_pressure_conservative_next_4obs
random_forest,ratios_trends_only,42,test,4412,514,0.11650045330915684,0.4946352698717699,0.9353726744035153,0.7357474775505878,0.6388888888888888,0.7607003891050583,0.69449378330373,3677,221,123,391,failure_pressure_conservative_next_4obs
gradient_boosting,ratios_trends_only,42,train,17197,1529,0.08891085654474618,0.7975016731327851,0.9718058936470014,0.7911819305272579,0.6781285231116122,0.7867887508175277,0.7284287011807448,15097,571,326,1203,failure_pressure_conservative_next_4obs
gradient_boosting,ratios_trends_only,42,validation,6043,787,0.13023332781730929,0.7975016731327851,0.9341024186794931,0.7098281807355918,0.6348448687350835,0.6759847522236341,0.6547692307692308,4950,306,255,532,failure_pressure_conservative_next_4obs
gradient_boosting,ratios_trends_only,42,test,4412,514,0.11650045330915684,0.7975016731327851,0.9321047608970379,0.7099963960132937,0.6106750392464678,0.7568093385214008,0.6759339704604691,3650,248,125,389,failure_pressure_conservative_next_4obs
logistic_l2,raw_accounting_only,42,train,17197,1529,0.08891085654474618,0.611842111750947,0.8595394578110576,0.3803256557799112,0.3007760235483008,0.7351209941137998,0.42688947968097235,13055,2613,405,1124,failure_pressure_conservative_next_4obs
logistic_l2,raw_accounting_only,42,validation,6043,787,0.13023332781730929,0.611842111750947,0.8196250331200114,0.3800165948944223,0.3912,0.6213468869123253,0.4801178203240059,4495,761,298,489,failure_pressure_conservative_next_4obs
logistic_l2,raw_accounting_only,42,test,4412,514,0.11650045330915684,0.611842111750947,0.8106531734322501,0.30713339027046793,0.35096153846153844,0.5680933852140078,0.4338781575037147,3358,540,222,292,failure_pressure_conservative_next_4obs
random_forest,raw_accounting_only,42,train,17197,1529,0.08891085654474618,0.4465503122835627,0.9961021226419426,0.9582767407958344,0.7387300048473098,0.9967298888162197,0.8485523385300668,15129,539,5,1524,failure_pressure_conservative_next_4obs
random_forest,raw_accounting_only,42,validation,6043,787,0.13023332781730929,0.4465503122835627,0.9123391866305393,0.6848455777463841,0.6271820448877805,0.639135959339263,0.6331025802391441,4957,299,284,503,failure_pressure_conservative_next_4obs
random_forest,raw_accounting_only,42,test,4412,514,0.11650045330915684,0.4465503122835627,0.8969899759030371,0.6634490598952777,0.5877034358047016,0.632295719844358,0.6091846298031866,3670,228,189,325,failure_pressure_conservative_next_4obs
gradient_boosting,raw_accounting_only,42,train,17197,1529,0.08891085654474618,0.7487534087421566,0.9559289278025904,0.7297132883989781,0.5742762221167537,0.7913669064748201,0.6655665566556656,14771,897,319,1210,failure_pressure_conservative_next_4obs
