target,feature_set,model,runs,positives,positive_share,roc_auc_mean,pr_auc_mean,precision_mean,recall_mean,f1_mean
failure_pressure_balance_liquidity_next_4obs,all_features,random_forest,2,1052.0,0.2384406165004533,0.9557428876969039,0.9059763659622063,0.8392436438598213,0.7889733840304183,0.8132973809702145
failure_pressure_balance_liquidity_next_4obs,all_features,gradient_boosting,2,1052.0,0.2384406165004533,0.9538011497374617,0.8962294169970839,0.8189696258259294,0.8084600760456273,0.8136808697104703
failure_pressure_balance_liquidity_next_4obs,all_features,logistic_l2,1,1052.0,0.2384406165004533,0.8999799135433642,0.8071559819912972,0.2744889832758163,0.9828897338403042,0.42913467524382654
failure_pressure_conservative_v2_next_4obs,all_features,random_forest,2,514.0,0.11650045330915684,0.9356394479459684,0.738930265668091,0.6352321382574929,0.7928015564202334,0.705323626776914
failure_pressure_conservative_v2_next_4obs,all_features,gradient_boosting,2,514.0,0.11650045330915684,0.9360891447874096,0.7264061908507622,0.6200800133855102,0.7636186770428015,0.6842961547204438
failure_pressure_conservative_v2_next_4obs,all_features,logistic_l2,1,514.0,0.11650045330915684,0.8942219196515024,0.5761615852200102,0.11867928884784114,1.0,0.21217750257997933
failure_pressure_profit_roa_next_4obs,all_features,random_forest,2,591.0,0.13395285584768812,0.9107503683225349,0.6822524348865129,0.5968625261111455,0.7021996615905246,0.6451906854427412
failure_pressure_profit_roa_next_4obs,all_features,gradient_boosting,2,591.0,0.13395285584768812,0.9091962619967754,0.6533572026549517,0.5266567937800815,0.7859560067681894,0.6306878438562507
failure_pressure_profit_roa_next_4obs,all_features,logistic_l2,1,591.0,0.13395285584768812,0.8255384461416583,0.471470743527477,0.13441350981287084,0.9966159052453468,0.2368791473959381
failure_pressure_score3_next_4obs,all_features,gradient_boosting,2,719.0,0.1629646418857661,0.8921976584652316,0.687600794158562,0.6268906725730787,0.6821974965229485,0.653351738723889
failure_pressure_score3_next_4obs,all_features,random_forest,2,719.0,0.1629646418857661,0.8945505291934861,0.6826006304253869,0.6281094836146971,0.7016689847009736,0.6623591804082943
failure_pressure_score3_next_4obs,all_features,logistic_l2,1,719.0,0.1629646418857661,0.8471087841637018,0.6041167278847784,0.1917156451161489,0.952712100139082,0.31919850885368123
failure_pressure_sector_strict_next_4obs,all_features,gradient_boosting,2,878.0,0.19900271985494106,0.8756921051987012,0.7137312652127559,0.6070921095834576,0.7118451025056948,0.6553083999852689
failure_pressure_sector_strict_next_4obs,all_features,random_forest,2,878.0,0.19900271985494106,0.8684121898176258,0.7127211922711685,0.6255533011550517,0.667995444191344,0.6459724378881988
failure_pressure_sector_strict_next_4obs,all_features,logistic_l2,1,878.0,0.19900271985494106,0.8047286818707433,0.618781317888688,0.20782693242586292,0.9738041002277904,0.34254807692307687
success_quality_growth_next_4obs,all_features,random_forest,2,352.0,0.08091954022988505,0.9521653582473054,0.583556754347931,0.5708158017765311,0.75,0.6482490307565225
success_quality_growth_next_4obs,all_features,gradient_boosting,2,352.0,0.08091954022988505,0.9507992632679976,0.5756603846956705,0.5714285714285714,0.6931818181818182,0.626444159178434
success_quality_growth_next_4obs,all_features,logistic_l2,1,352.0,0.08091954022988505,0.9068461787712037,0.4086517747875224,0.42613636363636365,0.6392045454545454,0.5113636363636364
success_resilience_quality_v2_next_4obs,all_features,random_forest,2,1449.0,0.3331034482758621,0.9694415361876358,0.9288626371810118,0.8429115803270981,0.9106280193236715,0.8754380188353876
success_resilience_quality_v2_next_4obs,all_features,gradient_boosting,2,1449.0,0.3331034482758621,0.9672975145525841,0.9263630432792266,0.8374027358063622,0.9075224292615597,0.8710090761372813
success_resilience_quality_v2_next_4obs,all_features,logistic_l2,1,1449.0,0.3331034482758621,0.8831149583363962,0.7213031738375291,0.763915547024952,0.274672187715666,0.4040609137055837
success_score3_next_4obs,all_features,random_forest,2,2254.0,0.5181609195402299,0.9205274169076858,0.9136726950697044,0.8073167595666013,0.9154835847382431,0.8580005626734015
success_score3_next_4obs,all_features,gradient_boosting,2,2254.0,0.5181609195402299,0.9180915437864492,0.9093209407860647,0.8085106382978723,0.9103815439219166,0.8564273789649416
success_score3_next_4obs,all_features,logistic_l2,1,2254.0,0.5181609195402299,0.8727755830178071,0.8582954323878982,0.8725099601593626,0.582963620230701,0.6989361702127661
success_sector_quality_next_4obs,all_features,gradient_boosting,2,740.0,0.17011494252873563,0.9471069476678895,0.7766333336539388,0.6766334440753046,0.8256756756756757,0.7437614120511261
success_sector_quality_next_4obs,all_features,random_forest,2,740.0,0.17011494252873563,0.9456934566145092,0.7503819129445506,0.6664755351681957,0.7736486486486487,0.7160334377415285
success_sector_quality_next_4obs,all_features,logistic_l2,1,740.0,0.17011494252873563,0.87269821067605,0.5492164718182961,0.618421052631579,0.3810810810810811,0.47157190635451507
success_stable_balance_next_4obs,all_features,gradient_boosting,2,1188.0,0.2731034482758621,0.9609164861773969,0.8828981559778173,0.7661064425770309,0.9208754208754208,0.8363914373088686
success_stable_balance_next_4obs,all_features,random_forest,2,1188.0,0.2731034482758621,0.9619196923909131,0.8825388956975077,0.7787977242039955,0.9099326599326599,0.8391795262118978
success_stable_balance_next_4obs,all_features,logistic_l2,1,1188.0,0.2731034482758621,0.8856597814535829,0.6656989206161245,0.695752009184845,0.51010101010101,0.5886352598348713
